member,generation,ag_receipts_archive,fish_prob_archive,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_archive_gpm,raw_total_pumping_reeval_gpm,raw_total_pumping_archive_cfs,raw_total_pumping_reeval_cfs,effective_total_pumping_archive_gpm,effective_total_pumping_reeval_gpm,effective_total_pumping_archive_cfs,effective_total_pumping_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs,depletion_reeval_cfs,streamflow_reeval_cfs
gen=47_member=5907_pso,50,9738960.0,0.719193,9738959.963789836,0.7191930975356632,42427.949226186,42427.949226186,94.52947087594241,94.52947087594241,41736.54912774984,41736.54912774984,92.98903145662663,92.98903145662663,1.4248247829017295,7.17517521709827,1.4248247829017298,7.175175217098269
56,50,12446400.0,0.533346,12446397.913772527,0.5333455781375429,52637.1528415432,52637.1528415432,117.27557653095823,117.27557653095823,52637.1528415432,52637.1528415432,117.27557653095823,117.27557653095823,4.797320436941502,3.802679563058498,4.797320436941502,3.802679563058498
64,50,12377800.0,0.56755,12377834.289729021,0.5675498055267164,52241.56295681393,52241.56295681393,116.39420226778142,116.39420226778142,52241.56295681393,52241.56295681393,116.39420226778142,116.39420226778142,4.457265265351176,4.1427347346488235,4.457265265351177,4.142734734648823
gen=40_member=5105_pso,50,12283000.0,0.583854,12283049.42442162,0.5838542264921289,51868.902507044404,51868.902507044404,115.56391478569493,115.56391478569493,51444.95457882824,51444.95457882824,114.61935880162932,114.61935880162932,4.281098096426855,4.318901903573145,4.281098096426855,4.318901903573145
30,50,12433400.0,0.544694,12433371.76921002,0.544693593079314,52187.23403515008,52187.23403515008,116.27315743031438,116.27315743031438,52187.23403515008,52187.23403515008,116.27315743031438,116.27315743031438,4.690661650408188,3.9093383495918115,4.690661650408188,3.9093383495918115
gen=36_member=4531_pso,50,12223600.0,0.605591,12223597.44766552,0.6055911484087455,51053.0244471527,51053.0244471527,113.7461384682562,113.7461384682562,51053.0244471527,51053.0244471527,113.7461384682562,113.7461384682562,4.034825511414584,4.5651744885854155,4.034825511414584,4.5651744885854155
105,50,12417100.0,0.55506,12417148.746273495,0.5550602110952924,52327.1463926199,52327.1463926199,116.58488216275714,116.58488216275714,52327.1463926199,52327.1463926199,116.58488216275714,116.58488216275714,4.592213724831248,4.007786275168752,4.592213724831247,4.007786275168753
gen=49_member=6222_pso,50,12218800.0,0.616332,12218818.301128551,0.6163316666652364,51106.17822286103,51106.17822286103,113.86456508053438,113.86456508053438,51106.17822286103,51106.17822286103,113.86456508053438,113.86456508053438,3.894152647480776,4.705847352519223,3.894152647480776,4.705847352519223
18,50,12390900.0,0.557388,12390900.705456987,0.5573881924842319,52187.6001459564,52187.6001459564,116.27397312519085,116.27397312519085,52187.6001459564,52187.6001459564,116.27397312519085,116.27397312519085,4.567060185710294,4.032939814289706,4.567060185710294,4.032939814289706
35,50,12440100.0,0.533609,12440134.96511929,0.5336094185261279,52700.025782036595,52700.025782036595,117.41565744237754,117.41565744237754,52700.025782036595,52700.025782036595,117.41565744237754,117.41565744237754,4.7948406291663686,3.805159370833631,4.794840629166368,3.805159370833632
gen=44_member=5567_pso,50,9875600.0,0.719021,9875603.379483644,0.7190214820314021,42989.08731889699,42989.08731889699,95.7796865465025,95.7796865465025,42069.119675814705,42069.119675814705,93.72999863771516,93.72999863771516,1.4395496709767712,7.160450329023228,1.4395496709767714,7.160450329023228
gen=49_member=6144_pso,50,9757770.0,0.719034,9757774.55799681,0.7190340022773174,42132.10114850491,42132.10114850491,93.87032135886894,93.87032135886894,41805.01359125954,41805.01359125954,93.14157028132627,93.14157028132627,1.4384754136095979,7.161524586390402,1.4384754136095979,7.161524586390402
gen=46_member=5849_pso,50,10309300.0,0.717719,10309323.448797248,0.717718806569991,45220.50929470598,45220.50929470598,100.75129470860493,100.75129470860493,43336.516794327195,43336.516794327195,96.55375941776099,96.55375941776099,1.551321334323784,7.048678665676215,1.551321334323784,7.048678665676215
gen=31_member=3852_pso,50,12085500.0,0.652391,12085489.190941257,0.6523909731597901,50809.626277516305,50809.626277516305,113.20384734630632,113.20384734630632,50462.82627345364,50462.82627345364,112.4311769372547,112.4311769372547,3.3700860966244046,5.229913903375595,3.3700860966244046,5.229913903375595
gen=37_member=4697_pso,50,9951180.0,0.718657,9951183.919557761,0.7186566543671551,42929.95184756078,42929.95184756078,95.6479327163654,95.6479327163654,42506.86767415341,42506.86767415341,94.70530117801378,94.70530117801378,1.470852475148528,7.129147524851472,1.470852475148528,7.129147524851472
gen=42_member=5264_pso,50,12276000.0,0.587416,12275991.063515613,0.5874156420405886,51721.642237508655,51721.642237508655,115.23581890516928,115.23581890516928,51425.41398676402,51425.41398676402,114.57582236251024,114.57582236251024,4.2426174600481605,4.357382539951839,4.2426174600481605,4.357382539951839
gen=43_member=5399_pso,50,12075700.0,0.659796,12075652.37136835,0.6597958752617604,50662.073440237364,50662.073440237364,112.87509962484884,112.87509962484884,50563.483653430434,50563.483653430434,112.655441579843,112.655441579843,3.2449071401041327,5.355092859895867,3.2449071401041327,5.355092859895867
gen=35_member=4383_pso,50,10482600.0,0.717261,10482596.881225228,0.7172614569254945,44395.66150852786,44395.66150852786,98.91353384100007,98.91353384100007,43697.952601065685,43697.952601065685,97.35903839517434,97.35903839517434,1.590562674174582,7.0094373258254175,1.5905626741745822,7.0094373258254175
gen=47_member=5964_pso,50,10840100.0,0.714224,10840089.258866806,0.7142239541017272,45340.13174397748,45340.13174397748,101.01781352558181,101.01781352558181,44763.52736283021,44763.52736283021,99.7331389643857,99.7331389643857,1.7413821583575984,6.858617841642401,1.7413821583575984,6.858617841642401
gen=45_member=5721_pso,50,10935500.0,0.713017,10935459.38484597,0.713016784356532,46077.815037649634,46077.815037649634,102.66137190388338,102.66137190388338,45406.79805241785,45406.79805241785,101.16634606078696,101.16634606078696,1.7996815675413265,6.800318432458673,1.7996815675413265,6.800318432458673
gen=47_member=5893_pso,50,10050300.0,0.718629,10050330.220899835,0.7186285989329644,44663.8123416983,44663.8123416983,99.51097389730381,99.51097389730381,42679.893231787595,42679.893231787595,95.09080212042277,95.09080212042277,1.4732596768179467,7.126740323182053,1.4732596768179467,7.126740323182053
gen=35_member=4446_pso,50,11409800.0,0.706375,11409792.203285765,0.7063753109505794,48804.747890203915,48804.747890203915,108.73697829937431,108.73697829937431,47323.49343085893,47323.49343085893,105.4367433639537,105.4367433639537,2.113405259209862,6.486594740790137,2.113405259209862,6.486594740790137
gen=45_member=5683_pso,50,10240800.0,0.71792,10240771.73598947,0.7179197508819495,44683.47269518394,44683.47269518394,99.55477716486982,99.55477716486982,43384.26011810516,43384.26011810516,96.66013154313829,96.66013154313829,1.5340799870711133,7.065920012928887,1.5340799870711133,7.065920012928887
gen=49_member=6242_pso,50,11866200.0,0.690335,11866171.531540677,0.6903352268135348,49793.36739732516,49793.36739732516,110.93962256124044,110.93962256124044,49240.59882468567,49240.59882468567,109.70805418139967,109.70805418139967,2.615161298943316,5.984838701056684,2.615161298943316,5.984838701056684
gen=45_member=5670_pso,50,10406200.0,0.717494,10406231.87516301,0.7174939918682569,44191.60289947777,44191.60289947777,98.45889126003648,98.45889126003648,43609.30208475285,43609.30208475285,97.16152504482936,97.16152504482936,1.5706107996603436,7.029389200339656,1.5706107996603436,7.029389200339656
gen=38_member=4778_pso,50,10164400.0,0.71794,10164356.433517821,0.7179404783371365,43216.77328051297,43216.77328051297,96.28697086898289,96.28697086898289,42970.82431105304,42970.82431105304,95.73899656502617,95.73899656502617,1.532301537862676,7.067698462137324,1.532301537862676,7.067698462137324
