member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_factor__T_minus_10pct,T_value__T_minus_10pct,depletion_cfs__T_minus_10pct,streamflow_cfs__T_minus_10pct,ag_receipts_reeval__T_minus_10pct,fish_prob_reeval__T_minus_10pct,T_factor__baseline_T,T_value__baseline_T,depletion_cfs__baseline_T,streamflow_cfs__baseline_T,ag_receipts_reeval__baseline_T,fish_prob_reeval__baseline_T,T_factor__T_plus_10pct,T_value__T_plus_10pct,depletion_cfs__T_plus_10pct,streamflow_cfs__T_plus_10pct,ag_receipts_reeval__T_plus_10pct,fish_prob_reeval__T_plus_10pct
gen=47_member=5907_pso,50,94.52947087594241,92.98903145662663,0.9,1530.0,1.333014701783983,7.266985298216016,9738959.963789836,0.7202631249129149,1.0,1700.0,1.4248247829017298,7.175175217098269,9738959.963789836,0.7191930975356632,1.1,1870.0000000000002,1.5121039802921465,7.087896019707853,9738959.963789836,0.7181758766647598
56,50,117.27557653095823,117.27557653095823,0.9,1530.0,4.544447536037786,4.055552463962214,12446397.913772527,0.5594810123987208,1.0,1700.0,4.797320436941502,3.802679563058498,12446397.913772527,0.5333455781375429,1.1,1870.0000000000002,5.032107879003476,3.5678921209965235,12446397.913772527,0.5083652508034485
64,50,116.39420226778142,116.39420226778142,0.9,1530.0,4.215746404959052,4.384253595040947,12377834.289729021,0.5899025809897285,1.0,1700.0,4.457265265351177,4.142734734648823,12377834.289729021,0.5675498055267164,1.1,1870.0000000000002,4.6816305993935865,3.918369400606413,12377834.289729021,0.5456544562691608
gen=40_member=5105_pso,50,115.56391478569493,114.61935880162932,0.9,1530.0,4.055122009288167,4.544877990711833,12283049.42442162,0.6040414898615462,1.0,1700.0,4.281098096426855,4.318901903573145,12283049.42442162,0.5838542264921289,1.1,1870.0000000000002,4.4914258970268515,4.108574102973148,12283049.42442162,0.5643882100791341
30,50,116.27315743031438,116.27315743031438,0.9,1530.0,4.4443360055369245,4.155663994463075,12433371.76921002,0.5687464194932684,1.0,1700.0,4.690661650408188,3.9093383495918115,12433371.76921002,0.544693593079314,1.1,1870.0000000000002,4.9190924629841914,3.680907537015808,12433371.76921002,0.5203895825188364
gen=36_member=4531_pso,50,113.7461384682562,113.7461384682562,0.9,1530.0,3.8184120952983847,4.781587904701615,12223597.44766552,0.6221145359459419,1.0,1700.0,4.034825511414584,4.5651744885854155,12223597.44766552,0.6055911484087455,1.1,1870.0000000000002,4.236171018969417,4.363828981030583,12223597.44766552,0.5880122656323642
105,50,116.58488216275714,116.58488216275714,0.9,1530.0,4.345759256245747,4.254240743754252,12417148.746273495,0.5778697812845662,1.0,1700.0,4.592213724831247,4.007786275168753,12417148.746273495,0.5550602110952924,1.1,1870.0000000000002,4.8210726110055475,3.778927388994452,12417148.746273495,0.5308184536976437
gen=49_member=6222_pso,50,113.86456508053438,113.86456508053438,0.9,1530.0,3.6816699627228275,4.9183300372771726,12218818.301128551,0.6325549388089301,1.0,1700.0,3.894152647480776,4.705847352519223,12218818.301128551,0.6163316666652364,1.1,1870.0000000000002,4.092487543558219,4.507512456441781,12218818.301128551,0.6011885927798469
18,50,116.27397312519085,116.27397312519085,0.9,1530.0,4.322867983040561,4.277132016959438,12390900.705456987,0.5799883880434225,1.0,1700.0,4.567060185710294,4.032939814289706,12390900.705456987,0.5573881924842319,1.1,1870.0000000000002,4.793680302315715,3.806319697684285,12390900.705456987,0.533732872081775
35,50,117.41565744237754,117.41565744237754,0.9,1530.0,4.540685200807719,4.059314799192281,12440134.96511929,0.5598292197166824,1.0,1700.0,4.794840629166368,3.805159370833632,12440134.96511929,0.5336094185261279,1.1,1870.0000000000002,5.030661778170211,3.5693382218297884,12440134.96511929,0.5085191094249141
gen=44_member=5567_pso,50,95.7796865465025,93.72999863771516,0.9,1530.0,1.345785290080232,7.254214709919768,9875603.379483644,0.7201142863656199,1.0,1700.0,1.4395496709767714,7.160450329023228,9875603.379483644,0.7190214820314021,1.1,1870.0000000000002,1.5286649647243682,7.071335035275632,9875603.379483644,0.7179828618397975
gen=49_member=6144_pso,50,93.87032135886894,93.14157028132627,0.9,1530.0,1.3459160899614546,7.2540839100385455,9757774.55799681,0.7201127619202415,1.0,1700.0,1.4384754136095979,7.161524586390402,9757774.55799681,0.7190340022773174,1.1,1870.0000000000002,1.5263962819997428,7.073603718000257,9757774.55799681,0.7180093028645314
gen=46_member=5849_pso,50,100.75129470860493,96.55375941776099,0.9,1530.0,1.4500971114826657,7.1499028885173335,10309323.448797248,0.7188985538086642,1.0,1700.0,1.551321334323784,7.048678665676215,10309323.448797248,0.717718806569991,1.1,1870.0000000000002,1.6473746750481135,6.952625324951886,10309323.448797248,0.716170508814066
gen=31_member=3852_pso,50,113.20384734630632,112.4311769372547,0.9,1530.0,3.1769262252388244,5.423073774761175,12085489.190941257,0.663817254200947,1.0,1700.0,3.3700860966244046,5.229913903375595,12085489.190941257,0.6523909731597901,1.1,1870.0000000000002,3.550710375943868,5.049289624056131,12085489.190941257,0.641706229151855
gen=37_member=4697_pso,50,95.6479327163654,94.70530117801378,0.9,1530.0,1.3737935326423913,7.226206467357608,9951183.919557761,0.7197878561308859,1.0,1700.0,1.470852475148528,7.129147524851472,9951183.919557761,0.7186566543671551,1.1,1870.0000000000002,1.5630105450762,7.0369894549238,9951183.919557761,0.7175825712527875
gen=42_member=5264_pso,50,115.23581890516928,114.57582236251024,0.9,1530.0,4.017601579463494,4.582398420536506,12275991.063515613,0.6069062133786056,1.0,1700.0,4.2426174600481605,4.357382539951839,12275991.063515613,0.5874156420405886,1.1,1870.0000000000002,4.452066833022057,4.147933166977943,12275991.063515613,0.5680309248497533
gen=43_member=5399_pso,50,112.87509962484884,112.655441579843,0.9,1530.0,3.0524150612293806,5.547584938770619,12075652.37136835,0.6705238031001248,1.0,1700.0,3.2449071401041327,5.355092859895867,12075652.37136835,0.6597958752617604,1.1,1870.0000000000002,3.4254850548834237,5.1745149451165755,12075652.37136835,0.64911387392632
gen=35_member=4383_pso,50,98.91353384100007,97.35903839517434,0.9,1530.0,1.4864647281584709,7.113535271841529,10482596.881225228,0.7184746968093593,1.0,1700.0,1.5905626741745822,7.0094373258254175,10482596.881225228,0.7172614569254945,1.1,1870.0000000000002,1.689303049861351,6.910696950138648,10482596.881225228,0.7153023239345205
gen=47_member=5964_pso,50,101.01781352558181,99.7331389643857,0.9,1530.0,1.6277603916982963,6.972239608301703,10840089.258866806,0.7165766496268994,1.0,1700.0,1.7413821583575984,6.858617841642401,10840089.258866806,0.7142239541017272,1.1,1870.0000000000002,1.84891441421754,6.75108558578246,10840089.258866806,0.7119973503037775
gen=45_member=5721_pso,50,102.66137190388338,101.16634606078696,0.9,1530.0,1.6797172968279601,6.92028270317204,10935459.38484597,0.715500810183504,1.0,1700.0,1.7996815675413265,6.800318432458673,10935459.38484597,0.713016784356532,1.1,1870.0000000000002,1.9125833233829936,6.687416676617006,10935459.38484597,0.710678997649261
gen=47_member=5893_pso,50,99.51097389730381,95.09080212042277,0.9,1530.0,1.3755174700109913,7.224482529989008,10050330.220899835,0.7197677639998409,1.0,1700.0,1.4732596768179467,7.126740323182053,10050330.220899835,0.7186285989329644,1.1,1870.0000000000002,1.566091549391124,7.033908450608876,10050330.220899835,0.7175466627890734
gen=35_member=4446_pso,50,108.73697829937431,105.4367433639537,0.9,1530.0,1.9767888312284034,6.623211168771596,11409792.203285765,0.7093495339783409,1.0,1700.0,2.113405259209862,6.486594740790137,11409792.203285765,0.7063753109505794,1.1,1870.0000000000002,2.2417765495040345,6.358223450495965,11409792.203285765,0.7023249116939155
gen=45_member=5683_pso,50,99.55477716486982,96.66013154313829,0.9,1530.0,1.4331626908190813,7.166837309180918,10240771.73598947,0.7190959209551401,1.0,1700.0,1.5340799870711133,7.065920012928887,10240771.73598947,0.7179197508819495,1.1,1870.0000000000002,1.6299560286019414,6.970043971398058,10240771.73598947,0.7165311859338942
gen=49_member=6242_pso,50,110.93962256124044,109.70805418139967,0.9,1530.0,2.4487996836583483,6.151200316341651,11866171.531540677,0.6957928721173924,1.0,1700.0,2.615161298943316,5.984838701056684,11866171.531540677,0.6903352268135348,1.1,1870.0000000000002,2.7711957597268784,5.828804240273121,11866171.531540677,0.6832654996136709
gen=45_member=5670_pso,50,98.45889126003648,97.16152504482936,0.9,1530.0,1.4663621065844774,7.133637893415522,10406231.87516301,0.7187089886777122,1.0,1700.0,1.5706107996603436,7.029389200339656,10406231.87516301,0.7174939918682569,1.1,1870.0000000000002,1.669439071475525,6.930560928524475,10406231.87516301,0.7157136350277602
gen=38_member=4778_pso,50,96.28697086898289,95.73899656502617,0.9,1530.0,1.432014780002346,7.167985219997654,10164356.433517821,0.7191092996166726,1.0,1700.0,1.532301537862676,7.067698462137324,10164356.433517821,0.7179404783371365,1.1,1870.0000000000002,1.6274757304487473,6.972524269551252,10164356.433517821,0.7165825439310253
gen=43_member=5423_pso,50,114.14786179689636,114.14786179689636,0.9,1530.0,3.9404893204381537,4.659510679561846,12257750.350139363,0.6127938138915989,1.0,1700.0,4.161391541390667,4.438608458609333,12257750.350139363,0.5949331697342024,1.1,1870.0000000000002,4.366885497323149,4.233114502676851,12257750.350139363,0.5759145297468027
