scenario,T_factor,T_value,z_score,probability_weight
T_factor_0.800,0.8,1360.0,-2.0,0.022190548492442997
T_factor_0.840,0.8400000000000001,1428.0000000000002,-1.5999999999999988,0.04558899978527864
T_factor_0.880,0.88,1496.0,-1.2,0.07981140824009202
T_factor_0.920,0.92,1564.0,-0.8,0.11906462996609923
T_factor_0.960,0.96,1632.0,-0.4,0.15136080967773613
baseline_T,1.0,1700.0,0.0,0.16396720767670225
T_factor_1.040,1.04,1768.0,0.4,0.15136080967773613
T_factor_1.080,1.08,1836.0000000000002,0.8000000000000014,0.11906462996609912
T_factor_1.120,1.12,1904.0000000000002,1.2000000000000013,0.07981140824009188
T_factor_1.160,1.16,1971.9999999999998,1.5999999999999988,0.04558899978527864
T_factor_1.200,1.2,2040.0,2.0,0.022190548492442997
