member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_signed_streamflow_error_cfs,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold
gen=47_member=5907_pso,50.0,94.52947087594241,92.98903145662663,7.175175217098269,1.4248247829017298,7.1770776967810646,1.4229223032189358,0.0019024796827951107,-0.0019024796827940005,0.08230950466532265,0.0823095046653227,7.024438489192471,7.157480316007172,7.301003040446997,1.2600576990665526,1.4067569930549324,1.542198612031859,0.06611524890822086,0.03210638461271304,-0.0019024796827947716,0.18885675553469472,0.17088152766331,0.41801639616164876,
56,50.0,117.27557653095823,117.27557653095823,3.802679563058498,4.797320436941502,3.810297706577697,4.789702293422303,0.007618143519199094,-0.007618143519199094,0.22423295576777624,0.22423295576777624,3.401267809251556,3.7547339283677785,4.150717151407501,4.339373225867326,4.747877028212222,5.111522905718678,0.1800166773618172,0.08619926692130916,-0.007618143519198888,0.526296565551867,0.4537646402262201,0.41801639616164876,
64,50.0,116.39420226778142,116.39420226778142,4.142734734648823,4.457265265351177,4.149966154357414,4.4500338456425865,0.0072314197085914245,-0.007231419708590536,0.21421655673291226,0.21421655673291226,3.759081803885408,4.096928191246581,4.475123413966197,4.019965207516593,4.410030149235301,4.757532546038191,0.17197970174762112,0.08237414101951476,-0.007231419708591581,0.5025371864028303,0.43373192617979317,0.41801639616164876,
gen=40_member=5105_pso,50.0,115.56391478569493,114.61935880162932,4.318901903573145,4.281098096426855,4.3255775349033545,4.274422465096645,0.006675631330209875,-0.006675631330209875,0.20068953506815804,0.20068953506815804,3.9589816024425497,4.27604298250495,4.630018261930714,3.8717810247813924,4.236856867797047,4.56269456854588,0.1611066834068154,0.07721552603830281,-0.006675631330209727,0.4704770708097614,0.40693456244427306,0.41801639616164876,
30,50.0,116.27315743031438,116.27315743031438,3.9093383495918115,4.690661650408188,3.9169101345941133,4.683089865405886,0.007571785002301823,-0.007571785002301823,0.21842286216264636,0.21842286216264636,3.5189846521251056,3.862630343894668,4.248711881995312,4.24379759627928,4.642583940629243,4.996132290131366,0.17532961338043523,0.08387891418906686,-0.007571785002301526,0.5138380579982655,0.441256712820179,0.41801639616164876,
gen=36_member=4531_pso,50.0,113.7461384682562,113.7461384682562,4.5651744885854155,4.034825511414584,4.571594843899915,4.028405156100084,0.006420355314499915,-0.006420355314499915,0.19216479003497386,0.19216479003497391,4.220652166058744,4.5241257474937235,4.863143042811799,3.6427975712277605,3.9924534702100445,4.304387723792991,0.1542653458118543,0.07392249524867736,-0.006420355314499568,0.4506376112583217,0.3895085107619316,0.41801639616164876,
105,50.0,116.58488216275714,116.58488216275714,4.007786275168753,4.592213724831247,4.015183619867077,4.584816380132923,0.007397344698324204,-0.007397344698323316,0.21853116427829358,0.21853116427829358,3.616524898306118,3.961048425541402,4.346927150510471,4.145989791849419,4.544039856384071,4.898465356505752,0.17544240263363842,0.08402252896765729,-0.007397344698323859,0.5127697720750328,0.4423175218795725,0.41801639616164876,
gen=49_member=6222_pso,50.0,113.86456508053438,113.86456508053438,4.705847352519223,3.894152647480776,4.711878559674957,3.8881214403250426,0.006031207155733576,-0.006031207155733576,0.18892345048451067,0.18892345048451073,4.366145924450315,4.665478866882169,4.998203958170962,3.50973436612829,3.8525556763727367,4.159772928470107,0.15167114230448966,0.0728199675743779,-0.0060312071557338115,0.4416481973357529,0.38425423332473585,0.41801639616164876,
18,50.0,116.27397312519085,116.27397312519085,4.032939814289706,4.567060185710294,4.040416488975654,4.559583511024346,0.007476674685948481,-0.007476674685947593,0.21651729357888716,0.21651729357888716,3.6456823388791655,3.9867118141595608,4.36920291420339,4.124631243269987,4.519245671801294,4.87018988802104,0.17382548015494492,0.08317440273449833,-0.007476674685948245,0.5085331386223171,0.4378769353008609,0.41801639616164876,
35,50.0,117.41565744237754,117.41565744237754,3.805159370833632,4.794840629166368,3.812868333962802,4.787131666037197,0.007708963129169799,-0.007708963129170243,0.22528417671670947,0.22528417671670947,3.402097376965448,3.7569930600534347,4.1549536494775134,4.334511078870314,4.74517164127244,5.1103665832555105,0.18085651684824533,0.08657377685953795,-0.007708963129169409,0.5290403032259885,0.4556348417119196,0.41801639616164876,
