member,generation,fixed_pumping_cfs,fixed_streamflow_cfs,fixed_depletion_cfs,optimized_streamflow_cfs,optimized_depletion_cfs,scenario,original_scenario,scenario_label,streamflow_gap_cfs,depletion_gap_cfs,streamflow_loss_cfs,depletion_loss_cfs,fixed_streamflow_advantage_cfs,fixed_depletion_advantage_cfs,fixed_better_streamflow,fixed_better_depletion,absolute_streamflow_gap_cfs,absolute_depletion_gap_cfs,is_comparable_with_original_front,original_front_pumping_min_cfs,original_front_pumping_max_cfs
gen=47_member=5907_pso,50,92.98903145662663,7.266985298216016,1.333014701783983,7.21847345419236,1.3815265458076402,T_minus_10pct,original_T_minus_10pct,T −10%,-0.048511844023656714,-0.04851184402365716,0.0,0.0,0.048511844023656714,0.04851184402365716,True,True,0.048511844023656714,0.04851184402365716,True,91.74281113919692,117.41614755261728
56,50,117.27557653095823,4.055552463962214,4.544447536037786,4.055785022738088,4.544214977261912,T_minus_10pct,original_T_minus_10pct,T −10%,0.00023255877587402551,0.00023255877587402551,0.00023255877587402551,0.00023255877587402551,0.0,0.0,False,False,0.00023255877587402551,0.00023255877587402551,True,91.74281113919692,117.41614755261728
64,50,116.39420226778142,4.384253595040947,4.215746404959052,4.383820718042735,4.216179281957265,T_minus_10pct,original_T_minus_10pct,T −10%,-0.00043287699821270564,-0.00043287699821270564,0.0,0.0,0.00043287699821270564,0.00043287699821270564,False,False,0.00043287699821270564,0.00043287699821270564,True,91.74281113919692,117.41614755261728
gen=40_member=5105_pso,50,114.61935880162932,4.544877990711833,4.055122009288167,4.57021695236607,4.02978304763393,T_minus_10pct,original_T_minus_10pct,T −10%,0.02533896165423677,0.02533896165423677,0.02533896165423677,0.02533896165423677,0.0,0.0,False,False,0.02533896165423677,0.02533896165423677,True,91.74281113919692,117.41614755261728
30,50,116.27315743031438,4.155663994463075,4.4443360055369245,4.1557800884199185,4.444219911580081,T_minus_10pct,original_T_minus_10pct,T −10%,0.00011609395684342161,0.00011609395684342161,0.00011609395684342161,0.00011609395684342161,0.0,0.0,False,False,0.00011609395684342161,0.00011609395684342161,True,91.74281113919692,117.41614755261728
gen=36_member=4531_pso,50,113.7461384682562,4.781587904701615,3.8184120952983847,4.953878173658201,3.646121826341798,T_minus_10pct,original_T_minus_10pct,T −10%,0.17229026895658617,0.1722902689565866,0.17229026895658617,0.1722902689565866,0.0,0.0,False,False,0.17229026895658617,0.1722902689565866,True,91.74281113919692,117.41614755261728
105,50,116.58488216275714,4.254240743754252,4.345759256245747,4.254572553827229,4.345427446172771,T_minus_10pct,original_T_minus_10pct,T −10%,0.0003318100729767792,0.0003318100729767792,0.0003318100729767792,0.0003318100729767792,0.0,0.0,False,False,0.0003318100729767792,0.0003318100729767792,True,91.74281113919692,117.41614755261728
gen=49_member=6222_pso,50,113.86456508053438,4.9183300372771726,3.681669962722828,4.918296645007884,3.681703354992116,T_minus_10pct,original_T_minus_10pct,T −10%,-3.339226928833483e-05,-3.339226928789074e-05,0.0,0.0,3.339226928833483e-05,3.339226928789074e-05,False,False,3.339226928833483e-05,3.339226928789074e-05,True,91.74281113919692,117.41614755261728
18,50,116.27397312519084,4.277132016959438,4.322867983040561,4.204857917557619,4.395142082442381,T_minus_10pct,original_T_minus_10pct,T −10%,-0.07227409940181939,-0.07227409940181939,0.0,0.0,0.07227409940181939,0.07227409940181939,True,True,0.07227409940181939,0.07227409940181939,True,91.74281113919692,117.41614755261728
35,50,117.41565744237754,4.059314799192281,4.540685200807719,4.059301635719071,4.540698364280929,T_minus_10pct,original_T_minus_10pct,T −10%,-1.3163473210120458e-05,-1.3163473210120458e-05,0.0,0.0,1.3163473210120458e-05,1.3163473210120458e-05,False,False,1.3163473210120458e-05,1.3163473210120458e-05,True,91.74281113919692,117.41614755261728
gen=44_member=5567_pso,50,93.72999863771516,7.254214709919768,1.345785290080232,7.201230814323885,1.3987691856761149,T_minus_10pct,original_T_minus_10pct,T −10%,-0.05298389559588301,-0.05298389559588279,0.0,0.0,0.05298389559588301,0.05298389559588279,True,True,0.05298389559588301,0.05298389559588279,True,91.74281113919692,117.41614755261728
gen=49_member=6144_pso,50,93.14157028132628,7.2540839100385455,1.3459160899614546,7.2139291398186,1.3860708601814002,T_minus_10pct,original_T_minus_10pct,T −10%,-0.040154770219945846,-0.040154770219945624,0.0,0.0,0.040154770219945846,0.040154770219945624,True,True,0.040154770219945846,0.040154770219945624,True,91.74281113919692,117.41614755261728
gen=46_member=5849_pso,50,96.553759417761,7.1499028885173335,1.4500971114826655,7.1160854935199715,1.4839145064800283,T_minus_10pct,original_T_minus_10pct,T −10%,-0.033817394997361916,-0.033817394997362804,0.0,0.0,0.033817394997361916,0.033817394997362804,True,True,0.033817394997361916,0.033817394997362804,True,91.74281113919692,117.41614755261728
gen=31_member=3852_pso,50,112.4311769372547,5.423073774761175,3.1769262252388244,5.493314165190249,3.1066858348097504,T_minus_10pct,original_T_minus_10pct,T −10%,0.07024039042907404,0.07024039042907404,0.07024039042907404,0.07024039042907404,0.0,0.0,False,False,0.07024039042907404,0.07024039042907404,True,91.74281113919692,117.41614755261728
gen=37_member=4697_pso,50,94.70530117801378,7.226206467357608,1.3737935326423911,7.182413151144874,1.4175868488551262,T_minus_10pct,original_T_minus_10pct,T −10%,-0.04379331621273419,-0.04379331621273508,0.0,0.0,0.04379331621273419,0.04379331621273508,True,True,0.04379331621273419,0.04379331621273508,True,91.74281113919692,117.41614755261728
gen=42_member=5264_pso,50,114.57582236251024,4.582398420536506,4.017601579463494,4.573132383637264,4.026867616362735,T_minus_10pct,original_T_minus_10pct,T −10%,-0.009266036899241215,-0.009266036899241215,0.0,0.0,0.009266036899241215,0.009266036899241215,False,False,0.009266036899241215,0.009266036899241215,True,91.74281113919692,117.41614755261728
gen=43_member=5399_pso,50,112.655441579843,5.547584938770619,3.052415061229381,5.408186548103614,3.191813451896386,T_minus_10pct,original_T_minus_10pct,T −10%,-0.13939839066700532,-0.13939839066700488,0.0,0.0,0.13939839066700532,0.13939839066700488,True,True,0.13939839066700532,0.13939839066700488,True,91.74281113919692,117.41614755261728
gen=35_member=4383_pso,50,97.35903839517434,7.113535271841529,1.4864647281584709,7.087423106217661,1.5125768937823394,T_minus_10pct,original_T_minus_10pct,T −10%,-0.026112165623867867,-0.026112165623868533,0.0,0.0,0.026112165623867867,0.026112165623868533,True,True,0.026112165623867867,0.026112165623868533,True,91.74281113919692,117.41614755261728
