scenario,column,normalized_column,classification,is_numeric,n_non_null,n_unique,total_pumping_score,streamflow_depletion_score,min,mean,max
T_minus_10,feasible_distance,feasible_distance,metadata_or_algorithm,True,9487,1,0.0,0.0,-999.0,-999.0,-999.0
T_minus_10,generation,generation,metadata_or_algorithm,True,9487,51,0.0,0.0,0.0,32.88025719405502,50.0
T_minus_10,is_feasible,is_feasible,metadata_or_algorithm,True,9487,1,0.0,0.0,1.0,1.0,1.0
T_minus_10,nsga2_crowding_distance,nsga2_crowding_distance,metadata_or_algorithm,True,9487,4570,0.0,0.0,0.000165061,2.1081479919890375e+28,1e+30
T_minus_10,nsga2_front,nsga2_front,metadata_or_algorithm,True,9487,2,0.0,0.0,1.0,1.1156319173605986,2.0
T_minus_10,member,member,metadata_or_algorithm,False,9487,1360,,,,,
T_minus_10,scenario,scenario,other_non_numeric,False,9487,1,,,,,
T_minus_10,scenario_label,scenario_label,other_non_numeric,False,9487,1,,,,,
T_minus_10,T_multiplier,t_multiplier,other_numeric,True,9487,1,0.0,0.0,0.9,0.9000000000000004,0.9
T_minus_10,obj_well,obj_well,other_numeric,True,9487,1349,0.0,0.0,8973.91,14742.366770317278,17542.8
T_minus_10,spea2_constrained_fitness,spea2_constrained_fitness,other_numeric,True,9487,5505,0.0,0.0,0.000365907,0.2232144752291557,28.0049
T_minus_10,spea2_unconstrained_fitness,spea2_unconstrained_fitness,other_numeric,True,9487,5505,0.0,0.0,0.000365907,0.2232144752291557,28.0049
T_minus_10,lpr:total_combined:bdpl,lpr_total_combined_bdpl,possible_streamflow_or_depletion_objective,True,9487,1358,-1.0,5.0,0.802641,2.662253517655739,4.5285
T_plus_10,feasible_distance,feasible_distance,metadata_or_algorithm,True,9183,1,0.0,0.0,-999.0,-999.0,-999.0
T_plus_10,generation,generation,metadata_or_algorithm,True,9183,51,0.0,0.0,0.0,31.94598715016879,50.0
T_plus_10,is_feasible,is_feasible,metadata_or_algorithm,True,9183,1,0.0,0.0,1.0,1.0,1.0
T_plus_10,nsga2_crowding_distance,nsga2_crowding_distance,metadata_or_algorithm,True,9183,4673,0.0,0.0,0.000155455,2.1779374931939455e+28,1e+30
T_plus_10,nsga2_front,nsga2_front,metadata_or_algorithm,True,9183,2,0.0,0.0,1.0,1.1160840683872373,2.0
T_plus_10,member,member,metadata_or_algorithm,False,9183,1321,,,,,
T_plus_10,scenario,scenario,other_non_numeric,False,9183,1,,,,,
T_plus_10,scenario_label,scenario_label,other_non_numeric,False,9183,1,,,,,
T_plus_10,T_multiplier,t_multiplier,other_numeric,True,9183,1,0.0,0.0,1.1,1.0999999999999999,1.1
T_plus_10,obj_well,obj_well,other_numeric,True,9183,1301,0.0,0.0,6632.91,14268.387522596102,17542.8
T_plus_10,spea2_constrained_fitness,spea2_constrained_fitness,other_numeric,True,9183,5472,0.0,0.0,0.000298127,0.19332046901274094,11.0037
T_plus_10,spea2_unconstrained_fitness,spea2_unconstrained_fitness,other_numeric,True,9183,5472,0.0,0.0,0.000298127,0.19332046901274094,11.0037
T_plus_10,lpr:total_combined:bdpl,lpr_total_combined_bdpl,possible_streamflow_or_depletion_objective,True,9183,1319,-1.0,5.0,0.709451,2.8238041464662964,5.0182
baseline,feasible_distance,feasible_distance,metadata_or_algorithm,True,8809,1,0.0,0.0,-999.0,-999.0,-999.0
baseline,generation,generation,metadata_or_algorithm,True,8809,51,0.0,0.0,0.0,32.24702009308662,50.0
baseline,is_feasible,is_feasible,metadata_or_algorithm,True,8809,1,0.0,0.0,1.0,1.0,1.0
baseline,nsga2_crowding_distance,nsga2_crowding_distance,metadata_or_algorithm,True,8809,4302,0.0,0.0,4.81959e-05,2.27040526734022e+28,1e+30
baseline,nsga2_front,nsga2_front,metadata_or_algorithm,True,8809,2,0.0,0.0,1.0,1.1184016346917924,2.0
baseline,member,member,metadata_or_algorithm,False,8809,1319,,,,,
baseline,scenario,scenario,other_non_numeric,False,8809,1,,,,,
baseline,scenario_label,scenario_label,other_non_numeric,False,8809,1,,,,,
baseline,T_multiplier,t_multiplier,other_numeric,True,8809,1,0.0,0.0,1.0,1.0,1.0
baseline,obj_well,obj_well,other_numeric,True,8809,1305,0.0,0.0,7060.34,14441.48967760245,17542.8
baseline,spea2_constrained_fitness,spea2_constrained_fitness,other_numeric,True,8809,5348,0.0,0.0,0.000287823,0.2167662283233057,17.0024
baseline,spea2_unconstrained_fitness,spea2_unconstrained_fitness,other_numeric,True,8809,5348,0.0,0.0,0.000287823,0.2167662283233057,17.0024
baseline,lpr:total_combined:bdpl,lpr_total_combined_bdpl,possible_streamflow_or_depletion_objective,True,8809,1311,-1.0,5.0,0.811083,2.753420805199228,4.78258
