scenario,scenario_label,T_multiplier,generation,member,nsga2_front,q_total_from_wells,lpr:total_combined:bdpl
baseline,Baseline T,1.0,0,68,1,,4.36164
baseline,Baseline T,1.0,0,152,1,,4.78258
baseline,Baseline T,1.0,0,16,1,,4.48927
baseline,Baseline T,1.0,0,130,1,,4.69071
baseline,Baseline T,1.0,0,95,1,,4.70127
baseline,Baseline T,1.0,0,156,1,,4.4265
baseline,Baseline T,1.0,0,121,1,,4.4248
baseline,Baseline T,1.0,0,116,1,,4.42483
baseline,Baseline T,1.0,1,68,1,,4.36164
baseline,Baseline T,1.0,1,152,1,,4.78258
baseline,Baseline T,1.0,1,16,1,,4.48927
baseline,Baseline T,1.0,1,130,1,,4.69071
baseline,Baseline T,1.0,1,95,1,,4.70127
baseline,Baseline T,1.0,1,156,1,,4.4265
baseline,Baseline T,1.0,1,121,1,,4.4248
baseline,Baseline T,1.0,1,116,1,,4.42483
baseline,Baseline T,1.0,1,gen=1_member=13_pso,1,,3.61579
baseline,Baseline T,1.0,1,gen=1_member=87_pso,1,,3.85547
baseline,Baseline T,1.0,1,gen=1_member=8_pso,1,,3.71934
baseline,Baseline T,1.0,1,gen=1_member=58_pso,1,,4.14186
baseline,Baseline T,1.0,1,gen=1_member=171_pso,1,,4.00606
baseline,Baseline T,1.0,1,gen=1_member=51_pso,1,,4.28068
baseline,Baseline T,1.0,1,gen=1_member=116_pso,1,,4.18176
baseline,Baseline T,1.0,1,gen=1_member=94_pso,1,,3.97038
baseline,Baseline T,1.0,1,gen=1_member=56_pso,1,,3.67497
baseline,Baseline T,1.0,1,gen=1_member=60_pso,1,,4.34166
baseline,Baseline T,1.0,1,gen=1_member=65_pso,1,,3.97126
baseline,Baseline T,1.0,1,gen=1_member=137_pso,1,,3.97039
baseline,Baseline T,1.0,2,152,1,,4.78258
baseline,Baseline T,1.0,2,gen=1_member=13_pso,2,,3.61579
baseline,Baseline T,1.0,2,16,1,,4.48927
baseline,Baseline T,1.0,2,gen=1_member=87_pso,1,,3.85547
baseline,Baseline T,1.0,2,130,1,,4.69071
baseline,Baseline T,1.0,2,gen=1_member=8_pso,2,,3.71934
baseline,Baseline T,1.0,2,gen=1_member=58_pso,1,,4.14186
baseline,Baseline T,1.0,2,gen=1_member=171_pso,1,,4.00606
baseline,Baseline T,1.0,2,gen=1_member=51_pso,2,,4.28068
baseline,Baseline T,1.0,2,gen=1_member=116_pso,2,,4.18176
baseline,Baseline T,1.0,2,gen=1_member=94_pso,2,,3.97038
baseline,Baseline T,1.0,2,gen=1_member=56_pso,2,,3.67497
baseline,Baseline T,1.0,2,95,1,,4.70127
baseline,Baseline T,1.0,2,68,1,,4.36164
baseline,Baseline T,1.0,2,gen=1_member=60_pso,2,,4.34166
baseline,Baseline T,1.0,2,156,1,,4.4265
baseline,Baseline T,1.0,2,121,1,,4.4248
baseline,Baseline T,1.0,2,gen=1_member=65_pso,1,,3.97126
baseline,Baseline T,1.0,2,116,1,,4.42483
baseline,Baseline T,1.0,2,gen=1_member=137_pso,2,,3.97039
baseline,Baseline T,1.0,2,gen=2_member=332_pso,1,,3.08514
baseline,Baseline T,1.0,2,gen=2_member=266_pso,1,,3.16656
baseline,Baseline T,1.0,2,gen=2_member=193_pso,1,,3.38659
baseline,Baseline T,1.0,2,gen=2_member=269_pso,1,,4.32678
baseline,Baseline T,1.0,2,gen=2_member=257_pso,1,,4.15944
baseline,Baseline T,1.0,2,gen=2_member=175_pso,1,,3.82397
baseline,Baseline T,1.0,2,gen=2_member=240_pso,1,,3.70458
baseline,Baseline T,1.0,2,gen=2_member=235_pso,1,,4.01435
baseline,Baseline T,1.0,2,gen=2_member=241_pso,1,,3.89063
baseline,Baseline T,1.0,2,gen=2_member=207_pso,1,,3.41843
baseline,Baseline T,1.0,2,gen=2_member=189_pso,1,,3.58315
baseline,Baseline T,1.0,2,gen=2_member=201_pso,1,,3.49559
baseline,Baseline T,1.0,2,gen=2_member=177_pso,1,,3.61309
baseline,Baseline T,1.0,2,gen=2_member=181_pso,1,,3.67746
baseline,Baseline T,1.0,2,gen=2_member=242_pso,1,,3.51457
baseline,Baseline T,1.0,2,gen=2_member=314_pso,1,,3.97259
baseline,Baseline T,1.0,2,gen=2_member=249_pso,1,,3.3882
baseline,Baseline T,1.0,3,gen=2_member=332_pso,2,,3.08514
baseline,Baseline T,1.0,3,152,1,,4.78258
baseline,Baseline T,1.0,3,gen=2_member=266_pso,1,,3.16656
baseline,Baseline T,1.0,3,16,1,,4.48927
baseline,Baseline T,1.0,3,gen=2_member=193_pso,2,,3.38659
baseline,Baseline T,1.0,3,130,1,,4.69071
baseline,Baseline T,1.0,3,gen=2_member=269_pso,2,,4.32678
baseline,Baseline T,1.0,3,gen=2_member=257_pso,1,,4.15944
baseline,Baseline T,1.0,3,gen=2_member=175_pso,2,,3.82397
baseline,Baseline T,1.0,3,gen=2_member=240_pso,2,,3.70458
baseline,Baseline T,1.0,3,gen=1_member=58_pso,2,,4.14186
baseline,Baseline T,1.0,3,gen=2_member=235_pso,1,,4.01435
baseline,Baseline T,1.0,3,gen=2_member=241_pso,2,,3.89063
baseline,Baseline T,1.0,3,gen=2_member=207_pso,2,,3.41843
baseline,Baseline T,1.0,3,gen=2_member=189_pso,2,,3.58315
baseline,Baseline T,1.0,3,68,1,,4.36164
baseline,Baseline T,1.0,3,gen=2_member=201_pso,2,,3.49559
baseline,Baseline T,1.0,3,gen=2_member=177_pso,2,,3.61309
baseline,Baseline T,1.0,3,95,1,,4.70127
baseline,Baseline T,1.0,3,gen=2_member=181_pso,2,,3.67746
baseline,Baseline T,1.0,3,gen=2_member=242_pso,2,,3.51457
baseline,Baseline T,1.0,3,gen=1_member=65_pso,2,,3.97126
baseline,Baseline T,1.0,3,gen=1_member=87_pso,2,,3.85547
baseline,Baseline T,1.0,3,156,1,,4.4265
baseline,Baseline T,1.0,3,121,1,,4.4248
baseline,Baseline T,1.0,3,gen=1_member=171_pso,1,,4.00606
baseline,Baseline T,1.0,3,gen=2_member=314_pso,2,,3.97259
baseline,Baseline T,1.0,3,gen=2_member=249_pso,2,,3.3882
baseline,Baseline T,1.0,3,116,1,,4.42483
baseline,Baseline T,1.0,3,gen=3_member=374_pso,1,,2.45024
baseline,Baseline T,1.0,3,gen=3_member=364_pso,1,,2.6593
baseline,Baseline T,1.0,3,gen=3_member=446_pso,1,,2.85024
baseline,Baseline T,1.0,3,gen=3_member=456_pso,1,,3.73989
baseline,Baseline T,1.0,3,gen=3_member=361_pso,1,,3.61814
baseline,Baseline T,1.0,3,gen=3_member=376_pso,1,,3.86223
baseline,Baseline T,1.0,3,gen=3_member=514_pso,1,,2.54161
baseline,Baseline T,1.0,3,gen=3_member=493_pso,1,,2.99533
baseline,Baseline T,1.0,3,gen=3_member=416_pso,1,,4.27673
baseline,Baseline T,1.0,3,gen=3_member=438_pso,1,,3.13433
baseline,Baseline T,1.0,3,gen=3_member=445_pso,1,,3.32183
baseline,Baseline T,1.0,3,gen=3_member=354_pso,1,,3.49934
baseline,Baseline T,1.0,3,gen=3_member=492_pso,1,,3.17059
baseline,Baseline T,1.0,3,gen=3_member=358_pso,1,,3.45739
baseline,Baseline T,1.0,3,gen=3_member=478_pso,1,,3.96247
baseline,Baseline T,1.0,3,gen=3_member=369_pso,1,,3.34708
baseline,Baseline T,1.0,3,gen=3_member=499_pso,1,,4.1014
baseline,Baseline T,1.0,3,gen=3_member=422_pso,1,,4.33714
baseline,Baseline T,1.0,3,gen=3_member=366_pso,1,,2.92994
baseline,Baseline T,1.0,3,gen=3_member=511_pso,1,,2.91324
baseline,Baseline T,1.0,3,gen=3_member=468_pso,1,,4.12517
baseline,Baseline T,1.0,3,gen=3_member=356_pso,1,,3.34036
baseline,Baseline T,1.0,4,152,1,,4.78258
baseline,Baseline T,1.0,4,gen=3_member=374_pso,2,,2.45024
baseline,Baseline T,1.0,4,gen=3_member=364_pso,2,,2.6593
baseline,Baseline T,1.0,4,16,1,,4.48927
baseline,Baseline T,1.0,4,gen=3_member=446_pso,2,,2.85024
baseline,Baseline T,1.0,4,gen=3_member=456_pso,2,,3.73989
baseline,Baseline T,1.0,4,gen=3_member=361_pso,2,,3.61814
