scenario,T_factor,T_value,probability_weight,member,generation,ag_receipts_archive_baseline,fish_prob_archive_baseline,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_gpm,raw_total_pumping_cfs,effective_total_pumping_gpm,effective_total_pumping_cfs,depletion_obs_name,depletion_cfs,streamflow_cfs,baseline_T_depletion_cfs,baseline_T_streamflow_cfs,baseline_T_ag_receipts,baseline_T_fish_prob,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,streamflow_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
T_minus_10pct,0.9,1530.0,,gen=47_member=5907_pso,50,9738960.0,0.719193,9738959.963789836,0.7202631249129149,42427.949226186,94.52947087594241,41736.54912774984,92.98903145662663,lpr:total_combined:bdpl,1.333014701783983,7.266985298216016,1.4248247829017298,7.175175217098269,9738959.963789836,0.7191930975356632,-0.09181008111774669,0.09181008111774691,-0.09181008111774691,0.09181008111774691,0.0
T_minus_10pct,0.9,1530.0,,56,50,12446400.0,0.533346,12446397.913772527,0.5594810123987208,52637.1528415432,117.27557653095823,52637.1528415432,117.27557653095823,lpr:total_combined:bdpl,4.544447536037786,4.055552463962214,4.797320436941502,3.802679563058498,12446397.913772527,0.5333455781375429,-0.25287290090371606,0.25287290090371606,-0.25287290090371606,0.25287290090371606,0.0
T_minus_10pct,0.9,1530.0,,64,50,12377800.0,0.56755,12377834.289729021,0.5899025809897285,52241.56295681393,116.39420226778142,52241.56295681393,116.39420226778142,lpr:total_combined:bdpl,4.215746404959052,4.384253595040947,4.457265265351177,4.142734734648823,12377834.289729021,0.5675498055267164,-0.24151886039212478,0.24151886039212478,-0.24151886039212478,0.24151886039212478,0.0
T_minus_10pct,0.9,1530.0,,gen=40_member=5105_pso,50,12283000.0,0.583854,12283049.42442162,0.6040414898615462,51868.902507044404,115.56391478569493,51444.95457882824,114.61935880162932,lpr:total_combined:bdpl,4.055122009288167,4.544877990711833,4.281098096426855,4.318901903573145,12283049.42442162,0.5838542264921289,-0.22597608713868844,0.22597608713868844,-0.22597608713868844,0.22597608713868844,0.0
T_minus_10pct,0.9,1530.0,,30,50,12433400.0,0.544694,12433371.76921002,0.5687464194932684,52187.23403515008,116.27315743031438,52187.23403515008,116.27315743031438,lpr:total_combined:bdpl,4.4443360055369245,4.155663994463075,4.690661650408188,3.9093383495918115,12433371.76921002,0.544693593079314,-0.24632564487126363,0.24632564487126363,-0.24632564487126363,0.24632564487126363,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=4531_pso,50,12223600.0,0.605591,12223597.44766552,0.6221145359459419,51053.0244471527,113.7461384682562,51053.0244471527,113.7461384682562,lpr:total_combined:bdpl,3.8184120952983847,4.781587904701615,4.034825511414584,4.5651744885854155,12223597.44766552,0.6055911484087455,-0.21641341611619946,0.21641341611619946,-0.21641341611619946,0.21641341611619946,0.0
T_minus_10pct,0.9,1530.0,,105,50,12417100.0,0.55506,12417148.746273495,0.5778697812845662,52327.1463926199,116.58488216275714,52327.1463926199,116.58488216275714,lpr:total_combined:bdpl,4.345759256245747,4.254240743754252,4.592213724831247,4.007786275168753,12417148.746273495,0.5550602110952924,-0.24645446858549924,0.24645446858549924,-0.24645446858549924,0.24645446858549924,0.0
T_minus_10pct,0.9,1530.0,,gen=49_member=6222_pso,50,12218800.0,0.616332,12218818.301128551,0.6325549388089301,51106.17822286103,113.86456508053438,51106.17822286103,113.86456508053438,lpr:total_combined:bdpl,3.6816699627228275,4.9183300372771726,3.894152647480776,4.705847352519223,12218818.301128551,0.6163316666652364,-0.21248268475794863,0.2124826847579495,-0.2124826847579495,0.2124826847579495,0.0
T_minus_10pct,0.9,1530.0,,18,50,12390900.0,0.557388,12390900.705456987,0.5799883880434225,52187.6001459564,116.27397312519085,52187.6001459564,116.27397312519085,lpr:total_combined:bdpl,4.322867983040561,4.277132016959438,4.567060185710294,4.032939814289706,12390900.705456987,0.5573881924842319,-0.24419220266973252,0.24419220266973252,-0.24419220266973252,0.24419220266973252,0.0
T_minus_10pct,0.9,1530.0,,35,50,12440100.0,0.533609,12440134.96511929,0.5598292197166824,52700.025782036595,117.41565744237754,52700.025782036595,117.41565744237754,lpr:total_combined:bdpl,4.540685200807719,4.059314799192281,4.794840629166368,3.805159370833632,12440134.96511929,0.5336094185261279,-0.2541554283586489,0.2541554283586489,-0.2541554283586489,0.2541554283586489,0.0
T_minus_10pct,0.9,1530.0,,gen=44_member=5567_pso,50,9875600.0,0.719021,9875603.379483644,0.7201142863656199,42989.08731889699,95.7796865465025,42069.119675814705,93.72999863771516,lpr:total_combined:bdpl,1.345785290080232,7.254214709919768,1.4395496709767714,7.160450329023228,9875603.379483644,0.7190214820314021,-0.09376438089653938,0.09376438089653938,-0.09376438089653938,0.09376438089653938,0.0
T_minus_10pct,0.9,1530.0,,gen=49_member=6144_pso,50,9757770.0,0.719034,9757774.55799681,0.7201127619202415,42132.10114850491,93.87032135886894,41805.01359125954,93.14157028132627,lpr:total_combined:bdpl,1.3459160899614546,7.2540839100385455,1.4384754136095979,7.161524586390402,9757774.55799681,0.7190340022773174,-0.09255932364814323,0.09255932364814345,-0.09255932364814345,0.09255932364814345,0.0
