scenario,T_factor,T_value,probability_weight,n_members,mean_streamflow_cfs,mean_depletion_cfs,mean_streamflow_change_from_baseline_cfs,mean_streamflow_shortfall_below_baseline_cfs,max_streamflow_shortfall_below_baseline_cfs
T_factor_0.800,0.8,1360.0,0.022190548492442997,174,6.227653945243878,2.3723460547561217,0.33315741765139356,0.0,0.0
T_factor_0.840,0.8400000000000001,1428.0000000000002,0.04558899978527864,174,6.157140392280906,2.4428596077190936,0.26264386468842194,0.0,0.0
T_factor_0.880,0.88,1496.0,0.07981140824009202,174,6.088692147826472,2.511307852173528,0.19419562023398723,0.0,0.0
T_factor_0.920,0.92,1564.0,0.11906462996609923,174,6.0221852282532975,2.577814771746702,0.12768870066081328,0.0,0.0
T_factor_0.960,0.96,1632.0,0.15136080967773613,174,5.957492818280505,2.6425071817194934,0.06299629068802148,0.0,0.0
baseline_T,1.0,1700.0,0.16396720767670225,174,5.8944965275924845,2.705503472407515,0.0,0.0,0.0
T_factor_1.040,1.04,1768.0,0.15136080967773613,174,5.833126816092873,2.7668731839071263,-0.06136971149961087,0.06136971149961087,0.09633262156039457
T_factor_1.080,1.08,1836.0000000000002,0.11906462996609912,174,5.773249075347146,2.826750924652853,-0.12124745224533803,0.12124745224533803,0.1898810825922812
T_factor_1.120,1.12,1904.0000000000002,0.07981140824009188,174,5.714790862461623,2.885209137538377,-0.17970566513086159,0.17970566513086159,0.2810502172212548
T_factor_1.160,1.16,1971.9999999999998,0.04558899978527864,174,5.657693215535542,2.9423067844644577,-0.2368033120569424,0.2368033120569424,0.3694503461849852
T_factor_1.200,1.2,2040.0,0.022190548492442997,174,5.6018634890818575,2.9981365109181426,-0.2926330385106275,0.2926330385106275,0.4556348417119196
