member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
152,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,39.0853584,39.0854414587126,117.6979706587126,4.78258,5.043316056868707,3.5566839431312927
gen=36_member=6021_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,15.73043752,15.730428646974957,94.34295784697495,0.811083,0.890253200110472,7.709746799889528
16,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.467534,38.46752870631738,117.08005790631736,4.48927,4.741137847833014,3.858862152166986
130,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.6001,38.60014577795708,117.21267497795709,4.69071,4.947701445098628,3.652298554901372
95,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,38.900657200000005,38.90068138512153,117.51321058512153,4.70127,4.961542662659046,3.6384573373409532
156,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.6734536608837525,3.926546339116247
gen=47_member=7948_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.5299856,28.529932454502454,107.14246165450244,1.5703,1.702360249045488,6.897639750954512
gen=48_member=8161_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.2849301202224828,7.315069879777517
gen=33_member=5661_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.8916696,36.89173247767671,115.50426167767671,4.21575,4.456111392161795,4.143888607838204
gen=47_member=7921_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.512578031465255,4.087421968534745
gen=40_member=6722_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.792047023180875,6.8079529768191245
gen=48_member=8113_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.472933952032492,4.127066047967507
gen=48_member=8218_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.266981202687147,4.333018797312852
gen=42_member=7058_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,17.825114,17.82511697626178,96.4376461762618,0.864582,0.9532707841204233,7.646729215879576
gen=48_member=8245_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.87897,36.87888641911074,115.49141561911075,4.17121,4.4106760689387565,4.189323931061243
gen=41_member=6922_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.1159516,32.11592080418332,110.72845000418333,2.24821,2.4122224167392323,6.187777583260767
gen=41_member=6885_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.9114799842094685,7.688520015790531
gen=37_member=6262_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.3593928143405907,7.2406071856594085
gen=39_member=6554_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,22.91498,22.91493475179726,101.52746395179726,1.07599,1.1843829036305493,7.41561709636945
gen=44_member=7409_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.026161199999997,29.02617500954204,107.63870420954201,1.61819,1.7519680718610382,6.848031928138962
gen=33_member=5597_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,20.425457360000003,20.425447005160812,99.03797620516082,0.993719,1.090760291743301,7.509239708256699
gen=35_member=5926_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.758578399999998,28.75848621927199,107.371015419272,1.60584,1.7392971860264501,6.86070281397355
gen=42_member=7147_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.785394,36.78548226240043,115.39801146240043,4.12536,4.363592089789737,4.2364079102102625
gen=47_member=7992_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.303181200000004,37.30318347661641,115.91571267661642,4.41535,4.661877862194679,3.938122137805321
gen=44_member=7479_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.72709,29.726992928553695,108.3395221285537,1.7727,1.9154053056028277,6.6845946943971715
gen=46_member=7840_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,27.838414399999998,27.838357196260656,106.45088639626066,1.46259,1.5883430354365016,7.011656964563498
gen=36_member=6076_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,37.071692,37.07165394641189,115.6841831464119,4.31441,4.5583408914323345,4.041659108567665
