member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
152,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,39.0853584,39.0854414587126,117.6979706587126,4.78258,5.342047588535565,3.2579524114644345
gen=36_member=6021_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,15.73043752,15.730428646974957,94.34295784697495,0.811083,0.9844791225973945,7.615520877402605
16,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,38.467534,38.46752870631738,117.08005790631736,4.48927,5.03039195136334,3.5696080486366597
130,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,38.6001,38.60014577795708,117.21267497795709,4.69071,5.2424664591677805,3.357533540832219
95,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,38.900657200000005,38.90068138512153,117.51321058512153,4.70127,5.260143665972492,3.339856334027508
156,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.957207466913292,3.6427925330867073
gen=47_member=7948_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,28.5299856,28.529932454502454,107.14246165450244,1.5703,1.8585284271432023,6.741471572856797
gen=48_member=8161_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.4194527801009627,7.1805472198990365
gen=33_member=5661_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.8916696,36.89173247767671,115.50426167767671,4.21575,4.732797394737032,3.8672026052629676
gen=47_member=7921_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.790738009723927,3.809261990276073
gen=40_member=6722_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.9534815493462878,6.646518450653712
gen=48_member=8113_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.7500742053329885,3.849925794667011
gen=48_member=8218_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.535851315971919,4.064148684028081
gen=42_member=7058_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,17.825114,17.82511697626178,96.4376461762618,0.864582,1.0586662101086661,7.5413337898913335
