scenario,T_factor,T_value,probability_weight,member,generation,archive_pumping_objective_gpm,archive_pumping_objective_cfs,archive_total_pumping_gpm,archive_total_pumping_cfs,archive_depletion_cfs,archive_streamflow_cfs,pumping_objective_reeval_gpm,pumping_objective_reeval_cfs,total_pumping_gpm,total_pumping_cfs,full_model_total_pumping_gpm,full_model_total_pumping_cfs,n_model_q_columns,n_objective_q_columns,depletion_obs_name,depletion_cfs,streamflow_cfs
T_zminus_2p00,0.8,1360.0,0.022190548492442997,152,50,17542.8,39.0853584,17542.8,39.0853584,4.78258,3.8174199999999994,17542.837279493986,39.0854414587126,17542.837279493986,39.0854414587126,52826.73727949399,117.6979706587126,327,86,lpr:total_combined:bdpl,4.253019846367535,4.346980153632464
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=36_member=6021_pso,50,7060.34,15.73043752,7060.34,15.73043752,0.811083,7.788917,7060.336017493249,15.730428646974957,7060.336017493249,15.730428646974957,42344.23601749325,94.34295784697495,327,86,lpr:total_combined:bdpl,0.6595980348875442,7.940401965112455
T_zminus_2p00,0.8,1360.0,0.022190548492442997,16,50,17265.5,38.467534,17265.5,38.467534,4.48927,4.110729999999999,17265.49762402037,38.46752870631738,17265.49762402037,38.46752870631738,52549.39762402036,117.08005790631736,327,86,lpr:total_combined:bdpl,3.9795650466750145,4.620434953324985
T_zminus_2p00,0.8,1360.0,0.022190548492442997,130,50,17325.0,38.6001,17325.0,38.6001,4.69071,3.9092899999999995,17325.020546659372,38.60014577795708,17325.020546659372,38.60014577795708,52608.92054665938,117.21267497795709,327,86,lpr:total_combined:bdpl,4.169856417750175,4.4301435822498245
T_zminus_2p00,0.8,1360.0,0.022190548492442997,95,50,17459.9,38.900657200000005,17459.9,38.900657200000005,4.70127,3.8987299999999996,17459.910855081478,38.90068138512153,17459.910855081478,38.90068138512153,52743.81085508148,117.51321058512153,327,86,lpr:total_combined:bdpl,4.174425927383912,4.4255740726160875
T_zminus_2p00,0.8,1360.0,0.022190548492442997,156,50,16882.3,37.6137644,16882.3,37.6137644,4.4265,4.1735,16882.312566035933,37.61379239712806,16882.312566035933,37.61379239712806,52166.21256603594,116.22632159712806,327,86,lpr:total_combined:bdpl,3.9269696615337,4.673030338466299
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=47_member=7948_pso,50,12805.2,28.5299856,12805.2,28.5299856,1.5703,7.0297,12805.176146545087,28.529932454502454,12805.176146545087,28.529932454502454,48089.076146545085,107.14246165450244,327,86,lpr:total_combined:bdpl,1.3144536694085498,7.285546330591449
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=48_member=8161_pso,50,11000.1,24.5082228,11000.1,24.5082228,1.17026,7.42974,11000.12673609313,24.508282368015493,11000.12673609313,24.508282368015493,46284.02673609313,103.1208115680155,327,86,lpr:total_combined:bdpl,0.9467652326121028,7.653234767387897
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=33_member=5661_pso,50,16558.2,36.8916696,16558.2,36.8916696,4.21575,4.38425,16558.228221578418,36.89173247767671,16558.228221578418,36.89173247767671,51842.128221578416,115.50426167767671,327,86,lpr:total_combined:bdpl,3.730241146951724,4.869758853048276
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=47_member=7921_pso,50,16619.9,37.0291372,16619.9,37.0291372,4.27101,4.328989999999999,16619.894322164353,37.029124549782175,16619.894322164353,37.029124549782175,51903.79432216436,115.6416537497822,327,86,lpr:total_combined:bdpl,3.783495948039473,4.816504051960527
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=40_member=6722_pso,50,13108.9,29.2066292,13108.9,29.2066292,1.65561,6.944389999999999,13108.890627812632,29.206608318766545,13108.890627812632,29.206608318766545,48392.79062781263,107.81913751876654,327,86,lpr:total_combined:bdpl,1.391058883778873,7.208941116221126
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=48_member=8113_pso,50,16612.9,37.0135412,16612.9,37.0135412,4.2324,4.3675999999999995,16612.892695433202,37.01352492542517,16612.892695433202,37.01352492542517,51896.79269543321,115.62605412542518,327,86,lpr:total_combined:bdpl,3.74715856935276,4.85284143064724
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=48_member=8218_pso,50,16437.9,36.6236412,16437.9,36.6236412,4.03399,4.5660099999999995,16437.898572598093,36.62363801974855,16437.898572598093,36.62363801974855,51721.7985725981,115.23616721974857,327,86,lpr:total_combined:bdpl,3.566212736228975,5.033787263771025
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=42_member=7058_pso,50,8000.5,17.825114,8000.5,17.825114,0.864582,7.735417999999999,8000.501335844605,17.82511697626178,8000.501335844605,17.82511697626178,43284.40133584461,96.4376461762618,327,86,lpr:total_combined:bdpl,0.6947525507140457,7.9052474492859535
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=48_member=8245_pso,50,16552.5,36.87897,16552.5,36.87897,4.17121,4.428789999999999,16552.462486135883,36.87888641911074,16552.462486135883,36.87888641911074,51836.362486135884,115.49141561911075,327,86,lpr:total_combined:bdpl,3.687750746367238,4.912249253632762
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=41_member=6922_pso,50,14414.7,32.1159516,14414.7,32.1159516,2.24821,6.351789999999999,14414.68617782016,32.11592080418332,14414.68617782016,32.11592080418332,49698.586177820165,110.72845000418333,327,86,lpr:total_combined:bdpl,1.9283224675691073,6.671677532430892
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=41_member=6885_pso,50,7606.89,16.94815092,7606.89,16.94815092,0.828565,7.771434999999999,7606.8867677638145,16.94814371857778,7606.8867677638145,16.94814371857778,42890.78676776381,95.56067291857778,327,86,lpr:total_combined:bdpl,0.6695788224255923,7.930421177574408
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=37_member=6262_pso,50,11388.2,25.3729096,11388.2,25.3729096,1.2425,7.3575,11388.151134235766,25.372800727077287,11388.151134235766,25.372800727077287,46672.05113423576,103.98532992707726,327,86,lpr:total_combined:bdpl,1.0144084658048764,7.585591534195123
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=39_member=6554_pso,50,10285.0,22.91498,10285.0,22.91498,1.07599,7.52401,10284.979691111877,22.91493475179726,10284.979691111877,22.91493475179726,45568.87969111188,101.52746395179726,327,86,lpr:total_combined:bdpl,0.8660516987183754,7.733948301281624
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=44_member=7409_pso,50,13027.9,29.026161199999997,13027.9,29.026161199999997,1.61819,6.981809999999999,13027.906198178654,29.02617500954204,13027.906198178654,29.02617500954204,48311.806198178645,107.63870420954201,327,86,lpr:total_combined:bdpl,1.3588307570450677,7.241169242954932
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=33_member=5597_pso,50,9167.62,20.425457360000003,9167.62,20.425457360000003,0.993719,7.606280999999999,9167.61535240611,20.425447005160812,9167.61535240611,20.425447005160812,44451.51535240611,99.03797620516082,327,86,lpr:total_combined:bdpl,0.80558959849794,7.794410401502059
T_zminus_2p00,0.8,1360.0,0.022190548492442997,gen=35_member=5926_pso,50,12907.8,28.758578399999998,12907.8,28.758578399999998,1.60584,6.99416,12907.758626244162,28.75848621927199,12907.758626244162,28.75848621927199,48191.65862624416,107.371015419272,327,86,lpr:total_combined:bdpl,1.347497995762869,7.25250200423713
