member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
152,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.253019846367535,4.346980153632464
gen=36_member=6021_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,15.73043752,15.730428646974957,94.34295784697495,0.811083,0.6595980348875442,7.940401965112455
16,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,38.467534,38.46752870631738,117.08005790631736,4.48927,3.9795650466750145,4.620434953324985
130,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,38.6001,38.60014577795708,117.21267497795709,4.69071,4.169856417750175,4.4301435822498245
95,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,38.900657200000005,38.90068138512153,117.51321058512153,4.70127,4.174425927383912,4.4255740726160875
156,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.6137644,37.61379239712806,116.22632159712806,4.4265,3.9269696615337,4.673030338466299
gen=47_member=7948_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,28.5299856,28.529932454502454,107.14246165450244,1.5703,1.3144536694085498,7.285546330591449
gen=48_member=8161_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,24.5082228,24.508282368015493,103.1208115680155,1.17026,0.9467652326121028,7.653234767387897
gen=33_member=5661_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.8916696,36.89173247767671,115.50426167767671,4.21575,3.730241146951724,4.869758853048276
gen=47_member=7921_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.0291372,37.029124549782175,115.6416537497822,4.27101,3.783495948039473,4.816504051960527
gen=40_member=6722_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.391058883778873,7.208941116221126
gen=48_member=8113_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.0135412,37.01352492542517,115.62605412542518,4.2324,3.74715856935276,4.85284143064724
gen=48_member=8218_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.6236412,36.62363801974855,115.23616721974857,4.03399,3.566212736228975,5.033787263771025
gen=42_member=7058_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,17.825114,17.82511697626178,96.4376461762618,0.864582,0.6947525507140457,7.9052474492859535
