scenario,T_factor,T_value,probability_weight,member,generation,archive_pumping_objective_gpm,archive_pumping_objective_cfs,archive_total_pumping_gpm,archive_total_pumping_cfs,archive_depletion_cfs,archive_streamflow_cfs,pumping_objective_reeval_gpm,pumping_objective_reeval_cfs,total_pumping_gpm,total_pumping_cfs,full_model_total_pumping_gpm,full_model_total_pumping_cfs,n_model_q_columns,n_objective_q_columns,depletion_obs_name,depletion_cfs,streamflow_cfs,baseline_parameter_depletion_cfs,baseline_parameter_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_depletion_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
T_minus_10pct,0.9,1530.0,,152,50,17542.8,39.0853584,17542.8,39.0853584,4.78258,3.81742,17542.837279493986,39.0854414587126,17542.837279493986,39.0854414587126,52826.73727949399,117.6979706587126,327,86,lpr:total_combined:bdpl,4.528502874618582,4.071497125381418,4.782582221327709,3.817417778672291,-0.25407934670912713,0.25407934670912713,0.25407934670912713,0.25407934670912713,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=6021_pso,50,7060.34,15.73043752,7060.34,15.73043752,0.811083,7.788917,7060.336017493249,15.730428646974955,7060.336017493249,15.730428646974955,42344.23601749325,94.34295784697495,327,86,lpr:total_combined:bdpl,0.7368285623823636,7.863171437617636,0.8110833649714815,7.788916635028518,-0.07425480258911787,0.07425480258911765,0.07425480258911787,0.07425480258911765,0.0
T_minus_10pct,0.9,1530.0,,16,50,17265.5,38.467534,17265.5,38.467534,4.48927,4.110729999999999,17265.49762402037,38.46752870631738,17265.49762402037,38.46752870631738,52549.39762402036,117.08005790631736,327,86,lpr:total_combined:bdpl,4.244399745369843,4.355600254630157,4.489273592740293,4.1107264072597065,-0.24487384737045037,0.24487384737045037,0.24487384737045037,0.24487384737045037,0.0
T_minus_10pct,0.9,1530.0,,130,50,17325.0,38.6001,17325.0,38.6001,4.69071,3.90929,17325.020546659372,38.60014577795708,17325.020546659372,38.60014577795708,52608.92054665938,117.21267497795708,327,86,lpr:total_combined:bdpl,4.440520481520696,4.159479518479303,4.690710603433739,3.909289396566261,-0.25019012191304313,0.25019012191304224,0.25019012191304313,0.25019012191304224,0.0
T_minus_10pct,0.9,1530.0,,95,50,17459.9,38.900657200000005,17459.9,38.900657200000005,4.70127,3.89873,17459.910855081478,38.90068138512153,17459.910855081478,38.90068138512153,52743.81085508148,117.51321058512151,327,86,lpr:total_combined:bdpl,4.448100830976608,4.151899169023392,4.701268362481829,3.8987316375181695,-0.25316753150522153,0.2531675315052224,0.25316753150522153,0.2531675315052224,0.0
T_minus_10pct,0.9,1530.0,,156,50,16882.3,37.6137644,16882.3,37.6137644,4.4265,4.1735,16882.312566035933,37.61379239712806,16882.312566035933,37.61379239712806,52166.21256603594,116.22632159712806,327,86,lpr:total_combined:bdpl,4.186437557919264,4.413562442080735,4.42649581404381,4.173504185956189,-0.2400582561245459,0.2400582561245459,0.2400582561245459,0.2400582561245459,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=7948_pso,50,12805.2,28.5299856,12805.2,28.5299856,1.5703,7.0297,12805.176146545087,28.52993245450245,12805.176146545087,28.52993245450245,48089.076146545085,107.14246165450244,327,86,lpr:total_combined:bdpl,1.4454573131635846,7.154542686836415,1.5702986372987264,7.029701362701273,-0.12484132413514182,0.12484132413514182,0.12484132413514182,0.12484132413514182,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8161_pso,50,11000.1,24.5082228,11000.1,24.5082228,1.17026,7.42974,11000.12673609313,24.508282368015493,11000.12673609313,24.508282368015493,46284.02673609313,103.1208115680155,327,86,lpr:total_combined:bdpl,1.061361452729345,7.538638547270654,1.1702608914176431,7.429739108582357,-0.10889943868829821,0.10889943868829732,0.10889943868829821,0.10889943868829732,0.0
T_minus_10pct,0.9,1530.0,,gen=33_member=5661_pso,50,16558.2,36.8916696,16558.2,36.8916696,4.21575,4.38425,16558.228221578418,36.89173247767671,16558.228221578418,36.89173247767671,51842.128221578416,115.50426167767672,327,86,lpr:total_combined:bdpl,3.982303300085741,4.617696699914259,4.215754201843512,4.384245798156488,-0.23345090175777106,0.23345090175777017,0.23345090175777106,0.23345090175777017,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=7921_pso,50,16619.9,37.0291372,16619.9,37.0291372,4.27101,4.328989999999999,16619.894322164353,37.029124549782175,16619.894322164353,37.029124549782175,51903.79432216436,115.6416537497822,327,86,lpr:total_combined:bdpl,4.036505397539104,4.563494602460896,4.271007614577858,4.328992385422142,-0.23450221703875407,0.23450221703875407,0.23450221703875407,0.23450221703875407,0.0
