member,T_factor__T_minus_10pct,T_factor__T_plus_10pct,T_factor__baseline_T,T_value__T_minus_10pct,T_value__T_plus_10pct,T_value__baseline_T,absolute_depletion_error_cfs__T_minus_10pct,absolute_depletion_error_cfs__T_plus_10pct,absolute_depletion_error_cfs__baseline_T,absolute_streamflow_error_cfs__T_minus_10pct,absolute_streamflow_error_cfs__T_plus_10pct,absolute_streamflow_error_cfs__baseline_T,depletion_cfs__T_minus_10pct,depletion_cfs__T_plus_10pct,depletion_cfs__baseline_T,depletion_change_from_baseline_cfs__T_minus_10pct,depletion_change_from_baseline_cfs__T_plus_10pct,depletion_change_from_baseline_cfs__baseline_T,full_model_total_pumping_cfs__T_minus_10pct,full_model_total_pumping_cfs__T_plus_10pct,full_model_total_pumping_cfs__baseline_T,pumping_objective_reeval_cfs__T_minus_10pct,pumping_objective_reeval_cfs__T_plus_10pct,pumping_objective_reeval_cfs__baseline_T,streamflow_cfs__T_minus_10pct,streamflow_cfs__T_plus_10pct,streamflow_cfs__baseline_T,streamflow_change_from_baseline_cfs__T_minus_10pct,streamflow_change_from_baseline_cfs__T_plus_10pct,streamflow_change_from_baseline_cfs__baseline_T,streamflow_shortfall_below_baseline_cfs__T_minus_10pct,streamflow_shortfall_below_baseline_cfs__T_plus_10pct,streamflow_shortfall_below_baseline_cfs__baseline_T,pumping_objective_reeval_cfs
130,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.25019012191304313,0.23218363993570268,0.0,0.25019012191304224,0.23218363993570268,0.0,4.440520481520696,4.922894243369441,4.690710603433739,-0.25019012191304313,0.23218363993570268,0.0,117.21267497795708,117.21267497795708,117.21267497795708,38.60014577795708,38.60014577795708,38.60014577795708,4.159479518479303,3.6771057566305583,3.909289396566261,0.25019012191304224,-0.23218363993570268,0.0,0.0,0.23218363993570268,0.0,38.60014577795708
152,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.25407934670912713,0.23562276411572647,0.0,0.25407934670912713,0.23562276411572647,0.0,4.528502874618582,5.018204985443435,4.782582221327709,-0.25407934670912713,0.23562276411572647,0.0,117.6979706587126,117.6979706587126,117.6979706587126,39.0854414587126,39.0854414587126,39.0854414587126,4.071497125381418,3.5817950145565645,3.817417778672291,0.25407934670912713,-0.23562276411572647,0.0,0.0,0.23562276411572647,0.0,39.0854414587126
156,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2400582561245459,0.22311272714396768,0.0,0.2400582561245459,0.22311272714396768,0.0,4.186437557919264,4.649608541187778,4.42649581404381,-0.2400582561245459,0.22311272714396768,0.0,116.22632159712806,116.22632159712806,116.22632159712806,37.61379239712806,37.61379239712806,37.61379239712806,4.413562442080735,3.9503914588122218,4.173504185956189,0.2400582561245459,-0.22311272714396768,0.0,0.0,0.22311272714396768,0.0,37.61379239712806
16,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.24487384737045037,0.22757119341949572,0.0,0.24487384737045037,0.22757119341949572,0.0,4.244399745369843,4.716844786159789,4.489273592740293,-0.24487384737045037,0.22757119341949572,0.0,117.08005790631736,117.08005790631736,117.08005790631736,38.46752870631738,38.46752870631738,38.46752870631738,4.355600254630157,3.883155213840211,4.1107264072597065,0.24487384737045037,-0.22757119341949572,0.0,0.0,0.22757119341949572,0.0,38.46752870631738
95,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.25316753150522153,0.23512781069850242,0.0,0.2531675315052224,0.23512781069850153,0.0,4.448100830976608,4.936396173180332,4.701268362481829,-0.25316753150522153,0.23512781069850242,0.0,117.51321058512151,117.51321058512151,117.51321058512151,38.90068138512153,38.90068138512153,38.90068138512153,4.151899169023392,3.663603826819668,3.8987316375181695,0.2531675315052224,-0.23512781069850153,0.0,0.0,0.23512781069850153,0.0,38.90068138512153
gen=18_member=3072_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.23903353757438683,0.22225475827286356,0.0,0.23903353757438683,0.222254758272864,0.0,4.140090459147749,4.601378754994999,4.379123996722136,-0.23903353757438683,0.22225475827286356,0.0,115.76743606727383,115.76743606727383,115.76743606727383,37.15490686727385,37.15490686727385,37.15490686727385,4.459909540852251,3.998621245005,4.220876003277864,0.23903353757438683,-0.222254758272864,0.0,0.0,0.222254758272864,0.0,37.15490686727385
gen=20_member=3413_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.16659822075936592,0.1579845694461337,0.0,0.16659822075936592,0.1579845694461337,0.0,2.309844086746553,2.6344268769520527,2.476442307505919,-0.16659822075936592,0.1579845694461337,0.0,111.5671413174655,111.5671413174655,111.5671413174655,32.95461211746549,32.95461211746549,32.95461211746549,6.290155913253447,5.965573123047947,6.123557692494081,0.16659822075936592,-0.1579845694461337,0.0,0.0,0.1579845694461337,0.0,32.95461211746549
gen=22_member=3634_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17459302567643187,0.16505571752138648,0.0,0.1745930256764323,0.16505571752138515,0.0,2.4603656098484814,2.8000143530462998,2.6349586355249133,-0.17459302567643187,0.16505571752138648,0.0,112.1000439296572,112.1000439296572,112.1000439296572,33.48751472965719,33.48751472965719,33.48751472965719,6.139634390151518,5.799985646953701,5.965041364475086,0.1745930256764323,-0.16505571752138515,0.0,0.0,0.16505571752138515,0.0,33.48751472965719
gen=24_member=4008_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17915263423177352,0.16924557367309534,0.0,0.17915263423177485,0.1692455736730949,0.0,2.5405398203034,2.888938028208269,2.7196924545351737,-0.17915263423177352,0.16924557367309534,0.0,112.3794900769146,112.3794900769146,112.3794900769146,33.76696087691461,33.76696087691461,33.76696087691461,6.0594601796966,5.711061971791731,5.8803075454648255,0.17915263423177485,-0.1692455736730949,0.0,0.0,0.1692455736730949,0.0,33.76696087691461
gen=26_member=4423_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1649389719975507,0.15643363071893646,0.0,0.16493897199755025,0.15643363071893646,0.0,2.2792934783295187,2.600666081046006,2.4442324503270694,-0.1649389719975507,0.15643363071893646,0.0,111.43882795416609,111.43882795416609,111.43882795416609,32.826298754166096,32.826298754166096,32.826298754166096,6.3207065216704805,5.999333918953994,6.15576754967293,0.16493897199755025,-0.15643363071893646,0.0,0.0,0.15643363071893646,0.0,32.826298754166096
