member,scenario,scenario_label,T_factor,S_factor,T_only_scenario,S_only_scenario,pumping_objective_reeval_cfs,combined_streamflow_change_cfs,T_only_streamflow_change_cfs,S_only_streamflow_change_cfs,additive_expected_streamflow_change_cfs,streamflow_interaction_effect_cfs,combined_depletion_change_cfs,T_only_depletion_change_cfs,S_only_depletion_change_cfs,additive_expected_depletion_change_cfs,depletion_interaction_effect_cfs
152,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,39.0854414587126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=36_member=6021_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,15.730428646974955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,38.46752870631738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,38.60014577795708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,38.90068138512153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.61379239712806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7948_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,28.52993245450245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8161_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,24.508282368015493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=33_member=5661_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.89173247767671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7921_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.029124549782175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=40_member=6722_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.206608318766545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8113_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.01352492542517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8218_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.62363801974855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7058_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,17.82511697626178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=48_member=8245_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.87888641911074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6922_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,32.11592080418332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=41_member=6885_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,16.94814371857778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=37_member=6262_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,25.372800727077287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=39_member=6554_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,22.91493475179726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=44_member=7409_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,29.02617500954204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=33_member=5597_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,20.42544700516081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=35_member=5926_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,28.75848621927199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=42_member=7147_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,36.78548226240043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gen=47_member=7992_pso,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,baseline_T,baseline_storage,37.30318347661641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
