member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,baseline_depletion_cfs,baseline_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
152,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.782582221327709,3.817417778672291,4.782582221327709,3.817417778672291,0.0,0.0,0.0,0.0
gen=36_member=6021_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,15.73043752,15.730428646974955,94.34295784697495,0.811083,0.8110833649714815,7.788916635028518,0.8110833649714815,7.788916635028518,0.0,0.0,0.0,0.0
16,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.467534,38.46752870631738,117.08005790631736,4.48927,4.489273592740293,4.1107264072597065,4.489273592740293,4.1107264072597065,0.0,0.0,0.0,0.0
130,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.6001,38.60014577795708,117.21267497795708,4.69071,4.690710603433739,3.909289396566261,4.690710603433739,3.909289396566261,0.0,0.0,0.0,0.0
95,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,38.900657200000005,38.90068138512153,117.51321058512151,4.70127,4.701268362481829,3.8987316375181695,4.701268362481829,3.8987316375181695,0.0,0.0,0.0,0.0
156,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.42649581404381,4.173504185956189,4.42649581404381,4.173504185956189,0.0,0.0,0.0,0.0
gen=47_member=7948_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,28.5299856,28.52993245450245,107.14246165450244,1.5703,1.5702986372987264,7.029701362701273,1.5702986372987264,7.029701362701273,0.0,0.0,0.0,0.0
gen=48_member=8161_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.1702608914176431,7.429739108582357,1.1702608914176431,7.429739108582357,0.0,0.0,0.0,0.0
gen=33_member=5661_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.8916696,36.89173247767671,115.50426167767672,4.21575,4.215754201843512,4.384245798156488,4.215754201843512,4.384245798156488,0.0,0.0,0.0,0.0
gen=47_member=7921_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.271007614577858,4.328992385422142,4.271007614577858,4.328992385422142,0.0,0.0,0.0,0.0
