member,S_factor__Thigh_Shigh,S_factor__Thigh_Slow,S_factor__Tlow_Shigh,S_factor__Tlow_Slow,S_factor__baseline_T1_S1,T_factor__Thigh_Shigh,T_factor__Thigh_Slow,T_factor__Tlow_Shigh,T_factor__Tlow_Slow,T_factor__baseline_T1_S1,absolute_streamflow_error_cfs__Thigh_Shigh,absolute_streamflow_error_cfs__Thigh_Slow,absolute_streamflow_error_cfs__Tlow_Shigh,absolute_streamflow_error_cfs__Tlow_Slow,absolute_streamflow_error_cfs__baseline_T1_S1,depletion_cfs__Thigh_Shigh,depletion_cfs__Thigh_Slow,depletion_cfs__Tlow_Shigh,depletion_cfs__Tlow_Slow,depletion_cfs__baseline_T1_S1,depletion_change_from_baseline_cfs__Thigh_Shigh,depletion_change_from_baseline_cfs__Thigh_Slow,depletion_change_from_baseline_cfs__Tlow_Shigh,depletion_change_from_baseline_cfs__Tlow_Slow,depletion_change_from_baseline_cfs__baseline_T1_S1,pumping_objective_reeval_cfs__Thigh_Shigh,pumping_objective_reeval_cfs__Thigh_Slow,pumping_objective_reeval_cfs__Tlow_Shigh,pumping_objective_reeval_cfs__Tlow_Slow,pumping_objective_reeval_cfs__baseline_T1_S1,streamflow_cfs__Thigh_Shigh,streamflow_cfs__Thigh_Slow,streamflow_cfs__Tlow_Shigh,streamflow_cfs__Tlow_Slow,streamflow_cfs__baseline_T1_S1,streamflow_change_from_baseline_cfs__Thigh_Shigh,streamflow_change_from_baseline_cfs__Thigh_Slow,streamflow_change_from_baseline_cfs__Tlow_Shigh,streamflow_change_from_baseline_cfs__Tlow_Slow,streamflow_change_from_baseline_cfs__baseline_T1_S1,streamflow_shortfall_below_baseline_cfs__Thigh_Shigh,streamflow_shortfall_below_baseline_cfs__Thigh_Slow,streamflow_shortfall_below_baseline_cfs__Tlow_Shigh,streamflow_shortfall_below_baseline_cfs__Tlow_Slow,streamflow_shortfall_below_baseline_cfs__baseline_T1_S1,pumping_objective_reeval_cfs
130,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,2.220446049250313e-15,0.4949088597939335,0.4699768053887343,4.440892098500626e-15,0.0,4.690710603433737,5.185619463227672,4.220733798045004,4.690710603433734,4.690710603433739,-1.7763568394002505e-15,0.4949088597939335,-0.4699768053887343,-4.440892098500626e-15,0.0,38.60014577795708,38.60014577795708,38.60014577795708,38.60014577795708,38.60014577795708,3.909289396566263,3.4143805367723274,4.379266201954995,3.9092893965662654,3.909289396566261,2.220446049250313e-15,-0.4949088597939335,0.4699768053887343,4.440892098500626e-15,0.0,0.0,0.4949088597939335,0.0,0.0,0.0,38.60014577795708
152,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,8.881784197001252e-16,0.5019792268653607,0.47785587235166105,4.440892098500626e-15,0.0,4.782582221327708,5.284561448193069,4.304726348976048,4.782582221327705,4.782582221327709,-8.881784197001252e-16,0.5019792268653607,-0.47785587235166105,-3.552713678800501e-15,0.0,39.0854414587126,39.0854414587126,39.0854414587126,39.0854414587126,39.0854414587126,3.817417778672292,3.3154385518069303,4.295273651023952,3.8174177786722954,3.817417778672291,8.881784197001252e-16,-0.5019792268653607,0.47785587235166105,4.440892098500626e-15,0.0,0.0,0.5019792268653607,0.0,0.0,0.0,39.0854414587126
156,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,8.881784197001252e-16,0.47596549423808954,0.45081751871242837,3.552713678800501e-15,0.0,4.426495814043809,4.9024613082819,3.975678295331382,4.426495814043807,4.42649581404381,-8.881784197001252e-16,0.47596549423809,-0.45081751871242837,-3.552713678800501e-15,0.0,37.61379239712806,37.61379239712806,37.61379239712806,37.61379239712806,37.61379239712806,4.17350418595619,3.6975386917181,4.624321704668618,4.173504185956193,4.173504185956189,8.881784197001252e-16,-0.47596549423808954,0.45081751871242837,3.552713678800501e-15,0.0,0.0,0.47596549423808954,0.0,0.0,0.0,37.61379239712806
16,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,1.7763568394002505e-15,0.48537216278478423,0.4600566911755495,3.552713678800501e-15,0.0,4.489273592740291,4.974645755525077,4.029216901564744,4.48927359274029,4.489273592740293,-1.7763568394002505e-15,0.4853721627847838,-0.4600566911755495,-3.552713678800501e-15,0.0,38.46752870631738,38.46752870631738,38.46752870631738,38.46752870631738,38.46752870631738,4.110726407259708,3.6253542444749223,4.570783098435256,4.11072640725971,4.1107264072597065,1.7763568394002505e-15,-0.48537216278478423,0.4600566911755495,3.552713678800501e-15,0.0,0.0,0.48537216278478423,0.0,0.0,0.0,38.46752870631738
95,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,1.7763568394002505e-15,0.5012642797291305,0.4753222516538047,5.329070518200751e-15,0.0,4.701268362481828,5.202532642210961,4.225946110828025,4.701268362481825,4.701268362481829,-8.881784197001252e-16,0.5012642797291313,-0.4753222516538038,-4.440892098500626e-15,0.0,38.90068138512153,38.90068138512153,38.90068138512153,38.90068138512153,38.90068138512153,3.8987316375181713,3.397467357789039,4.374053889171974,3.898731637518175,3.8987316375181695,1.7763568394002505e-15,-0.5012642797291305,0.4753222516538047,5.329070518200751e-15,0.0,0.0,0.5012642797291305,0.0,0.0,0.0,38.90068138512153
gen=18_member=3072_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,8.881784197001252e-16,0.47404008836499,0.4490834673101034,4.440892098500626e-15,0.0,4.379123996722135,4.853164085087126,3.930040529412032,4.379123996722131,4.379123996722136,-8.881784197001252e-16,0.47404008836499045,-0.44908346731010385,-4.440892098500626e-15,0.0,37.15490686727385,37.15490686727385,37.15490686727385,37.15490686727385,37.15490686727385,4.220876003277865,3.746835914912874,4.669959470587967,4.220876003277868,4.220876003277864,8.881784197001252e-16,-0.47404008836499,0.4490834673101034,4.440892098500626e-15,0.0,0.0,0.47404008836499,0.0,0.0,0.0,37.15490686727385
gen=20_member=3413_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,2.6645352591003757e-15,0.3406270777487661,0.3100610288554506,4.440892098500626e-15,0.0,2.476442307505916,2.817069385254685,2.1663812786504684,2.476442307505915,2.476442307505919,-3.1086244689504383e-15,0.3406270777487661,-0.3100610288554506,-3.9968028886505635e-15,0.0,32.95461211746549,32.95461211746549,32.95461211746549,32.95461211746549,32.95461211746549,6.123557692494083,5.782930614745315,6.433618721349531,6.123557692494085,6.123557692494081,2.6645352591003757e-15,-0.3406270777487661,0.3100610288554506,4.440892098500626e-15,0.0,0.0,0.3406270777487661,0.0,0.0,0.0,32.95461211746549
gen=22_member=3634_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,0.0,0.355309769971325,0.3254407516643756,0.0,0.0,2.6349586355249133,2.9902684054962387,2.3095178838605386,2.6349586355249133,2.6349586355249133,0.0,0.35530976997132546,-0.3254407516643747,0.0,0.0,33.48751472965719,33.48751472965719,33.48751472965719,33.48751472965719,33.48751472965719,5.965041364475086,5.609731594503761,6.2904821161394615,5.965041364475086,5.965041364475086,0.0,-0.355309769971325,0.3254407516643756,0.0,0.0,0.0,0.355309769971325,0.0,0.0,0.0,33.48751472965719
gen=24_member=4008_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,5.329070518200751e-15,0.36420235923579547,0.33402032720678054,5.329070518200751e-15,0.0,2.7196924545351693,3.0838948137709696,2.3856721273283936,2.7196924545351693,2.7196924545351737,-4.440892098500626e-15,0.3642023592357959,-0.3340203272067801,-4.440892098500626e-15,0.0,33.76696087691461,33.76696087691461,33.76696087691461,33.76696087691461,33.76696087691461,5.880307545464831,5.51610518622903,6.214327872671606,5.880307545464831,5.8803075454648255,5.329070518200751e-15,-0.36420235923579547,0.33402032720678054,5.329070518200751e-15,0.0,0.0,0.36420235923579547,0.0,0.0,0.0,33.76696087691461
gen=26_member=4423_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,2.6645352591003757e-15,0.33731262115511296,0.3069297788996028,3.552713678800501e-15,0.0,2.4442324503270667,2.7815450714821823,2.137302671427466,2.444232450327066,2.4442324503270694,-2.6645352591003757e-15,0.33731262115511296,-0.30692977889960327,-3.552713678800501e-15,0.0,32.826298754166096,32.826298754166096,32.826298754166096,32.826298754166096,32.826298754166096,6.155767549672933,5.818454928517817,6.462697328572533,6.155767549672934,6.15576754967293,2.6645352591003757e-15,-0.33731262115511296,0.3069297788996028,3.552713678800501e-15,0.0,0.0,0.33731262115511296,0.0,0.0,0.0,32.826298754166096
