member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
152,39.0854414587126,3.817417778672291,4.782582221327709,3.8252803114187928,4.774719688581206,0.007862532746501838,-0.007862532746502282,0.18080466488913804,0.18080466488913804,0.08647106607131794,0.08647106607131794,0.22524145729039935,0.22524145729039935,3.4148615932209427,3.769367653180761,4.167449813273267,4.3219466730831,4.732900180703646,5.097669501912594
gen=36_member=6021_pso,15.730428646974957,7.788916635028518,0.8110833649714815,7.790116049388856,0.809883950611144,0.0011994143603377694,-0.0011994143603374363,0.05374144089881494,0.05374144089881494,0.026271013269238634,0.02627101326923872,0.06684998977299308,0.06684998977299308,7.665405210396542,7.774467380156673,7.890374026556611,0.6786663679582817,0.7964064273966789,0.9071917399203872
16,38.46752870631738,4.1107264072597065,4.489273592740293,4.1181082434346195,4.481891756565381,0.007381836174912948,-0.00738183617491206,0.17441544493352112,0.17441544493352118,0.0835168043793043,0.0835168043793043,0.21726166251010037,0.2172616625101004,3.721681281906807,4.064366377566021,4.4479119440161075,4.045776935156424,4.44134799323871,4.793700596705589
130,38.60014577795708,3.909289396566261,4.690710603433739,3.9169128624792546,4.683087137520745,0.007623465912993677,-0.007623465912994121,0.17807135712688682,0.17807135712688682,0.08522394560694632,0.08522394560694632,0.221806390293663,0.221806390293663,3.51250021290138,3.8619038489442428,4.253716168715919,4.237521430253075,4.641757977483847,5.001312411458272
95,38.90068138512153,3.8987316375181704,4.701268362481829,3.906329342408338,4.693670657591662,0.007597704890167645,-0.007597704890167201,0.1802474292697001,0.1802474292697001,0.08632486218976643,0.08632486218976643,0.2245125170766504,0.2245125170766504,3.4968107689121495,3.8506968366236616,4.247152156676746,4.242826059093228,4.651790810225001,5.01588925787877
156,37.61379239712806,4.173504185956189,4.42649581404381,4.180709092919938,4.419290907080062,0.007204906963748314,-0.007204906963748314,0.17099879156547487,0.17099879156547487,0.08189694230086336,0.08189694230086336,0.21298517109244958,0.21298517109244958,3.792028421752285,4.128006099661834,4.503966363130867,3.9918236191817678,4.379477865300137,4.725014759131819
gen=47_member=7948_pso,28.529932454502454,7.029701362701273,1.5702986372987264,7.032095368393014,1.5679046316069865,0.0023940056917410857,-0.0023940056917399755,0.09003981706375964,0.09003981706375964,0.04382290568600963,0.04382290568600988,0.11203551719071837,0.1120355171907183,6.824052780160168,7.0055425879151745,7.200569340861973,1.3468886093526378,1.5456848719510987,1.7304897126846093
gen=48_member=8161_pso,24.508282368015493,7.429739108582357,1.1702608914176431,7.432015210516933,1.1679847894830662,0.002276101934575614,-0.002276101934576946,0.07836892164397533,0.07836892164397544,0.03804640985469939,0.03804640985469921,0.09750978801668547,0.09750978801668556,7.251521883752102,7.4087241328812805,7.578876720956149,0.9751555893689894,1.1488133815418253,1.3092474350873256
gen=33_member=5661_pso,36.89173247767671,4.3842457981564875,4.215754201843512,4.3910893642854205,4.208910635714579,0.0068435661289329985,-0.0068435661289329985,0.16641151550728966,0.1664115155072896,0.07978397468917826,0.07978397468917826,0.20726814725087708,0.20726814725087706,4.012454897369902,4.339898457167463,4.705561715088148,3.793199235372975,4.170079430587331,4.506533986083462
gen=47_member=7921_pso,37.029124549782175,4.328992385422142,4.271007614577858,4.335839659517961,4.2641603404820385,0.006847274095819422,-0.006847274095819422,0.16717539608034485,0.1671753960803449,0.08016406099226277,0.08016406099226277,0.20820430015343144,0.2082043001534315,3.9554492991851946,4.284440673254933,4.651637432661341,3.8467122733253323,4.225099467849534,4.563237299591854
