parameter_name,parameter_label,parameter_symbol,scenario,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight
transmissivity,Transmissivity,T,transmissivity_zminus_2p00,-2.0,0.8,1360.0,1700.0,0.022190548492442997
transmissivity,Transmissivity,T,transmissivity_zminus_1p60,-1.6,0.84,1428.0,1700.0,0.045588999785278535
transmissivity,Transmissivity,T,transmissivity_zminus_1p20,-1.2,0.88,1496.0,1700.0,0.079811408240092
transmissivity,Transmissivity,T,transmissivity_zminus_0p80,-0.7999999999999998,0.92,1564.0,1700.0,0.11906462996609925
transmissivity,Transmissivity,T,transmissivity_zminus_0p40,-0.3999999999999999,0.96,1632.0,1700.0,0.15136080967773613
transmissivity,Transmissivity,T,baseline_transmissivity,0.0,1.0,1700.0,1700.0,0.16396720767670225
transmissivity,Transmissivity,T,transmissivity_zplus_0p40,0.40000000000000036,1.04,1768.0,1700.0,0.1513608096777361
transmissivity,Transmissivity,T,transmissivity_zplus_0p80,0.8000000000000003,1.08,1836.0000000000002,1700.0,0.1190646299660992
transmissivity,Transmissivity,T,transmissivity_zplus_1p20,1.2000000000000002,1.12,1904.0000000000002,1700.0,0.07981140824009199
transmissivity,Transmissivity,T,transmissivity_zplus_1p60,1.6,1.1600000000000001,1972.0000000000002,1700.0,0.045588999785278535
transmissivity,Transmissivity,T,transmissivity_zplus_2p00,2.0,1.2,2040.0,1700.0,0.022190548492442997
