member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
152,50,storage_zminus_2p00,,,0.8,0.096,39.0853584,39.0854414587126,117.6979706587126,4.78258,5.342047588535565,3.2579524114644345,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=36_member=6021_pso,50,storage_zminus_2p00,,,0.8,0.096,15.73043752,15.730428646974955,94.34295784697495,0.811083,0.9844791225973945,7.615520877402605,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
16,50,storage_zminus_2p00,,,0.8,0.096,38.467534,38.46752870631738,117.08005790631736,4.48927,5.03039195136334,3.56960804863666,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
130,50,storage_zminus_2p00,,,0.8,0.096,38.6001,38.60014577795708,117.21267497795708,4.69071,5.2424664591677805,3.357533540832219,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
95,50,storage_zminus_2p00,,,0.8,0.096,38.900657200000005,38.90068138512153,117.51321058512151,4.70127,5.260143665972492,3.339856334027508,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
156,50,storage_zminus_2p00,,,0.8,0.096,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.957207466913292,3.6427925330867073,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7948_pso,50,storage_zminus_2p00,,,0.8,0.096,28.5299856,28.52993245450245,107.14246165450244,1.5703,1.8585284271432023,6.741471572856797,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8161_pso,50,storage_zminus_2p00,,,0.8,0.096,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.4194527801009629,7.1805472198990365,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=33_member=5661_pso,50,storage_zminus_2p00,,,0.8,0.096,36.8916696,36.89173247767671,115.50426167767672,4.21575,4.732797394737032,3.867202605262968,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7921_pso,50,storage_zminus_2p00,,,0.8,0.096,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.790738009723927,3.809261990276073,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=40_member=6722_pso,50,storage_zminus_2p00,,,0.8,0.096,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.953481549346288,6.646518450653712,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8113_pso,50,storage_zminus_2p00,,,0.8,0.096,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.7500742053329885,3.849925794667011,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8218_pso,50,storage_zminus_2p00,,,0.8,0.096,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.535851315971919,4.064148684028081,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=42_member=7058_pso,50,storage_zminus_2p00,,,0.8,0.096,17.825114,17.82511697626178,96.4376461762618,0.864582,1.058666210108666,7.541333789891333,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8245_pso,50,storage_zminus_2p00,,,0.8,0.096,36.87897,36.87888641911074,115.49141561911075,4.17121,4.686455370301822,3.913544629698178,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6922_pso,50,storage_zminus_2p00,,,0.8,0.096,32.1159516,32.11592080418332,110.72845000418332,2.24821,2.60581203515672,5.99418796484328,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6885_pso,50,storage_zminus_2p00,,,0.8,0.096,16.94815092,16.94814371857778,95.56067291857778,0.828565,1.010004631017734,7.589995368982265,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=37_member=6262_pso,50,storage_zminus_2p00,,,0.8,0.096,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.496382103061399,7.103617896938601,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6554_pso,50,storage_zminus_2p00,,,0.8,0.096,22.91498,22.91493475179726,101.52746395179726,1.07599,1.312094708504182,7.287905291495818,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=44_member=7409_pso,50,storage_zminus_2p00,,,0.8,0.096,29.0261612,29.02617500954204,107.638704209542,1.61819,1.910220018508515,6.689779981491485,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=33_member=5597_pso,50,storage_zminus_2p00,,,0.8,0.096,20.425457360000003,20.42544700516081,99.03797620516082,0.993719,1.205127952983924,7.394872047016076,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=35_member=5926_pso,50,storage_zminus_2p00,,,0.8,0.096,28.7585784,28.75848621927199,107.371015419272,1.60584,1.897367882297754,6.702632117702246,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=42_member=7147_pso,50,storage_zminus_2p00,,,0.8,0.096,36.785394,36.78548226240043,115.39801146240043,4.12536,4.637690350753473,3.962309649246527,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7992_pso,50,storage_zminus_2p00,,,0.8,0.096,37.3031812,37.30318347661641,115.91571267661642,4.41535,4.945053298864589,3.654946701135411,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=44_member=7479_pso,50,storage_zminus_2p00,,,0.8,0.096,29.72709,29.726992928553692,108.3395221285537,1.7727,2.0839416512766573,6.516058348723343,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7840_pso,50,storage_zminus_2p00,,,0.8,0.096,27.8384144,27.838357196260656,106.45088639626066,1.46259,1.7376543816347163,6.862345618365284,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=36_member=6076_pso,50,storage_zminus_2p00,,,0.8,0.096,37.071692,37.07165394641189,115.6841831464119,4.31441,4.8386505169405964,3.761349483059403,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6576_pso,50,storage_zminus_2p00,,,0.8,0.096,24.5768452,24.57679423226629,103.18932343226628,1.21064,1.4569276754512497,7.143072324548751,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=46_member=7833_pso,50,storage_zminus_2p00,,,0.8,0.096,30.2738412,30.273822445456965,108.88635164545695,1.83739,2.1548361363725137,6.445163863627486,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=36_member=6039_pso,50,storage_zminus_2p00,,,0.8,0.096,34.2367848,34.236759922666806,112.84928912266682,2.88658,3.308057132578804,5.291942867421196,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=45_member=7630_pso,50,storage_zminus_2p00,,,0.8,0.096,20.27341864,20.273425248681576,98.88595444868156,0.964314,1.179015641724635,7.420984358275365,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=7002_pso,50,storage_zminus_2p00,,,0.8,0.096,31.456018,31.456010064777686,110.0685392647777,2.09323,2.4366985279097904,6.163301472090209,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
