parameter_name,parameter_label,metric,value
transmissivity,Transmissivity,n_members,296.0
transmissivity,Transmissivity,mean_probability_weighted_absolute_streamflow_error_cfs,0.12648311417186178
transmissivity,Transmissivity,max_probability_weighted_absolute_streamflow_error_cfs,0.1808046648891381
transmissivity,Transmissivity,mean_probability_weighted_streamflow_shortfall_cfs,0.061057529167920045
transmissivity,Transmissivity,max_probability_weighted_streamflow_shortfall_cfs,0.08647106607131799
transmissivity,Transmissivity,mean_streamflow_std_cfs,0.15746767393907957
transmissivity,Transmissivity,max_streamflow_std_cfs,0.2252414572903994
transmissivity,Transmissivity,mean_expected_streamflow_bias_from_baseline_cfs,0.00436805583602172
transmissivity,Transmissivity,mean_probability_weighted_absolute_depletion_error_cfs,0.12648311417186178
transmissivity,Transmissivity,mean_probability_weighted_depletion_excess_cfs,0.06105752916792005
transmissivity,Transmissivity,mean_depletion_std_cfs,0.15746767393907957
