scenario,T_z_score,S_z_score,T_factor,S_factor,T_value,S_value,diffusivity_factor,T_probability_weight,S_probability_weight,joint_probability_weight_raw,joint_probability_weight,scenario_label
Tzminus2p00_Szminus2p00,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,0.0029690167439504977,"T 0.80, S 0.80"
Tzminus2p00_Szminus1p00,-2.0,-1.0,0.8,0.9,1360.0,0.108,0.888888888888889,0.054488684549642945,0.24420134200323335,0.013306209891013653,0.013306209891013653,"T 0.80, S 0.90"
Tzminus2p00_Szplus0p00,-2.0,0.0,0.8,1.0,1360.0,0.12,0.8,0.054488684549642945,0.40261994689424746,0.021938231279714643,0.021938231279714643,"T 0.80, S 1.00"
Tzminus2p00_Szplus1p00,-2.0,1.0,0.8,1.1,1360.0,0.132,0.7272727272727273,0.054488684549642945,0.24420134200323335,0.013306209891013653,0.013306209891013653,"T 0.80, S 1.10"
Tzminus2p00_Szplus2p00,-2.0,2.0,0.8,1.2,1360.0,0.144,0.6666666666666667,0.054488684549642945,0.054488684549642945,0.0029690167439504977,0.0029690167439504977,"T 0.80, S 1.20"
Tzminus1p00_Szminus2p00,-1.0,-2.0,0.9,0.8,1530.0,0.096,1.125,0.24420134200323335,0.054488684549642945,0.013306209891013653,0.013306209891013653,"T 0.90, S 0.80"
Tzminus1p00_Szminus1p00,-1.0,-1.0,0.9,0.9,1530.0,0.108,1.0,0.24420134200323335,0.24420134200323335,0.05963429543618014,0.05963429543618014,"T 0.90, S 0.90"
Tzminus1p00_Szplus0p00,-1.0,0.0,0.9,1.0,1530.0,0.12,0.9,0.24420134200323335,0.40261994689424746,0.09832033134884577,0.09832033134884577,"T 0.90, S 1.00"
Tzminus1p00_Szplus1p00,-1.0,1.0,0.9,1.1,1530.0,0.132,0.8181818181818181,0.24420134200323335,0.24420134200323335,0.05963429543618014,0.05963429543618014,"T 0.90, S 1.10"
Tzminus1p00_Szplus2p00,-1.0,2.0,0.9,1.2,1530.0,0.144,0.75,0.24420134200323335,0.054488684549642945,0.013306209891013653,0.013306209891013653,"T 0.90, S 1.20"
Tzplus0p00_Szminus2p00,0.0,-2.0,1.0,0.8,1700.0,0.096,1.25,0.40261994689424746,0.054488684549642945,0.021938231279714643,0.021938231279714643,"T 1.00, S 0.80"
Tzplus0p00_Szminus1p00,0.0,-1.0,1.0,0.9,1700.0,0.108,1.1111111111111112,0.40261994689424746,0.24420134200323335,0.09832033134884577,0.09832033134884577,"T 1.00, S 0.90"
Tzplus0p00_Szplus0p00,0.0,0.0,1.0,1.0,1700.0,0.12,1.0,0.40261994689424746,0.40261994689424746,0.16210282163712664,0.16210282163712664,"T 1.00, S 1.00"
Tzplus0p00_Szplus1p00,0.0,1.0,1.0,1.1,1700.0,0.132,0.9090909090909091,0.40261994689424746,0.24420134200323335,0.09832033134884577,0.09832033134884577,"T 1.00, S 1.10"
Tzplus0p00_Szplus2p00,0.0,2.0,1.0,1.2,1700.0,0.144,0.8333333333333334,0.40261994689424746,0.054488684549642945,0.021938231279714643,0.021938231279714643,"T 1.00, S 1.20"
Tzplus1p00_Szminus2p00,1.0,-2.0,1.1,0.8,1870.0000000000002,0.096,1.375,0.24420134200323335,0.054488684549642945,0.013306209891013653,0.013306209891013653,"T 1.10, S 0.80"
Tzplus1p00_Szminus1p00,1.0,-1.0,1.1,0.9,1870.0000000000002,0.108,1.2222222222222223,0.24420134200323335,0.24420134200323335,0.05963429543618014,0.05963429543618014,"T 1.10, S 0.90"
Tzplus1p00_Szplus0p00,1.0,0.0,1.1,1.0,1870.0000000000002,0.12,1.1,0.24420134200323335,0.40261994689424746,0.09832033134884577,0.09832033134884577,"T 1.10, S 1.00"
Tzplus1p00_Szplus1p00,1.0,1.0,1.1,1.1,1870.0000000000002,0.132,1.0,0.24420134200323335,0.24420134200323335,0.05963429543618014,0.05963429543618014,"T 1.10, S 1.10"
Tzplus1p00_Szplus2p00,1.0,2.0,1.1,1.2,1870.0000000000002,0.144,0.9166666666666667,0.24420134200323335,0.054488684549642945,0.013306209891013653,0.013306209891013653,"T 1.10, S 1.20"
Tzplus2p00_Szminus2p00,2.0,-2.0,1.2,0.8,2040.0,0.096,1.4999999999999998,0.054488684549642945,0.054488684549642945,0.0029690167439504977,0.0029690167439504977,"T 1.20, S 0.80"
Tzplus2p00_Szminus1p00,2.0,-1.0,1.2,0.9,2040.0,0.108,1.3333333333333333,0.054488684549642945,0.24420134200323335,0.013306209891013653,0.013306209891013653,"T 1.20, S 0.90"
Tzplus2p00_Szplus0p00,2.0,0.0,1.2,1.0,2040.0,0.12,1.2,0.054488684549642945,0.40261994689424746,0.021938231279714643,0.021938231279714643,"T 1.20, S 1.00"
Tzplus2p00_Szplus1p00,2.0,1.0,1.2,1.1,2040.0,0.132,1.0909090909090908,0.054488684549642945,0.24420134200323335,0.013306209891013653,0.013306209891013653,"T 1.20, S 1.10"
Tzplus2p00_Szplus2p00,2.0,2.0,1.2,1.2,2040.0,0.144,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,0.0029690167439504977,"T 1.20, S 1.20"
