member,generation,scenario,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,T_z_score,S_z_score,T_factor,S_factor,T_value,S_value,diffusivity_factor,T_probability_weight,S_probability_weight,joint_probability_weight,scenario_label
152,50,Tzminus2p00_Szminus2p00,1700.0,0.12,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.782582221327706,3.8174177786722936,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=36_member=6021_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,15.73043752,15.730428646974955,94.34295784697495,0.811083,0.8110833649714819,7.788916635028517,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
16,50,Tzminus2p00_Szminus2p00,1700.0,0.12,38.467534,38.46752870631738,117.08005790631736,4.48927,4.48927359274029,4.11072640725971,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
130,50,Tzminus2p00_Szminus2p00,1700.0,0.12,38.6001,38.60014577795708,117.21267497795708,4.69071,4.690710603433735,3.909289396566265,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
95,50,Tzminus2p00_Szminus2p00,1700.0,0.12,38.900657200000005,38.90068138512153,117.51321058512151,4.70127,4.701268362481826,3.898731637518174,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
156,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.426495814043807,4.173504185956193,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7948_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,28.5299856,28.52993245450245,107.14246165450244,1.5703,1.570298637298725,7.0297013627012745,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8161_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.1702608914176444,7.429739108582355,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=33_member=5661_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.8916696,36.89173247767671,115.50426167767672,4.21575,4.215754201843511,4.384245798156488,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7921_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.271007614577858,4.328992385422142,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
