member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_of_streamflow_shortfall,shortfall_tolerance_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,best_case_streamflow_cfs,worst_case_streamflow_cfs,best_case_T_factor,best_case_S_factor,best_case_diffusivity_factor,worst_case_T_factor,worst_case_S_factor,worst_case_diffusivity_factor,expected_diffusivity_factor,min_diffusivity_factor,max_diffusivity_factor,n_joint_scenarios
152,39.0854414587126,3.817417778672291,4.782582221327709,3.8117587176084915,4.788241282391509,-0.005659061063799431,0.005659061063799875,0.25674475840178823,0.25674475840178823,0.131201909732794,0.3563452770013061,1e-10,0.33521436406089705,0.33521436406089705,3.2464126680523435,3.792959683174533,4.298855375838375,4.24284555120025,4.782582221327708,5.288543530232326,4.754161266717762,2.782548723681728,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=36_member=6021_pso,15.730428646974955,7.788916635028518,0.8110833649714815,7.784758193528668,0.8152418064713326,-0.0041584414998503405,0.004158441499851118,0.0765755784922495,0.07657557849224952,0.040367009996050314,0.3563452770013061,1e-10,0.10016484149528075,0.10016484149528075,7.611767508213246,7.788916635028518,7.92711997766618,0.6568420937995797,0.8110833649714815,0.9673214947352462,8.048334602261082,7.456610062834434,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
16,38.46752870631738,4.1107264072597065,4.489273592740293,4.104789341748209,4.495210658251791,-0.005937065511497863,0.005937065511497863,0.24773175868321815,0.24773175868321812,0.12683441209735807,0.3563452770013061,1e-10,0.3234674248447488,0.3234674248447487,3.558419627310622,4.08710724900093,4.574222497191099,3.969802254505962,4.489273592740291,4.9785073110910245,5.010687888805313,3.1078288806752976,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
130,38.60014577795708,3.909289396566261,4.690710603433739,3.903472534595973,4.696527465404027,-0.0058168619702878566,0.005816861970288301,0.2528739741984186,0.2528739741984186,0.12934541808435332,0.3563452770013061,1e-10,0.3301523505007238,0.3301523505007239,3.346158686827283,3.885193910275091,4.382790493220149,4.159865637737168,4.690710603433737,5.1895572715440785,4.829720787055079,2.8876345088201028,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
95,38.90068138512153,3.8987316375181695,4.701268362481829,3.89268960960875,4.70731039039125,-0.006042027909419545,0.006042027909420433,0.25596216783601733,0.2559621678360171,0.13100209787271866,0.3563452770013061,1e-10,0.3341635984435951,0.334163598443595,3.3283343982151705,3.8743328782904207,4.377622707602464,4.164334595973905,4.701268362481828,5.206523374961797,4.828662941951984,2.8639400226867986,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
156,37.61379239712806,4.173504185956189,4.42649581404381,4.167623857632791,4.432376142367209,-0.005880328323398132,0.00588032832339902,0.2428712758256356,0.24287127582563567,0.12437580207451723,0.3563452770013061,1e-10,0.3171289661222104,0.31712896612221053,3.63181965090822,4.150350219566938,4.627695766218878,3.917402216305781,4.426495814043809,4.906253590973094,5.055501915984427,3.1892386164834683,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=47_member=7948_pso,28.52993245450245,7.029701362701273,1.5702986372987264,7.023567568974681,1.57643243102532,-0.006133793726592174,0.006133793726593506,0.12822064263083133,0.12822064263083127,0.06717721817871214,0.3563452770013061,1e-10,0.16765003827441413,0.16765003827441416,6.735278864094882,7.017348580017846,7.262930558900754,1.3097456440679018,1.5702986372987262,1.8301478703271639,7.470670428787432,6.481887394734432,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=48_member=8161_pso,24.508282368015493,7.429739108582357,1.1702608914176431,7.4248731500731555,1.175126849926845,-0.004865958509201462,0.004865958509201906,0.11145029297947986,0.11145029297947999,0.058158125744341094,0.3563452770013061,1e-10,0.14559590254524013,0.14559590254524027,7.175262845617415,7.429739108582356,7.633435384779896,0.9426416236735854,1.159977259120815,1.3951126427948854,7.815418749106184,6.960338265983285,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=33_member=5661_pso,36.89173247767671,4.384245798156488,4.215754201843512,4.378297063655821,4.221702936344179,-0.005948734500667463,0.005948734500666575,0.23632686533303515,0.23632686533303526,0.12113779991685127,0.3563452770013061,1e-10,0.3086004304693423,0.3086004304693423,3.8564730877701154,4.361699903690149,4.825683765440618,3.7209571661827776,4.215754201843511,4.683052963830251,5.240404011305266,3.4242986900465207,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=47_member=7921_pso,37.029124549782175,4.328992385422142,4.271007614577858,4.322941150583586,4.277058849416414,-0.006051234838555963,0.006051234838555963,0.23743106202659273,0.23743106202659278,0.12174114843257444,0.3563452770013061,1e-10,0.3100397065290966,0.3100397065290967,3.798488511521668,4.328992385422141,4.772324234004934,3.7741818071978614,4.271007614577858,4.740743905067861,5.188284345525805,3.36416464807401,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
