member,member_label,pumping_objective_reeval_cfs,expected_shortfall_cfs,probability_below_threshold,risk_aversion,risk_adjusted_score
gen=36_member=6021_pso,gen=36_member=6021_pso,15.730428646974955,0.0,0.0,0.0,15.730428646974955
gen=35_member=5893_pso,gen=35_member=5893_pso,16.002041893722712,0.0,0.0,0.0,16.002041893722712
gen=41_member=6885_pso,gen=41_member=6885_pso,16.94814371857778,0.0,0.0,0.0,16.94814371857778
gen=42_member=7058_pso,gen=42_member=7058_pso,17.82511697626178,0.0,0.0,0.0,17.82511697626178
gen=29_member=4871_pso,gen=29_member=4871_pso,17.843497187733753,0.0,0.0,0.0,17.843497187733753
gen=33_member=5529_pso,gen=33_member=5529_pso,18.32982475749499,0.0,0.0,0.0,18.32982475749499
gen=48_member=8255_pso,gen=48_member=8255_pso,18.692080334260165,0.0,0.0,0.0,18.692080334260165
gen=34_member=5718_pso,gen=34_member=5718_pso,19.217975104740983,0.0,0.0,0.0,19.217975104740983
gen=28_member=4698_pso,gen=28_member=4698_pso,19.62453473077234,0.0,0.0,0.0,19.62453473077234
gen=45_member=7630_pso,gen=45_member=7630_pso,20.273425248681576,0.0,0.0,0.0,20.273425248681576
gen=33_member=5597_pso,gen=33_member=5597_pso,20.42544700516081,0.0,0.0,0.0,20.42544700516081
gen=37_member=6211_pso,gen=37_member=6211_pso,20.656455308041814,0.0,0.0,0.0,20.656455308041814
gen=50_member=8445_pso,gen=50_member=8445_pso,20.947372107145803,0.0,0.0,0.0,20.947372107145803
gen=35_member=5913_pso,gen=35_member=5913_pso,21.261970620979778,0.0,0.0,0.0,21.261970620979778
gen=34_member=5825_pso,gen=34_member=5825_pso,21.6872977704652,0.0,0.0,0.0,21.6872977704652
gen=44_member=7416_pso,gen=44_member=7416_pso,22.53949283051267,0.0,0.0,0.0,22.53949283051267
gen=39_member=6554_pso,gen=39_member=6554_pso,22.91493475179726,0.0,0.0,0.0,22.91493475179726
gen=42_member=7150_pso,gen=42_member=7150_pso,23.018345966531463,0.0,0.0,0.0,23.018345966531463
gen=44_member=7536_pso,gen=44_member=7536_pso,23.46684587614881,0.0,0.0,0.0,23.46684587614881
gen=48_member=8234_pso,gen=48_member=8234_pso,23.781937390842728,0.0,0.0,0.0,23.781937390842728
gen=47_member=8013_pso,gen=47_member=8013_pso,24.18988587830649,0.0,0.0,0.0,24.18988587830649
gen=48_member=8161_pso,gen=48_member=8161_pso,24.508282368015493,0.0,0.0,0.0,24.508282368015493
gen=39_member=6576_pso,gen=39_member=6576_pso,24.57679423226629,0.0,0.0,0.0,24.57679423226629
gen=28_member=4728_pso,gen=28_member=4728_pso,25.063855919912235,0.0,0.0,0.0,25.063855919912235
gen=37_member=6262_pso,gen=37_member=6262_pso,25.372800727077287,0.0,0.0,0.0,25.372800727077287
gen=48_member=8212_pso,gen=48_member=8212_pso,25.50891213870453,0.0,0.0,0.0,25.50891213870453
gen=45_member=7699_pso,gen=45_member=7699_pso,25.671464649350018,0.0,0.0,0.0,25.671464649350018
gen=32_member=5495_pso,gen=32_member=5495_pso,25.92224315458362,0.0,0.0,0.0,25.92224315458362
gen=43_member=7385_pso,gen=43_member=7385_pso,26.117703630103588,0.0,0.0,0.0,26.117703630103588
gen=47_member=8017_pso,gen=47_member=8017_pso,26.33332130996634,0.0,0.0,0.0,26.33332130996634
gen=47_member=7933_pso,gen=47_member=7933_pso,26.49956968298791,0.0,0.0,0.0,26.49956968298791
gen=36_member=6188_pso,gen=36_member=6188_pso,26.54503702240775,0.0,0.0,0.0,26.54503702240775
gen=45_member=7623_pso,gen=45_member=7623_pso,26.86788661943628,0.0,0.0,0.0,26.86788661943628
gen=43_member=7278_pso,gen=43_member=7278_pso,26.96102909294159,0.0,0.0,0.0,26.96102909294159
gen=34_member=5740_pso,gen=34_member=5740_pso,27.025055498234494,0.0,0.0,0.0,27.025055498234494
gen=46_member=7881_pso,gen=46_member=7881_pso,27.192862415219388,0.0,0.0,0.0,27.192862415219388
gen=50_member=8469_pso,gen=50_member=8469_pso,27.342638190802248,0.0,0.0,0.0,27.342638190802248
gen=41_member=6889_pso,gen=41_member=6889_pso,27.38432060845482,0.0,0.0,0.0,27.38432060845482
gen=40_member=6838_pso,gen=40_member=6838_pso,27.54385585819388,0.0,0.0,0.0,27.54385585819388
gen=47_member=7994_pso,gen=47_member=7994_pso,27.707961235794844,0.0,0.0,0.0,27.707961235794844
gen=46_member=7840_pso,gen=46_member=7840_pso,27.838357196260656,0.0,0.0,0.0,27.838357196260656
gen=32_member=5405_pso,gen=32_member=5405_pso,27.86653650330677,0.0,0.0,0.0,27.86653650330677
gen=41_member=6988_pso,gen=41_member=6988_pso,27.935094147883344,0.0,0.0,0.0,27.935094147883344
gen=44_member=7417_pso,gen=44_member=7417_pso,28.04007293817745,0.0,0.0,0.0,28.04007293817745
gen=37_member=6360_pso,gen=37_member=6360_pso,28.056013799679008,0.0,0.0,0.0,28.056013799679008
gen=45_member=7732_pso,gen=45_member=7732_pso,28.232171596528566,0.0,0.0,0.0,28.232171596528566
gen=43_member=7309_pso,gen=43_member=7309_pso,28.362383210764136,0.0,0.0,0.0,28.362383210764136
gen=50_member=8474_pso,gen=50_member=8474_pso,28.369120398124423,0.0,0.0,0.0,28.369120398124423
gen=50_member=8467_pso,gen=50_member=8467_pso,28.43175005450413,0.0,0.0,0.0,28.43175005450413
gen=47_member=7948_pso,gen=47_member=7948_pso,28.52993245450245,0.0,0.0,0.0,28.52993245450245
gen=35_member=5926_pso,gen=35_member=5926_pso,28.75848621927199,0.0,0.0,0.0,28.75848621927199
gen=44_member=7409_pso,gen=44_member=7409_pso,29.02617500954204,0.0,0.0,0.0,29.02617500954204
gen=50_member=8443_pso,gen=50_member=8443_pso,29.0287517204358,0.0,0.0,0.0,29.0287517204358
gen=50_member=8507_pso,gen=50_member=8507_pso,29.113125122660595,0.0,0.0,0.0,29.113125122660595
gen=40_member=6722_pso,gen=40_member=6722_pso,29.206608318766545,0.0,0.0,0.0,29.206608318766545
gen=39_member=6689_pso,gen=39_member=6689_pso,29.416418185838467,0.0,0.0,0.0,29.416418185838467
gen=45_member=7580_pso,gen=45_member=7580_pso,29.41977376399195,0.0,0.0,0.0,29.41977376399195
gen=36_member=6150_pso,gen=36_member=6150_pso,29.51027094900253,0.0,0.0,0.0,29.51027094900253
gen=41_member=6902_pso,gen=41_member=6902_pso,29.628353465378915,0.0,0.0,0.0,29.628353465378915
gen=43_member=7394_pso,gen=43_member=7394_pso,29.69937939750987,0.0,0.0,0.0,29.69937939750987
gen=44_member=7479_pso,gen=44_member=7479_pso,29.72699292855369,0.0,0.0,0.0,29.72699292855369
gen=37_member=6202_pso,gen=37_member=6202_pso,29.76557254860932,0.0,0.0,0.0,29.76557254860932
gen=41_member=6892_pso,gen=41_member=6892_pso,29.76585730134148,0.0,0.0,0.0,29.76585730134148
gen=42_member=7112_pso,gen=42_member=7112_pso,29.954952265185444,0.0,0.0,0.0,29.954952265185444
gen=49_member=8327_pso,gen=49_member=8327_pso,30.10695679161178,0.0,0.0,0.0,30.10695679161178
gen=46_member=7815_pso,gen=46_member=7815_pso,30.209600453547942,0.0,0.0,0.0,30.209600453547942
gen=46_member=7833_pso,gen=46_member=7833_pso,30.273822445456965,0.0,0.0,0.0,30.273822445456965
gen=48_member=8130_pso,gen=48_member=8130_pso,30.29664546331896,0.0,0.0,0.0,30.29664546331896
gen=49_member=8310_pso,gen=49_member=8310_pso,30.43676948862573,0.0,0.0,0.0,30.43676948862573
gen=38_member=6402_pso,gen=38_member=6402_pso,30.51186014513365,0.0,0.0,0.0,30.51186014513365
gen=43_member=7373_pso,gen=43_member=7373_pso,30.566917442941545,0.0,0.0,0.0,30.566917442941545
gen=42_member=7156_pso,gen=42_member=7156_pso,30.610510708305725,0.0,0.0,0.0,30.610510708305725
