member,pumping_objective_reeval_cfs,streamflow_p05_cfs,streamflow_p95_cfs,worst_case_streamflow_cfs,best_case_streamflow_cfs,expected_depletion_cfs,full_envelope_height_cfs,central_90pct_envelope_height_cfs,prob_below_5_cfs,expected_shortfall_below_5_cfs,max_shortfall_below_5_cfs,streamflow_meets_5_cfs_prob,prob_below_6_cfs,expected_shortfall_below_6_cfs,max_shortfall_below_6_cfs,streamflow_meets_6_cfs_prob,prob_below_7_cfs,expected_shortfall_below_7_cfs,max_shortfall_below_7_cfs,streamflow_meets_7_cfs_prob,baseline_streamflow_cfs,baseline_depletion_cfs,member_label
gen=36_member=6021_pso,15.730428646974955,7.611767508213246,7.92711997766618,7.456610062834434,8.048334602261082,0.8152418064713325,0.5917245394266484,0.31535246945293416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.788916635028518,0.8110833649714815,gen=36_member=6021_pso
gen=35_member=5893_pso,16.002041893722712,7.608655306297726,7.925897245147996,7.4531384051553875,8.048184049384986,0.8174078938134525,0.5950456442295984,0.3172419388502705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.786711607504359,0.8132883924956406,gen=35_member=5893_pso
gen=41_member=6885_pso,16.94814371857778,7.586081600009631,7.916465959554488,7.425434074013512,8.043891645181727,0.8328179819399096,0.6184575711682152,0.33038435954485657,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.771434562059899,0.8285654379401006,gen=41_member=6885_pso
gen=42_member=7058_pso,17.82511697626178,7.537148701668387,7.890360641678666,7.366147572375916,8.02606110927827,0.8691737730369065,0.6599135369023541,0.35321194001027933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.735417742788297,0.8645822572117029,gen=42_member=7058_pso
gen=29_member=4871_pso,17.843497187733753,7.526133778139542,7.869693759113118,7.359834807097549,8.003252450297083,0.8857964842584694,0.643417643199534,0.3435599809735761,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.718456365090395,0.8815436349096046,gen=29_member=4871_pso
gen=33_member=5529_pso,18.32982475749499,7.500823139620025,7.852777306682126,7.33081173510887,7.989905555160694,0.906594779237001,0.6590938200518233,0.35195416706210025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.697706206181449,0.9022937938185508,gen=33_member=5529_pso
gen=48_member=8255_pso,18.692080334260165,7.493903247086353,7.847934535661377,7.319696338615961,7.983549733556488,0.911888171056795,0.663853394940527,0.3540312885750243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.692793607070044,0.9072063929299552,gen=48_member=8255_pso
gen=34_member=5718_pso,19.217975104740983,7.475025827472128,7.826995264949681,7.301535377331395,7.962694789402995,0.932067187100446,0.6611594120716004,0.35196943747755327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.672470311191279,0.9275296888087196,gen=34_member=5718_pso
gen=28_member=4698_pso,19.62453473077234,7.438346521596747,7.818587376702522,7.255676691294726,7.966117772986131,0.9535384721293534,0.7104410816914051,0.3802408551057743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.651146524895162,0.9488534751048376,gen=28_member=4698_pso
gen=45_member=7630_pso,20.273425248681576,7.41637269037266,7.807906203648908,7.228304510933217,7.959169364001021,0.9692176678814042,0.7308648530678035,0.3915335132762481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.635685795159002,0.9643142048409978,gen=45_member=7630_pso
gen=33_member=5597_pso,20.42544700516081,7.390360921000668,7.777787940331066,7.206300250468267,7.930379243023498,0.9981276115866494,0.7240789925552304,0.38742701933039836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.606280688038594,0.9937193119614058,gen=33_member=5597_pso
gen=37_member=6211_pso,20.656455308041814,7.369548789037029,7.757395812595104,7.181455373812451,7.908648312483598,1.018365945299862,0.7271929386711466,0.3878470235580753,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.586308592987697,1.0136914070123024,gen=37_member=6211_pso
gen=50_member=8445_pso,20.947372107145803,7.367397238134875,7.7558784849552795,7.1786030999783215,7.907270739528147,1.0201631808953713,0.7286676395498253,0.38848124682040464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.584529607158398,1.0154703928416016,gen=50_member=8445_pso
gen=35_member=5913_pso,21.261970620979778,7.362510969826025,7.757982262312033,7.171858973652556,7.9118045258166845,1.021141929562287,0.7399455521641283,0.39547129248600754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.583668586504026,1.0163314134959738,gen=35_member=5913_pso
gen=34_member=5825_pso,21.6872977704652,7.343729270385453,7.745797214380767,7.150093896794679,7.902607616328034,1.0364598875278495,0.7525137195333542,0.40206794399531365,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.568339012265948,1.031660987734052,gen=34_member=5825_pso
gen=44_member=7416_pso,22.53949283051267,7.326824674667921,7.749016358818696,7.125802353208295,7.913571232000751,1.042368523897875,0.7877688787924564,0.4221916841507749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.562654399840738,1.0373456001592622,gen=44_member=7416_pso
gen=39_member=6554_pso,22.91493475179726,7.282871244198037,7.715425125891875,7.078226099437576,7.885092213244883,1.080940353929592,0.806866113807307,0.43255388169383835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.524014684405143,1.0759853155948564,gen=39_member=6554_pso
gen=42_member=7150_pso,23.018345966531463,7.280147907831598,7.696541772576896,7.079463955273866,7.858857081572594,1.0922195287993253,0.7793931262987286,0.4163938647452978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.512751084270679,1.087248915729321,gen=42_member=7150_pso
gen=44_member=7536_pso,23.46684587614881,7.2415022550570445,7.66998905827489,7.036512613800861,7.838670313512944,1.124680457997565,0.8021576997120832,0.4284868032178455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.48014819105545,1.119851808944549,gen=44_member=7536_pso
gen=48_member=8234_pso,23.781937390842728,7.2341150776308885,7.66355553371156,7.027987255535235,7.83287355099394,1.131609386625656,0.8048862954587044,0.4294404560806715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.473200432076856,1.1267995679231435,gen=48_member=8234_pso
gen=47_member=8013_pso,24.18988587830649,7.204657977390353,7.649479291568969,6.994164237567106,7.824980859220926,1.1526974644046661,0.8308166216538195,0.4448213141786166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002969016743950404,1.7326476376978927e-05,0.005835762432893965,0.9970309832560496,7.452237678911723,1.147762321088277,gen=47_member=8013_pso
gen=48_member=8161_pso,24.508282368015493,7.175262845617416,7.6334353847798955,6.960338265983285,7.815418749106184,1.175126849926845,0.8550804831228991,0.45817253916247935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002969016743950404,0.00011775635238973323,0.03966173401671469,0.9970309832560496,7.429739108582357,1.1702608914176431,gen=48_member=8161_pso
gen=39_member=6576_pso,24.57679423226629,7.137819673346577,7.591290851043702,6.921776607175724,7.772473068949719,1.215350718685128,0.8506964617739943,0.45347117769712497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002969016743950404,0.00023224656306388444,0.0782233928242757,0.9970309832560496,7.389358682126496,1.2106413178735036,gen=39_member=6576_pso
