,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
8700,gen=46_member=7780_pso,7.40324296,6.05804,2.54196
8701,152,39.0853584,-3.3322000000000003,11.9322
8702,130,38.6001,-3.107100000000001,11.7071
8703,16,38.467534,-2.8491999999999997,11.4492
8704,95,38.900657200000005,-3.224400000000001,11.8244
8705,gen=48_member=8090_pso,17.768010359999998,4.856109999999999,3.74389
8706,gen=46_member=7812_pso,22.877104,4.028359999999999,4.57164
8707,gen=46_member=7817_pso,19.977406560000002,4.537839999999999,4.06216
8708,gen=45_member=7675_pso,25.5977148,3.4217299999999993,5.17827
8709,gen=43_member=7353_pso,15.18662728,5.21466,3.38534
8711,gen=48_member=8184_pso,22.915871199999998,3.8737299999999992,4.72627
8712,gen=47_member=7946_pso,25.185757600000002,3.5088299999999997,5.09117
8713,gen=46_member=7811_pso,28.0543076,2.66965,5.93035
8714,gen=42_member=7151_pso,14.027755359999999,5.398439999999999,3.20156
8715,gen=32_member=5341_pso,19.98206308,4.39596,4.20404
8716,gen=39_member=6595_pso,21.629579959999997,4.2353499999999995,4.36465
8717,gen=37_member=6272_pso,29.4568336,2.08336,6.51664
8718,gen=33_member=5616_pso,21.7333602,4.1265,4.4735
8719,gen=45_member=7600_pso,17.32495028,4.9487499999999995,3.65125
8720,gen=45_member=7614_pso,28.705552,2.38941,6.21059
8721,gen=38_member=6394_pso,21.21889272,4.275119999999999,4.32488
8722,gen=33_member=5660_pso,35.237379600000004,-1.124080000000001,9.72408
8723,gen=38_member=6401_pso,36.517588399999994,-2.0845000000000002,10.6845
8724,gen=45_member=7672_pso,27.287207199999997,2.93757,5.66243
8725,gen=33_member=5533_pso,8.77800808,5.9287399999999995,2.67126
8726,gen=48_member=8127_pso,10.60565876,5.774859999999999,2.82514
8727,gen=34_member=5749_pso,28.571872,2.46605,6.13395
8728,gen=42_member=7080_pso,14.850065599999999,5.272069999999999,3.32793
8729,gen=42_member=7110_pso,8.69156168,6.01595,2.58405
8730,gen=38_member=6508_pso,10.15328564,5.8149299999999995,2.78507
8731,gen=48_member=8124_pso,16.47124752,5.06406,3.53594
8732,gen=42_member=7104_pso,17.92454964,4.745189999999999,3.85481
8733,gen=34_member=5844_pso,35.3552408,-1.2764100000000003,9.87641
8734,gen=43_member=7262_pso,13.25279012,5.51346,3.08654
8735,gen=45_member=7636_pso,16.65445596,4.985799999999999,3.6142
8736,gen=37_member=6261_pso,36.1653416,-1.8217999999999996,10.4218
8737,gen=41_member=6951_pso,9.85194864,5.893089999999999,2.70691
8738,gen=45_member=7595_pso,12.048444719999999,5.609719999999999,2.99028
8739,gen=39_member=6643_pso,15.225461319999999,5.1129299999999995,3.48707
8740,32,37.8327768,-2.7826000000000004,11.3826
8741,gen=44_member=7453_pso,11.37563328,5.69262,2.90738
8742,gen=48_member=8165_pso,20.77884044,4.36138,4.23862
8743,gen=36_member=6159_pso,36.9141724,-2.3793000000000006,10.9793
8744,131,39.054834799999995,-3.3240999999999996,11.9241
8745,gen=49_member=8334_pso,37.0153236,-2.4581,11.0581
8746,gen=46_member=7808_pso,32.654682,0.47659999999999947,8.1234
8748,gen=45_member=7719_pso,37.230548399999996,-2.5976,11.1976
8749,gen=46_member=7748_pso,18.604045080000002,4.70467,3.89533
8750,gen=47_member=7968_pso,24.329314399999998,3.6888699999999996,4.91113
8751,gen=48_member=8101_pso,37.25773,-2.6449,11.2449
8752,gen=47_member=7986_pso,31.6656728,1.0035299999999996,7.59647
8753,gen=41_member=6958_pso,29.9178068,1.80783,6.79217
8754,gen=36_member=6033_pso,36.401955199999996,-1.9976000000000003,10.5976
8755,gen=39_member=6638_pso,19.03228896,4.63765,3.96235
8756,gen=39_member=6616_pso,30.142166399999997,1.7529599999999999,6.84704
8757,gen=49_member=8261_pso,12.265563319999998,5.54842,3.05158
8758,gen=35_member=5967_pso,29.5524148,2.00075,6.59925
8759,gen=39_member=6691_pso,36.721004799999996,-2.2299000000000007,10.8299
8760,gen=33_member=5642_pso,31.1160252,1.1999499999999994,7.40005
8761,gen=45_member=7664_pso,29.1839036,2.2106199999999996,6.38938
8762,gen=48_member=8171_pso,25.724265199999998,3.3455399999999997,5.25446
8763,gen=49_member=8268_pso,25.075694399999996,3.5771099999999993,5.02289
8764,gen=44_member=7411_pso,33.2798588,0.09201999999999977,8.50798
8765,gen=33_member=5564_pso,36.6225272,-2.190800000000001,10.7908
8766,156,37.6137644,-2.6989,11.2989
8767,gen=29_member=4928_pso,35.074735600000004,-1.0107600000000012,9.61076
8768,gen=48_member=8176_pso,34.8628528,-0.8638700000000004,9.46387
8769,gen=40_member=6740_pso,26.941867199999997,3.0554699999999997,5.54453
8770,gen=49_member=8312_pso,31.4063336,1.1347099999999992,7.46529
8771,gen=36_member=6186_pso,33.6579504,-0.1080400000000008,8.70804
8772,gen=47_member=7978_pso,14.32802292,5.335529999999999,3.26447
8773,gen=49_member=8340_pso,34.0400524,-0.36289000000000016,8.96289
8774,gen=49_member=8407_pso,33.443839600000004,0.026009999999999422,8.57399
8775,gen=40_member=6864_pso,35.462630399999995,-1.3234100000000009,9.92341
8776,gen=26_member=4309_pso,24.478367600000002,3.6286899999999997,4.97131
8777,gen=49_member=8411_pso,35.685876,-1.4637000000000011,10.0637
8778,gen=47_member=8036_pso,30.8698312,1.4031799999999999,7.19682
8779,gen=36_member=6069_pso,29.784349600000002,1.9262699999999997,6.67373
8780,gen=36_member=6149_pso,31.5511536,1.05457,7.54543
8781,gen=39_member=6559_pso,26.7268652,3.0987599999999995,5.50124
8782,10,37.7474444,-2.7375000000000007,11.3375
8783,gen=47_member=8046_pso,31.683051199999998,0.9536299999999995,7.64637
8784,gen=39_member=6698_pso,35.5542012,-1.3625900000000009,9.96259
8785,gen=36_member=6095_pso,26.3002032,3.21744,5.38256
8786,gen=38_member=6527_pso,32.1464752,0.7077099999999996,7.89229
8787,gen=43_member=7393_pso,29.4187348,2.14755,6.45245
8788,gen=49_member=8374_pso,31.1100096,1.2774899999999993,7.32251
8789,gen=37_member=6329_pso,33.496866,-0.030140000000001166,8.63014
8790,gen=47_member=8040_pso,35.2505248,-1.2003199999999996,9.80032
8791,gen=38_member=6405_pso,30.6481452,1.5095899999999993,7.09041
8792,gen=46_member=7797_pso,32.7266464,0.40992999999999924,8.19007
8793,gen=45_member=7676_pso,31.4517848,1.08784,7.51216
8794,gen=47_member=8066_pso,29.9113456,1.8537999999999997,6.7462
8795,gen=45_member=7598_pso,23.308222,3.8183299999999996,4.78167
8796,gen=39_member=6689_pso,34.999652,-0.9658200000000008,9.56582
8797,gen=43_member=7370_pso,33.525607199999996,-0.055600000000000094,8.6556
8798,gen=32_member=5484_pso,37.032924799999996,-2.4860000000000007,11.086
8799,gen=46_member=7861_pso,23.601204,3.7834499999999993,4.81655
8800,gen=32_member=5474_pso,36.3217472,-1.9328000000000003,10.5328
8801,gen=38_member=6438_pso,31.9713544,0.8132299999999999,7.78677
8802,gen=43_member=7237_pso,31.773953600000002,0.9198599999999999,7.68014
8803,gen=42_member=7121_pso,27.746843600000002,2.7550599999999994,5.84494
8804,gen=45_member=7679_pso,32.4534936,0.5165299999999995,8.08347
8805,gen=44_member=7458_pso,34.6915196,-0.7831299999999999,9.38313
8806,gen=42_member=7057_pso,27.7782584,2.7027399999999995,5.89726
8807,gen=48_member=8156_pso,33.2388636,0.14981000000000044,8.45019
8808,gen=46_member=7822_pso,29.8692364,1.88748,6.71252
8809,gen=32_member=5435_pso,30.4728016,1.5313799999999995,7.06862
8810,gen=40_member=6819_pso,35.34165,-1.207460000000001,9.80746
8811,gen=28_member=4749_pso,35.9367488,-1.6416000000000004,10.2416
8813,gen=35_member=5887_pso,19.0459466,4.605919999999999,3.99408
