,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
9311,152,39.0853584,4.047549999999999,4.55245
9312,gen=48_member=8085_pso,17.8634356,7.664726,0.935274
9313,16,38.467534,4.33254,4.26746
9314,130,38.6001,4.13587,4.46413
9315,95,38.900657200000005,4.128089999999999,4.47191
9316,156,37.6137644,4.39094,4.20906
9317,gen=41_member=6911_pso,29.4033616,6.997669999999999,1.60233
9318,gen=46_member=7785_pso,31.3221152,6.63737,1.96263
9319,gen=49_member=8391_pso,29.2946352,7.0570699999999995,1.54293
9320,gen=44_member=7545_pso,31.224974399999997,6.6838999999999995,1.9161
9321,gen=46_member=7800_pso,30.5962328,6.827319999999999,1.77268
9322,gen=44_member=7465_pso,30.6886948,6.77426,1.82574
9323,gen=48_member=8096_pso,30.010937199999997,6.93286,1.66714
9324,gen=44_member=7470_pso,25.4680452,7.364669999999999,1.23533
9325,gen=38_member=6498_pso,30.0706476,6.88329,1.71671
9327,gen=40_member=6856_pso,29.7152816,6.977939999999999,1.62206
9328,gen=45_member=7673_pso,32.3770732,6.42463,2.17537
9330,gen=47_member=8073_pso,37.240128799999994,4.45951,4.14049
9331,gen=48_member=8189_pso,32.2594348,6.453519999999999,2.14648
9332,gen=27_member=4506_pso,24.118768399999997,7.418699999999999,1.1813
9333,gen=41_member=6981_pso,25.929464,7.331729999999999,1.26827
9334,gen=49_member=8289_pso,30.9894748,6.73339,1.86661
9335,gen=45_member=7599_pso,23.983528800000002,7.45658,1.14342
9336,gen=35_member=5857_pso,35.2650068,5.4482,3.1518
9337,gen=44_member=7514_pso,31.849037199999998,6.5613399999999995,2.03866
9338,gen=34_member=5707_pso,26.9360744,7.238899999999999,1.3611
9339,gen=45_member=7735_pso,34.217178399999995,5.88752,2.71248
9340,gen=41_member=6914_pso,36.9805668,4.59777,4.00223
9341,gen=37_member=6304_pso,37.02936,4.5732,4.0268
9342,gen=40_member=6767_pso,37.337938,4.4094299999999995,4.19057
9343,gen=28_member=4800_pso,26.168974,7.30108,1.29892
9344,gen=35_member=5926_pso,34.805816,5.653269999999999,2.94673
9345,gen=47_member=8050_pso,34.2695364,5.86551,2.73449
9346,gen=49_member=8341_pso,36.883648799999996,4.65389,3.94611
9347,gen=31_member=5255_pso,35.7409076,5.2331199999999995,3.36688
9348,gen=39_member=6549_pso,20.84222704,7.58113,1.01887
9349,gen=43_member=7335_pso,37.2076,4.48049,4.11951
9350,gen=42_member=7167_pso,30.3008,6.84934,1.75066
9351,gen=47_member=7996_pso,35.23582,5.463799999999999,3.1362
9352,gen=44_member=7410_pso,30.23953,6.87524,1.72476
9353,gen=30_member=5018_pso,20.2727948,7.631583,0.968417
9354,gen=49_member=8268_pso,32.03307,6.506449999999999,2.09355
9355,gen=38_member=6441_pso,28.591924,7.12815,1.47185
9357,gen=36_member=6139_pso,34.758582399999995,5.676639999999999,2.92336
9358,gen=48_member=8230_pso,20.80341528,7.611851,0.988149
9359,gen=31_member=5168_pso,27.0782208,7.21805,1.38195
9360,gen=35_member=5971_pso,35.997796,5.097619999999999,3.50238
9362,gen=42_member=7155_pso,35.142244,5.50475,3.09525
9363,gen=30_member=5085_pso,24.776251199999997,7.3871199999999995,1.21288
9364,gen=34_member=5697_pso,34.1737324,5.90531,2.69469
9365,gen=47_member=7957_pso,22.5850132,7.519489999999999,1.08051
9366,gen=48_member=8114_pso,24.7033956,7.4136,1.1864
9367,gen=43_member=7341_pso,34.3296924,5.8384599999999995,2.76154
9368,gen=34_member=5844_pso,35.1268708,5.517149999999999,3.08285
9369,gen=48_member=8182_pso,32.6139096,6.36744,2.23256
9370,gen=40_member=6725_pso,34.84592,5.63913,2.96087
9371,gen=45_member=7694_pso,26.1019112,7.321809999999999,1.27819
9372,gen=46_member=7774_pso,34.048296,5.955539999999999,2.64446
9373,gen=45_member=7633_pso,37.2851344,4.43673,4.16327
9374,gen=45_member=7685_pso,36.424458,4.887499999999999,3.7125
9375,gen=40_member=6726_pso,22.2913628,7.54179,1.05821
9376,gen=49_member=8410_pso,32.665153600000004,6.342509999999999,2.25749
9377,gen=30_member=5136_pso,35.900878,5.13578,3.46422
9378,gen=40_member=6860_pso,34.6995404,5.6960999999999995,2.9039
9379,gen=41_member=6999_pso,36.264041999999996,4.97075,3.62925
9380,gen=42_member=7192_pso,36.92353,4.629239999999999,3.97076
9381,gen=27_member=4530_pso,33.6492612,6.06963,2.53037
9382,gen=49_member=8413_pso,33.267382,6.17807,2.42193
9383,gen=37_member=6343_pso,37.1133556,4.5263599999999995,4.07364
9384,gen=45_member=7711_pso,37.0866196,4.5451999999999995,4.0548
9385,gen=49_member=8301_pso,23.6807436,7.46901,1.13099
9386,gen=44_member=7473_pso,34.9365996,5.590999999999999,3.009
9387,gen=36_member=6102_pso,23.0495512,7.48907,1.11093
9388,gen=49_member=8346_pso,34.120706,5.91942,2.68058
9389,gen=46_member=7826_pso,21.28845088,7.576219999999999,1.02378
9390,gen=27_member=4498_pso,30.903028399999997,6.74184,1.85816
9391,gen=46_member=7822_pso,28.407,7.1533299999999995,1.44667
9392,gen=49_member=8388_pso,35.0384192,5.5569299999999995,3.04307
9393,gen=29_member=4825_pso,37.2884764,4.42974,4.17026
9394,gen=49_member=8339_pso,34.6445088,5.7155,2.8845
9395,gen=48_member=8172_pso,37.141428399999995,4.51643,4.08357
9396,gen=45_member=7586_pso,30.8994636,6.761049999999999,1.83895
9397,gen=47_member=7938_pso,32.199056,6.467739999999999,2.13226
9398,gen=49_member=8350_pso,36.9596236,4.612679999999999,3.98732
9399,gen=41_member=6991_pso,34.3105316,5.85018,2.74982
9401,gen=44_member=7488_pso,34.9080812,5.61153,2.98847
9402,gen=46_member=7823_pso,35.6573576,5.26985,3.33015
9403,gen=45_member=7638_pso,36.630548,4.77402,3.82598
9405,gen=37_member=6341_pso,36.39438,4.903219999999999,3.69678
9406,gen=39_member=6612_pso,35.0023256,5.57414,3.02586
9407,gen=47_member=8081_pso,35.0867668,5.53556,3.06444
9408,gen=36_member=6147_pso,36.2252748,4.99071,3.60929
9409,gen=43_member=7234_pso,28.099536,7.1765099999999995,1.42349
9410,gen=43_member=7325_pso,27.4162084,7.20024,1.39976
9411,gen=40_member=6801_pso,35.312686,5.42262,3.17738
9412,gen=49_member=8427_pso,31.4943396,6.61898,1.98102
9413,gen=43_member=7256_pso,36.36653,4.913829999999999,3.68617
9414,gen=44_member=7443_pso,36.289218399999996,4.96146,3.63854
9415,gen=46_member=7808_pso,19.50578352,7.647301,0.952699
9416,gen=21_member=3490_pso,21.52517588,7.55322,1.04678
9417,gen=43_member=7264_pso,32.430322399999994,6.40803,2.19197
9418,gen=32_member=5344_pso,28.447772399999998,7.14889,1.45111
9419,gen=46_member=7869_pso,26.8030628,7.257859999999999,1.34214
9420,gen=43_member=7362_pso,29.0684932,7.07902,1.52098
9421,gen=45_member=7687_pso,31.68773,6.57883,2.02117
9422,gen=43_member=7252_pso,33.7221168,6.054209999999999,2.54579
9423,gen=48_member=8119_pso,31.946178,6.53017,2.06983
9424,gen=40_member=6821_pso,35.851862,5.16784,3.43216
