,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
9139,152,39.0853584,4.0714999999999995,4.5285
9140,gen=41_member=6942_pso,20.201276,7.797358999999999,0.802641
9141,16,38.467534,4.3556,4.2444
9142,130,38.6001,4.159479999999999,4.44052
9143,95,38.900657200000005,4.1518999999999995,4.4481
9144,156,37.6137644,4.4135599999999995,4.18644
9145,gen=45_member=7671_pso,28.1621428,7.245279999999999,1.35472
9146,gen=41_member=7019_pso,28.20091,7.1903,1.4097
9147,gen=46_member=7851_pso,28.6137584,7.15813,1.44187
9148,gen=49_member=8338_pso,31.7307304,6.60313,1.99687
9149,gen=47_member=7934_pso,34.7975724,5.68535,2.91465
9150,gen=41_member=6977_pso,22.487872399999997,7.667654,0.932346
9151,gen=48_member=8085_pso,22.429944399999997,7.708724999999999,0.891275
9152,gen=25_member=4164_pso,25.0808188,7.53508,1.06492
9153,gen=39_member=6593_pso,34.7340744,5.704549999999999,2.89545
9154,gen=49_member=8268_pso,29.0651512,7.092879999999999,1.50712
9155,gen=31_member=5247_pso,37.0311424,4.59104,4.00896
9156,gen=48_member=8156_pso,29.522782399999997,7.02116,1.57884
9157,gen=41_member=6888_pso,32.048666,6.53112,2.06888
9158,gen=49_member=8269_pso,24.048809199999997,7.58388,1.01612
9159,gen=45_member=7662_pso,29.868122399999997,6.96137,1.63863
9160,gen=46_member=7782_pso,28.826532399999998,7.12648,1.47352
9161,gen=34_member=5733_pso,31.1991296,6.70735,1.89265
9162,gen=41_member=6955_pso,27.634552399999997,7.28227,1.31773
9163,gen=34_member=5808_pso,35.2420584,5.480119999999999,3.11988
9164,gen=28_member=4651_pso,29.1293176,7.07269,1.52731
9165,gen=39_member=6686_pso,30.643466399999998,6.823379999999999,1.77662
9166,gen=40_member=6860_pso,32.3637052,6.4523399999999995,2.14766
9167,gen=41_member=7034_pso,20.88765596,7.749480999999999,0.850519
9168,gen=32_member=5404_pso,34.3087492,5.851389999999999,2.74861
9169,gen=49_member=8364_pso,31.5380084,6.6355699999999995,1.96443
9171,gen=47_member=8011_pso,31.0440608,6.7437499999999995,1.85625
9172,gen=43_member=7241_pso,32.5526396,6.403689999999999,2.19631
9173,gen=48_member=8255_pso,35.1335548,5.53377,3.06623
9174,gen=46_member=7897_pso,31.135854399999996,6.7286399999999995,1.87136
9175,gen=39_member=6618_pso,34.2886972,5.87279,2.72721
9176,gen=32_member=5382_pso,35.760068399999994,5.243499999999999,3.3565
9177,gen=39_member=6702_pso,35.886841600000004,5.17741,3.42259
9178,gen=45_member=7575_pso,25.3098572,7.50319,1.09681
9179,gen=47_member=7970_pso,30.5706108,6.84753,1.75247
9180,gen=36_member=6041_pso,24.273614399999996,7.55907,1.04093
9181,gen=35_member=5858_pso,34.8243084,5.65371,2.94629
9182,gen=32_member=5489_pso,35.8589916,5.194419999999999,3.40558
9183,gen=48_member=8177_pso,36.9467012,4.64054,3.95946
9184,gen=49_member=8310_pso,27.4908464,7.320209999999999,1.27979
9185,gen=47_member=7939_pso,28.8272008,7.117789999999999,1.48221
9186,gen=47_member=8039_pso,32.107708,6.51773,2.08227
9187,gen=30_member=5113_pso,36.064636,5.0925199999999995,3.50748
9188,gen=37_member=6356_pso,36.785394,4.720269999999999,3.87973
9189,gen=42_member=7091_pso,23.4349952,7.623021,0.976979
9190,gen=40_member=6802_pso,35.639756399999996,5.291219999999999,3.30878
9191,gen=47_member=8071_pso,30.949816399999996,6.76535,1.83465
9192,gen=47_member=7926_pso,37.2971656,4.44553,4.15447
9194,gen=40_member=6874_pso,34.484984,5.79407,2.80593
9195,gen=38_member=6422_pso,31.5509308,6.62672,1.97328
9196,gen=32_member=5463_pso,37.355762,4.42674,4.17326
9197,gen=31_member=5282_pso,36.8263892,4.7011,3.8989
9198,gen=45_member=7634_pso,27.2987928,7.3484799999999995,1.25152
9199,gen=46_member=7785_pso,22.971794,7.646971,0.953029
9200,gen=39_member=6592_pso,32.4568356,6.4246099999999995,2.17539
9201,gen=48_member=8124_pso,34.150338399999995,5.93201,2.66799
9202,gen=39_member=6589_pso,33.099168,6.23967,2.36033
9203,gen=40_member=6761_pso,35.0733988,5.54518,3.05482
9204,gen=30_member=5139_pso,35.5005064,5.36046,3.23954
9205,gen=29_member=4981_pso,36.9888104,4.6164,3.9836
9206,gen=42_member=7103_pso,34.4384188,5.813089999999999,2.78691
9207,gen=48_member=8209_pso,31.9267944,6.560219999999999,2.03978
9208,gen=42_member=7101_pso,30.131472,6.923629999999999,1.67637
9209,gen=31_member=5199_pso,36.5487804,4.84253,3.75747
9210,gen=32_member=5436_pso,35.812203600000004,5.21193,3.38807
9211,gen=27_member=4494_pso,33.3168436,6.1670799999999995,2.43292
9212,gen=47_member=7962_pso,32.2939688,6.472519999999999,2.12748
9213,gen=35_member=5878_pso,33.2956776,6.195679999999999,2.40432
9214,gen=49_member=8397_pso,37.2641912,4.4781699999999995,4.12183
9215,gen=38_member=6459_pso,25.920106399999998,7.481769999999999,1.11823
9216,gen=42_member=7087_pso,29.621705600000002,7.00224,1.59776
9217,gen=41_member=7043_pso,37.170837999999996,4.52189,4.07811
9218,gen=48_member=8114_pso,20.701595679999997,7.778568999999999,0.821431
9219,gen=49_member=8408_pso,29.408263199999997,7.04597,1.55403
9220,gen=34_member=5712_pso,34.939273199999995,5.60645,2.99355
9221,gen=48_member=8140_pso,36.8820892,4.6738599999999995,3.92614
9222,gen=45_member=7579_pso,30.4197752,6.86675,1.73325
9223,gen=49_member=8298_pso,26.5940764,7.3999299999999995,1.20007
9224,gen=44_member=7506_pso,30.7439492,6.79951,1.80049
9225,gen=43_member=7289_pso,36.7704664,4.73448,3.86552
9226,gen=41_member=6921_pso,35.1839076,5.50671,3.09329
9227,gen=36_member=6092_pso,37.2125016,4.505249999999999,4.09475
9228,gen=47_member=8060_pso,31.4595828,6.6639,1.9361
9229,gen=47_member=8068_pso,33.423342,6.15234,2.44766
9230,gen=48_member=8250_pso,34.6761464,5.73118,2.86882
9231,gen=43_member=7236_pso,32.4243068,6.43467,2.16533
9232,gen=39_member=6657_pso,36.836415200000005,4.68858,3.91142
9233,gen=45_member=7667_pso,29.779448,6.98211,1.61789
9234,gen=40_member=6740_pso,37.235672799999996,4.493259999999999,4.10674
9235,gen=35_member=5928_pso,35.1607364,5.50877,3.09123
9236,gen=44_member=7412_pso,35.061813199999996,5.564439999999999,3.03556
9237,gen=38_member=6512_pso,37.122935999999996,4.55263,4.04737
9238,gen=35_member=5929_pso,36.3981676,4.9252899999999995,3.67471
9239,gen=31_member=5311_pso,33.9741036,5.98994,2.61006
9240,gen=43_member=7378_pso,35.6192588,5.30664,3.29336
9241,gen=30_member=5158_pso,37.0358212,4.5658199999999995,4.03418
9242,gen=47_member=8049_pso,34.0685708,5.964689999999999,2.63531
9243,gen=21_member=3519_pso,35.406262,5.412599999999999,3.1874
9244,gen=49_member=8385_pso,25.941717999999998,7.469849999999999,1.13015
9245,gen=45_member=7709_pso,35.3398676,5.43992,3.16008
9246,gen=41_member=6996_pso,37.011758799999996,4.60992,3.99008
9247,gen=39_member=6565_pso,21.58054168,7.725849999999999,0.87415
9248,gen=45_member=7625_pso,32.9518972,6.29917,2.30083
9249,gen=33_member=5567_pso,29.906444,6.94119,1.65881
9250,gen=38_member=6469_pso,35.0491136,5.572089999999999,3.02791
9251,gen=49_member=8402_pso,32.6119044,6.388,2.212
9252,gen=33_member=5662_pso,36.1005068,5.0733999999999995,3.5266
9253,gen=45_member=7637_pso,34.9330348,5.62645,2.97355
9254,gen=47_member=7959_pso,26.5036196,7.42385,1.17615
9255,gen=42_member=7213_pso,26.843389600000002,7.378299999999999,1.2217
9256,gen=26_member=4440_pso,35.676741199999995,5.2733799999999995,3.32662
9257,gen=49_member=8327_pso,24.461657600000002,7.54906,1.05094
9258,gen=41_member=6886_pso,30.738156399999998,6.8096,1.7904
9259,gen=46_member=7899_pso,30.3451372,6.8883399999999995,1.71166
9260,gen=48_member=8199_pso,21.309438639999996,7.740911,0.859089
9261,gen=40_member=6738_pso,30.2600276,6.905939999999999,1.69406
9262,gen=47_member=7957_pso,35.724197600000004,5.261239999999999,3.33876
9263,gen=48_member=8205_pso,33.0693128,6.25547,2.34453
9264,gen=38_member=6474_pso,33.622302399999995,6.10098,2.49902
9265,gen=28_member=4702_pso,36.0260916,5.1068999999999996,3.4931
9266,gen=48_member=8185_pso,34.1093432,5.9482099999999996,2.65179
9267,gen=49_member=8343_pso,32.255424399999995,6.482049999999999,2.11795
9268,gen=46_member=7829_pso,36.919074,4.6593599999999995,3.94064
9269,gen=48_member=8154_pso,35.598538399999995,5.317769999999999,3.28223
9270,gen=31_member=5281_pso,36.2847624,4.98389,3.61611
9271,gen=44_member=7560_pso,36.5285056,4.85759,3.74241
9272,gen=49_member=8325_pso,31.3562036,6.678039999999999,1.92196
9273,gen=42_member=7217_pso,35.947443199999995,5.13697,3.46303
9274,gen=49_member=8419_pso,30.7978668,6.78069,1.81931
9275,gen=48_member=8168_pso,34.231660399999996,5.891629999999999,2.70837
9276,gen=45_member=7622_pso,33.9052584,6.0238499999999995,2.57615
9277,gen=32_member=5356_pso,29.198608399999998,7.05474,1.54526
9278,gen=34_member=5818_pso,33.218365999999996,6.198449999999999,2.40155
9279,gen=43_member=7348_pso,32.166304399999994,6.497539999999999,2.10246
9280,gen=48_member=8137_pso,34.178634,5.910589999999999,2.68941
9281,gen=38_member=6472_pso,35.935412,5.157449999999999,3.44255
9282,gen=49_member=8272_pso,36.3188508,4.9674,3.6326
9283,gen=48_member=8138_pso,32.7311024,6.35192,2.24808
9284,gen=37_member=6332_pso,35.010346399999996,5.58909,3.01091
