,Total Pumping (cfs),Depletion (cfs),member
6245,10.15228304,4.67628,3
6246,1.275732748,1.63921,gen=41_member=1536_pso
6247,10.071540319999999,4.60096,34
6248,9.983890800000001,4.50546,21
6249,4.83747816,2.3436,gen=35_member=1298_pso
6250,5.90805444,2.673,gen=47_member=1757_pso
6251,4.63649028,2.28111,gen=47_member=1782_pso
6252,9.73930096,4.43529,36
6254,9.894236079999999,4.46779,32
6255,5.248276799999999,2.47127,gen=39_member=1449_pso
6256,1.5844266040000001,1.70586,gen=30_member=1108_pso
6257,6.479246799999999,2.89134,gen=15_member=560_pso
6258,2.82383404,1.89176,gen=38_member=1426_pso
6259,1.782997104,1.74351,gen=36_member=1348_pso
6260,5.08893024,2.4164,gen=33_member=1249_pso
6261,6.80079176,3.03004,gen=40_member=1494_pso
6262,5.78016724,2.62497,gen=30_member=1135_pso
6263,4.9179758,2.37958,gen=19_member=694_pso
6264,6.84345796,3.07282,gen=36_member=1343_pso
6265,9.65588464,4.38583,28
6266,3.6241316400000003,2.08161,gen=11_member=408_pso
6267,1.407044384,1.66544,gen=38_member=1407_pso
6268,7.95554188,3.60698,gen=11_member=382_pso
6269,3.2336746400000003,2.01814,gen=36_member=1346_pso
6270,8.42712036,3.83915,gen=44_member=1651_pso
6271,8.17433148,3.70209,gen=26_member=979_pso
6272,6.28064288,2.81698,gen=31_member=1148_pso
6273,6.64672556,2.95982,gen=34_member=1281_pso
6274,7.8326008400000005,3.54595,gen=9_member=336_pso
6275,7.9378961199999996,3.56498,gen=47_member=1779_pso
6277,3.61686836,2.0403,gen=48_member=1787_pso
6278,9.293901479999999,4.2584,30
6279,8.24210724,3.74628,gen=43_member=1614_pso
6280,2.94332168,1.92891,gen=34_member=1260_pso
6281,3.22712432,1.98156,gen=41_member=1537_pso
6282,5.45610464,2.51362,gen=34_member=1266_pso
6283,3.9582648,2.14848,gen=25_member=930_pso
6284,8.62652636,3.92471,gen=29_member=1083_pso
6285,3.05853156,1.96496,gen=41_member=1530_pso
6286,4.2295015199999995,2.19839,gen=39_member=1472_pso
6287,7.62524088,3.41226,gen=34_member=1267_pso
6288,8.72197388,3.99005,gen=9_member=326_pso
6289,6.15558524,2.76767,gen=48_member=1793_pso
6290,4.3982947999999995,2.2411,gen=45_member=1675_pso
6291,7.797888599999999,3.50536,gen=20_member=759_pso
6292,8.663110119999999,3.96443,gen=41_member=1523_pso
6293,4.30498616,2.21245,gen=14_member=531_pso
6294,6.687364280000001,2.9895,gen=18_member=679_pso
6295,7.34957044,3.28041,gen=40_member=1501_pso
6296,5.30121408,2.48567,gen=27_member=1019_pso
6297,8.86017672,4.05593,gen=28_member=1056_pso
6298,6.5531049999999995,2.93042,gen=35_member=1314_pso
6299,6.9415568,3.09643,gen=21_member=768_pso
6300,9.30885136,4.28824,gen=4_member=128_pso
6301,6.06490564,2.73244,gen=46_member=1741_pso
6302,4.51655704,2.25543,gen=36_member=1340_pso
6303,2.6211306,1.85482,gen=46_member=1740_pso
6304,8.4130394,3.81266,gen=23_member=856_pso
6305,9.1499504,4.21631,gen=23_member=868_pso
6306,8.5366934,3.88882,gen=48_member=1820_pso
6307,7.2164028799999995,3.22181,gen=27_member=997_pso
6308,1.77427894,1.73281,gen=31_member=1164_pso
6309,5.5173969199999995,2.54122,gen=48_member=1807_pso
6310,7.72164644,3.46121,gen=29_member=1077_pso
6311,2.8859729599999997,1.91966,gen=43_member=1615_pso
6312,7.64188404,3.43873,gen=37_member=1387_pso
6313,7.02401508,3.13272,gen=43_member=1622_pso
6314,7.1555562,3.18756,gen=41_member=1527_pso
6315,7.4941008,3.35315,gen=44_member=1661_pso
6316,8.59000944,3.92011,gen=17_member=610_pso
6317,7.374991919999999,3.31032,gen=7_member=237_pso
6318,7.74695652,3.48626,gen=44_member=1654_pso
6319,9.08874724,4.16524,gen=30_member=1125_pso
6320,9.39538688,4.32637,gen=41_member=1553_pso
6321,7.1609034000000005,3.19399,gen=49_member=1843_pso
6322,9.138208839999999,4.1903,gen=12_member=432_pso
6323,5.71876356,2.59519,gen=39_member=1465_pso
6324,8.06945952,3.63858,gen=31_member=1173_pso
6325,4.0842582,2.16835,gen=27_member=1018_pso
6326,7.258801719999999,3.24522,gen=30_member=1139_pso
6327,8.162768159999999,3.69599,gen=48_member=1811_pso
6328,8.09490328,3.66469,gen=33_member=1219_pso
6329,8.13627724,3.67021,gen=44_member=1655_pso
6330,9.61807548,4.37916,9
6331,6.41020108,2.86409,gen=44_member=1642_pso
6332,8.83361896,4.04176,gen=37_member=1380_pso
6333,7.084059679999999,3.15747,gen=23_member=873_pso
6334,6.3547461599999995,2.84528,gen=35_member=1324_pso
6335,5.74320472,2.61293,gen=38_member=1428_pso
6336,5.59330488,2.56813,gen=45_member=1697_pso
6337,2.5718918,1.85187,gen=27_member=1001_pso
6338,8.49549768,3.86364,gen=14_member=515_pso
6339,9.313619280000001,4.29867,gen=16_member=588_pso
6340,2.173652396,1.82443,gen=45_member=1678_pso
6341,8.86117932,4.08262,gen=3_member=93_pso
6342,4.96073112,2.40157,gen=48_member=1822_pso
6343,9.43854324,4.35223,gen=16_member=573_pso
6344,6.5884187999999995,2.94118,gen=30_member=1136_pso
6345,6.1823657999999995,2.79664,gen=27_member=1012_pso
6346,9.3558176,4.31746,gen=45_member=1706_pso
6347,5.4839992,2.53049,gen=31_member=1142_pso
6348,7.44227752,3.33975,gen=17_member=635_pso
6349,2.31542672,1.82552,gen=29_member=1070_pso
6350,3.83746264,2.12162,gen=20_member=753_pso
6351,8.752141,4.01557,gen=10_member=347_pso
6352,9.44484848,4.35483,33
6353,7.498556799999999,3.37588,gen=5_member=165_pso
6354,1.374566828,1.65236,gen=40_member=1487_pso
6355,9.04761836,4.14736,gen=15_member=534_pso
6356,3.73241244,2.09758,gen=36_member=1355_pso
6357,7.98688984,3.61834,gen=13_member=458_pso
6358,9.108153119999999,4.18216,gen=19_member=713_pso
6359,7.041705400000001,3.13297,gen=34_member=1290_pso
6360,8.81472552,4.0257,gen=16_member=600_pso
6361,7.0839037199999995,3.1574,gen=22_member=800_pso
6362,3.81237536,2.12108,gen=47_member=1784_pso
6363,7.42839708,3.32562,gen=8_member=297_pso
6364,7.55911384,3.3949,gen=47_member=1756_pso
6365,7.23066208,3.23221,gen=47_member=1774_pso
6366,7.30723844,3.2642,gen=9_member=316_pso
6367,7.65119708,3.4491,gen=22_member=822_pso
