,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
9894,gen=33_member=5580_pso,22.3236688,8.5234571,0.0765429
9895,78,39.912392,7.47741,1.12259
9896,13,37.7182576,7.629550999999999,0.970449
9897,171,39.11811,7.485609999999999,1.11439
9898,122,38.912242799999994,7.541729999999999,1.05827
9899,169,37.9276896,7.59047,1.00953
9900,20,39.0675344,7.52044,1.07956
9901,72,38.6453284,7.564539999999999,1.03546
9902,107,38.9505644,7.52183,1.07817
9903,4,38.3521236,7.57597,1.02403
9904,gen=48_member=8128_pso,26.3975668,8.5007909,0.0992091
9905,gen=38_member=6396_pso,31.076589600000002,8.410324,0.189676
9906,gen=40_member=6750_pso,31.4787436,8.384686,0.215314
9907,gen=33_member=5541_pso,31.146326,8.398419,0.201581
9908,gen=41_member=6924_pso,28.822967600000002,8.469263,0.130737
9909,gen=46_member=7847_pso,31.3599912,8.394848,0.205152
9910,1,38.344102799999995,7.585699999999999,1.0143
9911,gen=42_member=7110_pso,27.0087072,8.493158,0.106842
9912,gen=48_member=8136_pso,26.265892,8.511695,0.088305
9913,gen=47_member=8012_pso,33.9772228,8.211200999999999,0.388799
9914,gen=44_member=7426_pso,27.774025199999997,8.482083,0.117917
9915,gen=49_member=8284_pso,32.6230444,8.313558,0.286442
9916,gen=38_member=6417_pso,30.9660808,8.413856,0.186144
9917,gen=39_member=6609_pso,31.962888,8.350684,0.249316
9920,gen=26_member=4419_pso,37.458027200000004,7.633794999999999,0.966205
9921,gen=46_member=7889_pso,33.482383999999996,8.249445,0.350555
9922,gen=41_member=7011_pso,28.9619948,8.4598,0.1402
9923,gen=36_member=6120_pso,28.359098,8.476588999999999,0.123411
9924,gen=41_member=6963_pso,34.1109028,8.197333,0.402667
9925,gen=31_member=5227_pso,37.420374,7.639780999999999,0.960219
9926,gen=41_member=7051_pso,31.7068908,8.371713999999999,0.228286
9927,gen=47_member=7936_pso,31.847032,8.364808,0.235192
9928,gen=48_member=8188_pso,30.948034,8.421016,0.178984
9929,gen=34_member=5807_pso,34.2479248,8.183549,0.416451
9930,gen=33_member=5565_pso,31.8630736,8.356613,0.243387
9931,gen=37_member=6234_pso,31.5230808,8.38097,0.21903
9932,gen=40_member=6760_pso,34.17752,8.191898,0.408102
9933,gen=44_member=7504_pso,30.6766636,8.432971,0.167029
9934,gen=38_member=6374_pso,33.5077832,8.24274,0.35726
9935,gen=46_member=7885_pso,33.0325508,8.280532,0.319468
9936,gen=40_member=6773_pso,33.7000596,8.233722,0.366278
9937,gen=36_member=6113_pso,34.8096036,8.111328,0.488672
9938,gen=46_member=7825_pso,34.3873976,8.169782,0.430218
9939,gen=39_member=6577_pso,32.1228584,8.339534,0.260466
9940,gen=39_member=6678_pso,34.7236028,8.125200999999999,0.474799
9941,gen=46_member=7748_pso,30.7299128,8.430005,0.169995
9942,gen=32_member=5375_pso,37.4201512,7.643197,0.956803
9943,gen=48_member=8231_pso,33.8725068,8.217508,0.382492
9944,gen=40_member=6819_pso,30.50689,8.446132,0.153868
9945,gen=40_member=6850_pso,32.4091564,8.327065,0.272935
9947,gen=45_member=7592_pso,32.542168,8.318717,0.281283
9948,gen=37_member=6357_pso,32.2683468,8.334621,0.265379
9949,gen=39_member=6703_pso,32.328057199999996,8.331945,0.268055
9950,gen=27_member=4529_pso,37.107117200000005,7.712311,0.887689
9951,gen=23_member=3831_pso,35.4795632,8.001184,0.598816
9952,gen=32_member=5483_pso,35.8409448,7.939349,0.660651
9953,gen=33_member=5576_pso,37.108231200000006,7.7060699999999995,0.89393
9954,gen=40_member=6718_pso,34.6730272,8.132394999999999,0.467605
9955,gen=45_member=7692_pso,23.48312,8.5191635,0.0808365
9956,gen=47_member=7955_pso,28.7262724,8.472596,0.127404
9957,gen=31_member=5266_pso,37.159698,7.6979869999999995,0.902013
9958,gen=34_member=5792_pso,37.308305600000004,7.6708039999999995,0.929196
9959,gen=49_member=8339_pso,30.653492399999998,8.438903999999999,0.161096
9960,gen=36_member=6126_pso,29.787246,8.454424,0.145576
9961,gen=49_member=8382_pso,32.9004304,8.291675,0.308325
9962,gen=37_member=6331_pso,37.3873996,7.647689,0.952311
9963,gen=41_member=7005_pso,30.565486399999998,8.440244999999999,0.159755
9964,gen=47_member=8046_pso,34.253272,8.177472999999999,0.422527
9965,gen=42_member=7173_pso,30.7969756,8.42499,0.17501
9966,gen=42_member=7181_pso,37.358658399999996,7.654115,0.945885
9967,gen=45_member=7655_pso,35.21354,8.045421,0.554579
9968,gen=45_member=7581_pso,31.8082648,8.365824,0.234176
9969,gen=38_member=6418_pso,34.600617199999995,8.144060999999999,0.455939
9971,gen=45_member=7684_pso,34.443766,8.162329999999999,0.43767
9972,gen=46_member=7856_pso,34.3314748,8.175063,0.424937
9973,gen=30_member=5130_pso,35.0136884,8.078451,0.521549
9974,gen=33_member=5671_pso,33.2192572,8.265962,0.334038
9975,gen=37_member=6335_pso,36.666418799999995,7.797008,0.802992
9976,gen=32_member=5376_pso,33.0552764,8.277168999999999,0.322831
9977,gen=35_member=5881_pso,35.0956788,8.065303,0.534697
9978,gen=36_member=6133_pso,36.61628879999999,7.805707999999999,0.794292
9979,gen=45_member=7647_pso,36.6911496,7.791205,0.808795
9980,gen=38_member=6514_pso,37.2835748,7.676171,0.923829
9982,gen=49_member=8348_pso,37.382498,7.650443999999999,0.949556
9983,gen=32_member=5431_pso,36.5367492,7.819413,0.780587
9984,gen=47_member=7960_pso,36.604034799999994,7.808031,0.791969
9985,gen=49_member=8385_pso,30.3600648,8.450585,0.149415
9986,gen=47_member=7958_pso,37.357544399999995,7.6574599999999995,0.94254
9987,gen=33_member=5613_pso,34.7795256,8.115479,0.484521
9988,gen=20_member=3315_pso,35.254758,8.038211,0.561789
9989,gen=46_member=7795_pso,27.5962308,8.488156,0.111844
9991,gen=41_member=6907_pso,32.750486,8.30331,0.29669
