,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
8858,152,39.0853584,3.5817999999999994,5.0182
8859,gen=49_member=8359_pso,14.77812348,7.890549,0.709451
8860,130,38.6001,3.67711,4.92289
8861,16,38.467534,3.8831599999999993,4.71684
8863,gen=47_member=7913_pso,15.717492839999998,7.857976,0.742024
8864,95,38.900657200000005,3.6635999999999997,4.9364
8865,gen=40_member=6842_pso,23.178998,7.4738299999999995,1.12617
8866,gen=49_member=8345_pso,27.4636648,7.10035,1.49965
8867,156,37.6137644,3.9503899999999996,4.64961
8868,gen=38_member=6455_pso,27.571277199999997,7.04686,1.55314
8869,gen=41_member=6888_pso,18.35263756,7.742274999999999,0.857725
8870,gen=43_member=7235_pso,23.90644,7.40489,1.19511
8871,10,37.7474444,3.88455,4.71545
8872,gen=45_member=7573_pso,24.5853116,7.3766799999999995,1.22332
8873,gen=32_member=5455_pso,37.2080456,4.04143,4.55857
8874,gen=29_member=4958_pso,24.7655568,7.339829999999999,1.26017
8875,gen=38_member=6394_pso,37.281346799999994,3.9962599999999995,4.60374
8876,gen=40_member=6866_pso,31.9354836,6.22944,2.37056
8877,gen=48_member=8144_pso,27.116988,7.13885,1.46115
8878,gen=35_member=5933_pso,31.1008748,6.4252199999999995,2.17478
8879,gen=46_member=7885_pso,31.5932628,6.33477,2.26523
8880,gen=22_member=3700_pso,19.79840904,7.651922,0.948078
8881,gen=44_member=7472_pso,34.1614784,5.56616,3.03384
8882,gen=48_member=8150_pso,25.2953752,7.285209999999999,1.31479
8883,gen=27_member=4500_pso,37.1046664,4.0984,4.5016
8884,gen=39_member=6693_pso,35.25253,5.084529999999999,3.51547
8885,gen=44_member=7489_pso,29.8772572,6.6815299999999995,1.91847
8886,gen=40_member=6747_pso,31.8497056,6.2644,2.3356
8887,gen=48_member=8175_pso,34.238344399999995,5.53655,3.06345
8888,gen=36_member=6104_pso,36.7259064,4.31481,4.28519
8889,gen=34_member=5696_pso,20.56691308,7.614717,0.985283
8890,gen=42_member=7079_pso,28.7209252,6.8713,1.7287
8891,gen=47_member=7963_pso,33.3961604,5.823269999999999,2.77673
8892,gen=42_member=7178_pso,34.1135764,5.5853399999999995,3.01466
8893,gen=43_member=7259_pso,33.017623199999996,5.932129999999999,2.66787
8894,gen=40_member=6722_pso,33.159101199999995,5.89521,2.70479
8895,gen=47_member=8027_pso,20.845724999999998,7.57335,1.02665
8896,gen=49_member=8424_pso,28.7135728,6.8976999999999995,1.7023
8897,gen=48_member=8089_pso,23.0288308,7.49723,1.10277
8898,gen=43_member=7244_pso,32.8398288,5.98166,2.61834
8899,gen=43_member=7263_pso,28.608634,6.914339999999999,1.68566
8900,gen=43_member=7283_pso,36.553682,4.4092899999999995,4.19071
8901,gen=41_member=6891_pso,26.002988,7.23201,1.36799
8902,gen=40_member=6719_pso,29.513647600000002,6.75484,1.84516
8903,gen=48_member=8094_pso,33.680453199999995,5.72963,2.87037
8904,gen=34_member=5780_pso,29.9752892,6.659839999999999,1.94016
8905,gen=30_member=5016_pso,36.870280799999996,4.2216,4.3784
8906,gen=43_member=7255_pso,28.1389716,6.959199999999999,1.6408
8907,gen=49_member=8339_pso,18.482641360000002,7.711094999999999,0.888905
8909,gen=47_member=8033_pso,30.454086399999998,6.5587599999999995,2.04124
8910,gen=49_member=8418_pso,30.1194408,6.64138,1.95862
8911,gen=42_member=7155_pso,29.736670399999998,6.70745,1.89255
8912,gen=18_member=3011_pso,25.3831584,7.25999,1.34001
8913,gen=36_member=6105_pso,35.580045999999996,4.914569999999999,3.68543
8914,gen=49_member=8355_pso,35.6214868,4.891539999999999,3.70846
8915,gen=46_member=7837_pso,36.2742908,4.55579,4.04421
8916,gen=46_member=7802_pso,32.6150236,6.05188,2.54812
8917,gen=25_member=4184_pso,33.4870628,5.79726,2.80274
8918,gen=42_member=7110_pso,34.9677916,5.22133,3.37867
8919,gen=45_member=7658_pso,37.036044,4.133179999999999,4.46682
8920,gen=49_member=8327_pso,20.42109048,7.620365,0.979635
8921,gen=43_member=7339_pso,26.884607600000002,7.15199,1.44801
8922,gen=44_member=7529_pso,30.159322,6.621709999999999,1.97829
8923,gen=48_member=8097_pso,36.982572,4.16907,4.43093
8924,gen=31_member=5261_pso,33.0552764,5.915519999999999,2.68448
8925,gen=38_member=6390_pso,31.831213199999997,6.2765699999999995,2.32343
8926,gen=47_member=8018_pso,35.6451036,4.856859999999999,3.74314
8927,gen=46_member=7876_pso,35.8917432,4.75503,3.84497
8928,gen=49_member=8408_pso,35.0874352,5.16583,3.43417
8929,gen=31_member=5188_pso,21.239189800000002,7.53988,1.06012
8930,gen=38_member=6375_pso,25.1766228,7.30835,1.29165
8931,gen=48_member=8126_pso,32.232253199999995,6.17483,2.42517
8932,gen=40_member=6726_pso,26.2262336,7.20508,1.39492
8933,gen=45_member=7663_pso,28.1242668,6.98943,1.61057
8934,gen=38_member=6476_pso,31.692186,6.30669,2.29331
8935,gen=44_member=7519_pso,35.2721364,5.0527999999999995,3.5472
8936,gen=33_member=5531_pso,36.8916696,4.20247,4.39753
8937,gen=39_member=6604_pso,36.8591408,4.24194,4.35806
8938,gen=43_member=7281_pso,31.0039568,6.44998,2.15002
8939,gen=47_member=7919_pso,19.08553816,7.700321,0.899679
8940,gen=30_member=5030_pso,21.0759888,7.57093,1.02907
8941,gen=46_member=7810_pso,36.9934892,4.1502,4.4498
8942,gen=34_member=5710_pso,36.94826079999999,4.18736,4.41264
8943,gen=39_member=6588_pso,26.6520044,7.17605,1.42395
8944,gen=46_member=7834_pso,30.9103808,6.459289999999999,2.14071
8945,gen=40_member=6796_pso,34.248816,5.51906,3.08094
8947,gen=36_member=6029_pso,36.5942316,4.38491,4.21509
8948,gen=49_member=8300_pso,37.115138,4.08528,4.51472
8950,gen=48_member=8170_pso,36.2370832,4.57921,4.02079
8951,gen=49_member=8335_pso,36.764227999999996,4.28407,4.31593
8952,gen=37_member=6336_pso,36.509122,4.427449999999999,4.17255
8954,gen=44_member=7502_pso,31.315654,6.375679999999999,2.22432
8955,gen=27_member=4588_pso,19.544483879999998,7.6693169999999995,0.930683
8956,gen=45_member=7685_pso,34.053197600000004,5.613009999999999,2.98699
8957,gen=37_member=6344_pso,35.797276,4.80087,3.79913
8958,gen=45_member=7589_pso,33.615618399999995,5.75266,2.84734
