,Total Pumping (cfs),Depletion (cfs),member
5773,2.124449244,2.0774,gen=45_member=1683_pso
5774,10.23549884,5.11173,8
5775,10.04553956,5.02557,19
5776,2.73357776,2.22923,gen=30_member=1138_pso
5777,4.61601496,2.60753,gen=47_member=1750_pso
5778,4.892131,2.69288,gen=35_member=1327_pso
5779,2.51202544,2.1437,gen=40_member=1482_pso
5780,3.23278344,2.30292,gen=48_member=1812_pso
5781,2.6287057999999996,2.16424,gen=39_member=1452_pso
5782,4.76589252,2.6552,gen=48_member=1789_pso
5783,9.83189664,4.974,22
5784,2.9625716,2.2655,gen=30_member=1107_pso
5785,6.63184252,3.3519,gen=34_member=1270_pso
5786,3.87451428,2.43021,gen=43_member=1602_pso
5787,9.7329066,4.91832,6
5788,3.65835372,2.40135,gen=20_member=736_pso
5789,4.46544672,2.56015,gen=47_member=1775_pso
5790,3.395472,2.35193,gen=26_member=951_pso
5791,7.180442960000001,3.62332,gen=20_member=734_pso
5792,6.71548164,3.38851,gen=25_member=933_pso
5793,4.920159239999999,2.74507,gen=24_member=893_pso
5794,4.05761132,2.4725,gen=34_member=1268_pso
5795,6.2688122,3.17827,gen=46_member=1721_pso
5796,6.54100696,3.31733,gen=39_member=1455_pso
5797,6.178801,3.15197,gen=35_member=1328_pso
5798,10.03058968,4.99652,23
5799,7.48538932,3.76672,gen=44_member=1669_pso
5800,8.75456952,4.44957,gen=10_member=353_pso
5801,7.5594926,3.79997,gen=41_member=1542_pso
5802,5.702410039999999,2.96341,gen=18_member=659_pso
5803,8.04847176,4.07436,gen=33_member=1234_pso
5804,8.63207408,4.38723,gen=15_member=555_pso
5805,3.58070792,2.36443,gen=46_member=1735_pso
5806,5.933743280000001,3.0614,gen=13_member=458_pso
5807,6.42838156,3.25543,gen=29_member=1090_pso
5808,7.98608776,4.01637,gen=34_member=1290_pso
5809,6.78842636,3.41084,gen=48_member=1805_pso
5810,8.2696676,4.17782,gen=35_member=1324_pso
5811,6.38125936,3.23266,gen=49_member=1827_pso
5812,5.87931324,3.02521,gen=31_member=1150_pso
5813,7.37017944,3.70686,gen=49_member=1851_pso
5814,6.83742008,3.45553,gen=44_member=1654_pso
5815,7.950595719999999,3.99791,gen=46_member=1746_pso
5816,7.6527121199999995,3.84742,gen=38_member=1432_pso
5817,8.7074696,4.42517,gen=28_member=1050_pso
5818,7.2854486,3.65882,gen=45_member=1691_pso
5819,6.9505133599999995,3.50617,gen=27_member=1024_pso
5820,7.41944052,3.72837,gen=39_member=1465_pso
5821,9.02377876,4.62197,gen=3_member=97_pso
5822,5.34165228,2.83675,gen=31_member=1156_pso
5823,7.86615452,3.95655,gen=38_member=1442_pso
5824,9.21003956,4.69784,gen=16_member=575_pso
5825,6.46278188,3.2806,gen=41_member=1549_pso
5826,8.08325084,4.10065,gen=16_member=591_pso
5827,7.32359196,3.684,gen=46_member=1720_pso
5828,8.28778124,4.20877,gen=16_member=602_pso
5829,5.40833632,2.85682,gen=43_member=1605_pso
5830,9.371279920000001,4.79259,15
5831,5.70748988,2.99215,gen=29_member=1072_pso
5832,7.455511840000001,3.74879,gen=29_member=1100_pso
5833,9.54648984,4.86972,17
5834,9.27699096,4.73345,gen=43_member=1630_pso
5835,8.669883239999999,4.4059,gen=31_member=1158_pso
5836,8.34194392,4.23832,gen=47_member=1779_pso
5837,9.5649154,4.90011,gen=33_member=1225_pso
5838,7.69237052,3.86634,gen=31_member=1163_pso
5839,8.53225968,4.33067,gen=43_member=1614_pso
5840,7.7960616400000005,3.92105,gen=24_member=876_pso
5841,9.2214692,4.71412,gen=10_member=357_pso
5842,9.2861926,4.75225,gen=1_member=15_pso
5843,5.049182719999999,2.77487,gen=26_member=986_pso
5844,8.59742868,4.35636,gen=33_member=1252_pso
5845,7.98724632,4.04555,gen=15_member=553_pso
5846,8.500555239999999,4.30212,gen=42_member=1585_pso
5848,6.0404422,3.10614,gen=28_member=1038_pso
5849,8.79273516,4.47631,gen=44_member=1664_pso
5850,5.98939872,3.07645,gen=49_member=1832_pso
5851,9.022286,4.59158,gen=15_member=551_pso
5852,7.01011236,3.55972,gen=22_member=821_pso
5853,9.378565479999999,4.81843,gen=35_member=1316_pso
5854,6.28988908,3.20693,gen=23_member=853_pso
5855,8.13719072,4.11449,gen=27_member=1021_pso
5856,4.14993964,2.49445,gen=22_member=828_pso
5857,4.401057519999999,2.54574,gen=42_member=1559_pso
5858,6.81112968,3.43579,gen=35_member=1299_pso
5859,6.08435608,3.12644,gen=38_member=1437_pso
5860,7.5815497999999995,3.82231,gen=24_member=878_pso
5861,5.1462121199999995,2.80139,gen=46_member=1725_pso
5862,5.7001152,2.94218,gen=23_member=872_pso
5863,8.33900296,4.21771,gen=37_member=1373_pso
5864,9.173923680000001,4.6735,gen=17_member=618_pso
5865,7.131204159999999,3.59956,gen=21_member=779_pso
5866,4.2291896,2.51865,gen=20_member=742_pso
5867,8.2331284,4.16171,gen=16_member=588_pso
5868,8.04091884,4.05084,gen=43_member=1629_pso
5869,8.522345080000001,4.3163,gen=45_member=1689_pso
5870,7.74815964,3.89989,gen=15_member=546_pso
5871,9.46973524,4.84544,gen=45_member=1682_pso
5872,6.9976578400000005,3.55096,gen=16_member=573_pso
5873,8.95107912,4.5577,gen=30_member=1105_pso
5874,5.56414036,2.89572,gen=33_member=1226_pso
5875,5.31908264,2.81603,gen=14_member=517_pso
5876,7.907261119999999,3.97232,gen=42_member=1575_pso
5877,8.47232648,4.28196,gen=14_member=527_pso
5878,7.6940637999999995,3.88456,gen=20_member=744_pso
5879,9.327744800000001,4.76906,gen=32_member=1197_pso
5880,8.55516352,4.35232,gen=7_member=251_pso
5881,6.95808856,3.53145,gen=25_member=928_pso
5882,7.2906621199999995,3.66679,gen=38_member=1435_pso
5883,7.0132984,3.58306,gen=13_member=491_pso
5884,5.800442039999999,3.00193,gen=36_member=1333_pso
5885,5.02705868,2.76642,gen=30_member=1127_pso
5886,9.532631680000001,4.86178,29
5887,8.379441159999999,4.25562,gen=16_member=598_pso
