,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
8495,152,39.0853584,3.8174199999999994,4.78258
8496,gen=36_member=6021_pso,15.73043752,7.788917,0.811083
8497,16,38.467534,4.110729999999999,4.48927
8498,130,38.6001,3.9092899999999995,4.69071
8499,95,38.900657200000005,3.8987299999999996,4.70127
8500,156,37.6137644,4.1735,4.4265
8501,gen=47_member=7948_pso,28.5299856,7.0297,1.5703
8502,gen=48_member=8161_pso,24.5082228,7.42974,1.17026
8503,gen=33_member=5661_pso,36.8916696,4.38425,4.21575
8504,gen=47_member=7921_pso,37.0291372,4.328989999999999,4.27101
8505,gen=40_member=6722_pso,29.2066292,6.944389999999999,1.65561
8506,gen=48_member=8113_pso,37.0135412,4.3675999999999995,4.2324
8507,gen=48_member=8218_pso,36.6236412,4.5660099999999995,4.03399
8508,gen=42_member=7058_pso,17.825114,7.735417999999999,0.864582
8509,gen=48_member=8245_pso,36.87897,4.428789999999999,4.17121
8510,gen=41_member=6922_pso,32.1159516,6.351789999999999,2.24821
8511,gen=41_member=6885_pso,16.94815092,7.771434999999999,0.828565
8512,gen=37_member=6262_pso,25.3729096,7.3575,1.2425
8513,gen=39_member=6554_pso,22.91498,7.52401,1.07599
8514,gen=44_member=7409_pso,29.026161199999997,6.981809999999999,1.61819
8515,gen=33_member=5597_pso,20.425457360000003,7.606280999999999,0.993719
8516,gen=35_member=5926_pso,28.758578399999998,6.99416,1.60584
8517,gen=42_member=7147_pso,36.785394,4.47464,4.12536
8518,gen=47_member=7992_pso,37.303181200000004,4.1846499999999995,4.41535
8519,gen=44_member=7479_pso,29.72709,6.827299999999999,1.7727
8520,gen=46_member=7840_pso,27.838414399999998,7.137409999999999,1.46259
8521,gen=36_member=6076_pso,37.071692,4.28559,4.31441
8522,gen=39_member=6576_pso,24.576845199999998,7.38936,1.21064
8523,gen=46_member=7833_pso,30.2738412,6.76261,1.83739
8524,gen=36_member=6039_pso,34.2367848,5.713419999999999,2.88658
8525,gen=45_member=7630_pso,20.27341864,7.635686,0.964314
8526,gen=41_member=7002_pso,31.456018,6.5067699999999995,2.09323
8527,gen=44_member=7416_pso,22.539562,7.56265,1.03735
8528,gen=48_member=8130_pso,30.2965668,6.7337,1.8663
8529,gen=42_member=7150_pso,23.0183592,7.51275,1.08725
8530,gen=46_member=7861_pso,36.5779672,4.5924,4.0076
8531,gen=47_member=8013_pso,24.1898416,7.45224,1.14776
8532,gen=34_member=5833_pso,37.0554276,4.30654,4.29346
8533,gen=29_member=4835_pso,31.1628132,6.57501,2.02499
8534,gen=43_member=7309_pso,28.36244,7.06359,1.53641
8535,gen=42_member=7162_pso,34.2657488,5.67901,2.92099
8536,gen=43_member=7394_pso,29.6994628,6.85908,1.74092
8537,gen=47_member=7994_pso,27.7078536,7.17449,1.42551
8538,gen=48_member=8212_pso,25.5088176,7.3336,1.2664
8539,gen=34_member=5718_pso,19.217970479999998,7.67247,0.92753
8540,gen=40_member=6749_pso,32.0337384,6.37367,2.22633
8541,gen=45_member=7712_pso,31.9644476,6.39306,2.20694
8542,gen=49_member=8286_pso,31.885799199999997,6.414479999999999,2.18552
8543,gen=47_member=7987_pso,32.3378604,6.291779999999999,2.30822
8544,gen=42_member=7104_pso,37.1305112,4.247719999999999,4.35228
8545,gen=44_member=7536_pso,23.466855600000002,7.48015,1.11985
8546,gen=38_member=6480_pso,31.4072248,6.52552,2.07448
8547,gen=43_member=7269_pso,36.833296,4.45628,4.14372
8548,gen=35_member=5948_pso,37.07392,4.260759999999999,4.33924
8549,gen=29_member=4871_pso,17.843495,7.718456,0.881544
8550,gen=36_member=6031_pso,31.3383796,6.54585,2.05415
8551,gen=39_member=6689_pso,29.4165068,6.92129,1.67871
8552,gen=46_member=7811_pso,30.8479968,6.6403799999999995,1.95962
8553,gen=36_member=6150_pso,29.510305600000002,6.884639999999999,1.71536
8554,gen=28_member=4698_pso,19.62453592,7.651147,0.948853
8555,gen=45_member=7580_pso,29.4198488,6.9072,1.6928
8556,gen=37_member=6318_pso,36.3585092,4.707369999999999,3.89263
8557,gen=39_member=6634_pso,37.24659,4.2208,4.3792
8558,gen=46_member=7788_pso,32.533256,6.245559999999999,2.35444
8559,gen=46_member=7881_pso,27.1929628,7.22347,1.37653
8560,gen=27_member=4566_pso,34.2026964,5.72427,2.87573
8561,gen=39_member=6698_pso,33.52026,5.9502999999999995,2.6497
8562,gen=41_member=6986_pso,35.7676436,5.0132699999999994,3.58673
