,member,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
8319,78,39.912392,3.6437099999999996,4.95629
8320,gen=29_member=4981_pso,15.57991384,7.920063,0.679937
8321,169,37.9276896,4.05347,4.54653
8322,171,39.11811,3.7346299999999992,4.86537
8323,13,37.7182576,4.14915,4.45085
8324,gen=39_member=6573_pso,30.075103600000002,6.765289999999999,1.83471
8325,72,38.6453284,3.9210199999999995,4.67898
8326,91,38.777448799999995,3.83061,4.76939
8327,gen=48_member=8132_pso,29.8409408,6.84262,1.75738
8328,18,38.2763716,4.018759999999999,4.58124
8329,1,38.344102799999995,3.97687,4.62313
8330,gen=47_member=7963_pso,21.61748192,7.64626,0.95374
8331,gen=45_member=7628_pso,26.9919972,7.236219999999999,1.36378
8332,gen=30_member=5156_pso,17.91303088,7.864869,0.735131
8333,gen=38_member=6489_pso,17.98715644,7.8182149999999995,0.781785
8334,gen=46_member=7780_pso,27.745952399999997,7.09371,1.50629
8335,gen=37_member=6288_pso,34.147887600000004,5.73935,2.86065
8337,gen=49_member=8418_pso,21.247210600000003,7.669828,0.930172
8338,4,38.3521236,3.9426299999999994,4.65737
8340,gen=47_member=7988_pso,32.181900399999996,6.327539999999999,2.27246
8341,gen=48_member=8171_pso,20.749675919999998,7.7040299999999995,0.89597
8342,gen=43_member=7281_pso,28.820294,6.9885399999999995,1.61146
8343,gen=46_member=7841_pso,28.041608,7.083019999999999,1.51698
8344,gen=33_member=5627_pso,32.6152464,6.18807,2.41193
8345,gen=43_member=7290_pso,28.3760308,7.03508,1.56492
8346,gen=47_member=7971_pso,34.7068928,5.523909999999999,3.07609
8347,gen=44_member=7443_pso,24.229499999999998,7.43277,1.16723
8348,gen=43_member=7301_pso,29.262552,6.92514,1.67486
8349,gen=44_member=7517_pso,35.244732,5.27964,3.32036
8350,gen=49_member=8400_pso,36.9832404,4.39074,4.20926
8351,gen=45_member=7692_pso,33.965637199999996,5.817699999999999,2.7823
8352,gen=40_member=6737_pso,31.3920744,6.5112499999999995,2.08875
8353,gen=43_member=7382_pso,31.885576399999998,6.4036599999999995,2.19634
8354,gen=47_member=7974_pso,34.771059199999996,5.49343,3.10657
8355,gen=46_member=7762_pso,27.708076399999996,7.14147,1.45853
8356,122,38.912242799999994,3.8135699999999995,4.78643
8357,gen=47_member=7943_pso,27.5215928,7.142939999999999,1.45706
8359,20,39.0675344,3.7734999999999994,4.8265
8360,gen=49_member=8367_pso,27.192517199999998,7.18952,1.41048
8361,gen=48_member=8092_pso,27.449405600000002,7.18942,1.41058
8362,gen=48_member=8160_pso,32.27258,6.3073999999999995,2.2926
8363,gen=46_member=7836_pso,29.459507199999997,6.88678,1.71322
8364,gen=36_member=6051_pso,31.039827600000002,6.56381,2.03619
8365,gen=31_member=5165_pso,30.3979408,6.69107,1.90893
8366,gen=44_member=7428_pso,33.2067804,6.046099999999999,2.5539
8367,gen=42_member=7084_pso,18.58506252,7.770483,0.829517
8368,gen=44_member=7419_pso,29.0800788,6.95383,1.64617
8369,gen=36_member=6109_pso,33.215692399999995,6.01901,2.58099
8370,gen=34_member=5794_pso,36.919074,4.426559999999999,4.17344
8371,gen=34_member=5731_pso,35.036414,5.36647,3.23353
8372,gen=47_member=7921_pso,30.992594,6.59075,2.00925
8373,gen=46_member=7910_pso,34.8363396,5.4620299999999995,3.13797
8374,gen=38_member=6438_pso,25.509040399999996,7.31779,1.28221
8375,gen=47_member=8063_pso,32.0081164,6.36433,2.23567
8376,gen=48_member=8179_pso,33.348481199999995,6.0025699999999995,2.59743
8377,gen=43_member=7305_pso,32.4080424,6.25732,2.34268
8378,gen=42_member=7157_pso,34.1042188,5.76772,2.83228
8379,gen=41_member=6996_pso,32.5582096,6.21711,2.38289
