real_name,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
gen=17_member=440_pso,109.62870911300142,6.161018585166472,2.438981414833528
16,117.11130193031622,3.939171932075414,4.6608280679245855
gen=4_member=85_pso,115.89684359203436,4.3876559225408345,4.212344077459165
gen=28_member=723_pso,110.05271894801453,6.118614430766343,2.4813855692336566
gen=46_member=1193_pso,114.6950223519099,4.533271051142216,4.066728948857784
gen=37_member=950_pso,110.42804184309638,6.080661279067199,2.5193387209328013
gen=34_member=860_pso,109.97853261140261,6.127025439857543,2.4729745601424566
gen=23_member=596_pso,113.92922708436552,4.7814272592651985,3.8185727407348016
19,116.98618279294148,4.032799647803263,4.567200352196736
gen=25_member=645_pso,109.6742290623888,6.152396130182783,2.4476038698172164
gen=5_member=118_pso,112.46425134206959,5.477676323707826,3.1223236762921744
gen=42_member=1084_pso,113.2820188538499,5.214620909236636,3.385379090763364
gen=26_member=652_pso,110.77011462470593,6.003788012070668,2.596211987929332
gen=49_member=1250_pso,111.07718085056992,5.954483350378938,2.645516649621061
gen=30_member=768_pso,112.56498101419474,5.421340938976818,3.1786590610231817
gen=9_member=212_pso,113.18860491105816,5.112313263616244,3.487686736383756
gen=39_member=999_pso,111.16043855930988,5.917038165558944,2.682961834441055
gen=26_member=671_pso,112.03754504373062,5.718459608395537,2.881540391604463
2,116.85529166675299,4.0462139369185435,4.553786063081456
17,116.61929863703037,4.165177807816324,4.434822192183676
gen=37_member=956_pso,114.07403327906728,4.846586207097597,3.7534137929024025
22,116.90665053122859,4.099092769708473,4.500907230291527
gen=16_member=404_pso,114.28549727523564,4.715422923387491,3.884577076612509
gen=32_member=811_pso,113.21206288330823,5.252536324282497,3.347463675717503
gen=25_member=627_pso,114.1077191004299,4.830918520004353,3.769081479995647
gen=13_member=316_pso,115.85370835377024,4.355449975975133,4.244550024024867
gen=22_member=558_pso,113.3345534481719,5.0749824681128315,3.525017531887168
gen=34_member=859_pso,110.9708826824947,6.002650701519883,2.597349298480117
gen=24_member=616_pso,112.1160061613294,5.669863308995552,2.930136691004447
gen=39_member=1013_pso,113.8693221053299,4.917314324333287,3.6826856756667135
gen=25_member=640_pso,113.30816910402515,5.069498188953782,3.5305018110462174
gen=35_member=893_pso,111.62081511976992,5.7818359517184135,2.8181640482815857
5,116.57877815968531,4.163110671721808,4.436889328278192
10,116.46471919385844,4.211091255576397,4.388908744423603
gen=36_member=916_pso,112.44981561888845,5.595474283582423,3.004525716417577
gen=42_member=1074_pso,115.85385436406692,4.318168489860049,4.28183151013995
gen=16_member=414_pso,111.8935406270213,5.726002896450115,2.873997103549884
gen=45_member=1160_pso,111.92930544380586,5.7455537655868785,2.8544462344131216
gen=49_member=1254_pso,110.62905295730445,6.030716132488898,2.569283867511102
18,116.49690198732772,4.13694001672983,4.46305998327017
gen=45_member=1159_pso,113.0780251865131,5.283347240167797,3.316652759832203
gen=26_member=672_pso,110.96236007696943,5.984331373274882,2.615668626725117
gen=29_member=749_pso,111.29955823562136,5.90914833331435,2.690851666685649
gen=16_member=395_pso,111.50849801706259,5.88434309718296,2.7156569028170394
gen=35_member=894_pso,113.73452114630068,4.9691577833416405,3.630842216658359
gen=33_member=841_pso,114.46360028537747,4.640908281829592,3.959091718170407
13,116.52559114971052,4.115139268912207,4.484860731087792
gen=32_member=813_pso,116.0400255399037,4.281651325056228,4.318348674943771
gen=22_member=548_pso,112.64735453763147,5.417655958951455,3.182344041048544
gen=15_member=377_pso,111.58158272403367,5.863210494770962,2.736789505229038
gen=23_member=589_pso,111.70821772268243,5.797041067242295,2.802958932757704
gen=36_member=921_pso,112.22571964471992,5.638071532141174,2.961928467858826
gen=15_member=385_pso,113.2528510399088,5.097858420196612,3.502141579803388
gen=44_member=1134_pso,115.98621263004651,4.264108371614171,4.335891628385829
gen=33_member=854_pso,113.4290674676499,5.008226449300031,3.5917735506999695
gen=9_member=225_pso,114.63142352815578,4.55937788278199,4.0406221172180095
gen=18_member=444_pso,113.83306424733162,4.936881950958119,3.6631180490418807
gen=16_member=392_pso,112.69321715247638,5.395065717098511,3.204934282901489
gen=33_member=853_pso,112.6659742823999,5.546747928411577,3.0532520715884224
gen=16_member=402_pso,111.69050224902027,5.803293026210881,2.796706973789119
gen=35_member=890_pso,114.38550969303645,4.680384488160728,3.919615511839272
gen=15_member=368_pso,115.8923028844179,4.329346329783627,4.270653670216372
gen=49_member=1269_pso,114.17461953891404,4.66146107170859,3.9385389282914094
gen=47_member=1219_pso,111.61520034935047,5.83560327218291,2.76439672781709
gen=3_member=64_pso,115.91140318719805,4.3401939697349565,4.259806030265043
gen=17_member=421_pso,112.54770510840484,5.571330977464612,3.028669022535387
gen=25_member=649_pso,116.0683621212081,4.247016626731888,4.352983373268112
