,Total Pumping (cfs),Depletion (cfs),member
5452,10.22482672,4.89771,10
5453,3.54726564,2.16882,gen=49_member=1825_pso
5454,10.12499004,4.82867,12
5455,9.952275479999999,4.69714,36
5456,6.8826262,3.26559,gen=43_member=1604_pso
5457,9.47214148,4.6146,gen=44_member=1641_pso
5458,10.201700079999998,4.8534,8
5459,5.89978856,2.85105,gen=49_member=1852_pso
5460,6.6754444799999995,3.19739,gen=21_member=789_pso
5461,8.25168764,3.96588,gen=18_member=676_pso
5462,9.26106076,4.50853,gen=7_member=260_pso
5463,5.39055688,2.67808,gen=16_member=602_pso
5464,4.1153388,2.32802,gen=12_member=420_pso
5465,6.96546324,3.30956,gen=42_member=1570_pso
5466,9.46169216,4.56442,20
5467,7.38824852,3.52111,gen=27_member=993_pso
5468,6.63712288,3.17458,gen=31_member=1169_pso
5469,7.22977088,3.44217,gen=27_member=1010_pso
5470,7.320584159999999,3.48601,gen=22_member=819_pso
5471,6.4951547199999995,3.08805,gen=38_member=1440_pso
5472,4.4973294,2.41445,gen=32_member=1182_pso
5473,9.13517876,4.44841,gen=9_member=318_pso
5474,6.985002799999999,3.31811,gen=35_member=1329_pso
5475,6.19121096,2.98838,gen=16_member=590_pso
5476,4.62336736,2.45136,gen=40_member=1489_pso
5477,7.1887979600000005,3.41568,gen=46_member=1746_pso
5478,4.9750571599999995,2.55925,gen=37_member=1384_pso
5479,5.52196432,2.711,gen=28_member=1045_pso
5480,8.67222264,4.17773,gen=45_member=1687_pso
5481,4.02416904,2.28531,gen=31_member=1143_pso
5482,8.91119792,4.31814,gen=12_member=454_pso
5483,5.7797662,2.80902,gen=34_member=1266_pso
5484,4.3413694,2.37164,gen=28_member=1062_pso
5485,6.017828,2.91587,gen=48_member=1821_pso
5486,4.69976548,2.47461,gen=47_member=1772_pso
5487,4.85779752,2.51776,gen=43_member=1607_pso
5488,4.908306280000001,2.54372,gen=25_member=940_pso
5489,7.418304239999999,3.53696,gen=44_member=1653_pso
5490,7.13608348,3.39012,gen=33_member=1226_pso
5491,9.1118516,4.41397,gen=46_member=1728_pso
5492,6.13415188,2.94789,gen=25_member=941_pso
5493,5.33931288,2.6583,gen=22_member=820_pso
5494,7.98154264,3.82159,gen=16_member=606_pso
5495,7.686310359999999,3.66103,gen=27_member=996_pso
5496,6.32393292,3.03571,gen=24_member=887_pso
5497,6.538066,3.12039,gen=25_member=924_pso
5498,8.71197016,4.20695,gen=23_member=843_pso
5499,8.32567952,3.99915,gen=44_member=1670_pso
5500,3.7265528,2.21074,gen=38_member=1427_pso
5501,8.76842768,4.24042,gen=7_member=253_pso
5502,9.215810079999999,4.47218,gen=27_member=1020_pso
5503,7.04453496,3.354,gen=45_member=1692_pso
5504,8.37621056,4.02991,gen=11_member=402_pso
5505,9.53920428,4.63622,30
5506,6.799945119999999,3.2287,gen=47_member=1765_pso
5507,6.45828132,3.07304,gen=43_member=1614_pso
5508,5.0658036,2.58729,gen=35_member=1321_pso
5509,7.44343608,3.56257,gen=32_member=1213_pso
5510,7.0697559199999995,3.35704,gen=35_member=1300_pso
5511,5.95698132,2.88042,gen=22_member=800_pso
5512,9.673374439999998,4.68365,0
5513,8.6321632,4.15737,gen=29_member=1067_pso
5514,7.61860144,3.62699,gen=32_member=1204_pso
5515,9.02778916,4.38146,gen=46_member=1738_pso
5516,3.88665688,2.24251,gen=37_member=1368_pso
5517,4.36039652,2.38734,gen=43_member=1630_pso
5518,6.28492064,3.00829,gen=42_member=1595_pso
5519,7.625129479999999,3.64001,gen=48_member=1819_pso
5520,4.25512352,2.34505,gen=33_member=1225_pso
5521,8.28820456,3.99045,gen=21_member=780_pso
5522,5.221117479999999,2.63756,gen=27_member=1007_pso
5523,8.22724648,3.93712,gen=37_member=1396_pso
5524,6.59594944,3.14663,gen=24_member=876_pso
5525,3.83331856,2.23514,gen=29_member=1091_pso
5526,5.65809512,2.76135,gen=43_member=1609_pso
5527,8.95368588,4.34851,gen=26_member=962_pso
5528,3.9771582399999996,2.26938,gen=19_member=718_pso
5529,8.9948816,4.35596,gen=49_member=1830_pso
5530,7.815846280000001,3.72794,gen=39_member=1460_pso
5531,6.787869359999999,3.22863,gen=31_member=1164_pso
5532,9.644789199999998,4.66154,28
5533,8.14051044,3.89374,gen=44_member=1663_pso
5534,8.8169758,4.26208,gen=30_member=1124_pso
5535,6.074486039999999,2.92234,gen=23_member=839_pso
5536,8.050209599999999,3.84942,gen=41_member=1550_pso
5537,8.70771468,4.20062,gen=35_member=1312_pso
5538,7.28582736,3.46597,gen=47_member=1759_pso
5539,5.9371521199999995,2.86358,gen=19_member=704_pso
5540,8.53085604,4.11724,gen=10_member=348_pso
5541,9.308895920000001,4.5251,gen=26_member=959_pso
5542,8.17747296,3.9177,gen=22_member=807_pso
5543,7.55987136,3.60475,gen=31_member=1158_pso
5544,4.736148719999999,2.50014,gen=28_member=1048_pso
5545,4.4424092,2.40571,gen=41_member=1534_pso
5546,3.64324788,2.19351,gen=48_member=1793_pso
5547,7.52725344,3.58744,gen=36_member=1364_pso
5548,7.908731599999999,3.7685,gen=47_member=1757_pso
5549,8.88501892,4.29332,gen=18_member=683_pso
5550,5.61251024,2.74241,gen=17_member=644_pso
5551,9.05933764,4.39029,gen=48_member=1815_pso
5552,7.855215039999999,3.74219,gen=28_member=1060_pso
5553,9.335654199999999,4.54328,gen=38_member=1428_pso
5554,7.147602239999999,3.39838,gen=31_member=1160_pso
5555,7.72579052,3.68043,gen=13_member=469_pso
5556,9.54310328,4.65279,gen=28_member=1030_pso
5557,6.0783182,2.94648,gen=37_member=1392_pso
5558,7.50637708,3.57315,gen=31_member=1151_pso
5559,8.59711676,4.14227,gen=33_member=1241_pso
5560,8.8961812,4.30576,gen=31_member=1153_pso
5561,7.946719,3.79277,gen=37_member=1398_pso
5562,6.39436,3.05151,gen=34_member=1267_pso
5563,5.1884995599999995,2.62517,gen=41_member=1526_pso
5564,5.5341292,2.72148,gen=38_member=1432_pso
5565,8.15998316,3.90134,gen=39_member=1474_pso
5566,9.08972756,4.40733,gen=32_member=1207_pso
5567,5.10171896,2.59548,gen=34_member=1258_pso
5568,8.40751396,4.03784,gen=49_member=1833_pso
5569,8.099314719999999,3.87053,gen=25_member=939_pso
5570,4.677106719999999,2.45829,gen=42_member=1590_pso
5571,6.54495052,3.12809,gen=29_member=1095_pso
5572,7.97073684,3.80897,gen=33_member=1227_pso
5574,7.76912512,3.702,gen=45_member=1698_pso
5575,7.7321626,3.6864,gen=34_member=1286_pso
5576,8.500265599999999,4.0953,gen=40_member=1496_pso
5577,9.33690188,4.56257,gen=43_member=1628_pso
5578,9.14734364,4.45863,gen=37_member=1378_pso
5579,5.60404384,2.73532,gen=29_member=1071_pso
5580,5.746368479999999,2.78908,gen=30_member=1117_pso
5581,7.29674456,3.47122,gen=31_member=1176_pso
5582,8.43213336,4.05352,gen=18_member=662_pso
5583,8.495854159999999,4.07928,gen=43_member=1618_pso
5584,7.788753799999999,3.71073,gen=29_member=1069_pso
5585,5.74824,2.80109,gen=42_member=1575_pso
5586,5.68249172,2.77417,gen=31_member=1170_pso
5587,6.56890152,3.14276,gen=44_member=1661_pso
5588,7.86914004,3.75379,gen=32_member=1192_pso
5589,9.323065999999999,4.53686,gen=36_member=1342_pso
5590,8.06749888,3.86304,gen=27_member=1018_pso
5591,5.15568112,2.61092,gen=49_member=1842_pso
5592,8.4533662,4.06662,gen=44_member=1646_pso
