member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=47_member=5907_pso,50,94.52947087594241,92.98903145662663,1.4248247829017298,7.175175217098269,1.4248247829017295,7.17517521709827
56,50,117.27557653095823,117.27557653095823,4.797320436941502,3.802679563058498,4.797320436941502,3.802679563058498
64,50,116.39420226778142,116.39420226778142,4.457265265351177,4.142734734648823,4.457265265351176,4.1427347346488235
gen=40_member=5105_pso,50,115.56391478569493,114.61935880162932,4.281098096426855,4.318901903573145,4.281098096426855,4.318901903573145
30,50,116.27315743031438,116.27315743031438,4.690661650408188,3.9093383495918115,4.690661650408188,3.9093383495918115
gen=36_member=4531_pso,50,113.7461384682562,113.7461384682562,4.034825511414584,4.5651744885854155,4.034825511414584,4.5651744885854155
105,50,116.58488216275714,116.58488216275714,4.592213724831247,4.007786275168753,4.592213724831248,4.007786275168752
gen=49_member=6222_pso,50,113.86456508053438,113.86456508053438,3.894152647480776,4.705847352519223,3.894152647480776,4.705847352519223
18,50,116.27397312519085,116.27397312519085,4.567060185710294,4.032939814289706,4.567060185710294,4.032939814289706
35,50,117.41565744237754,117.41565744237754,4.794840629166368,3.805159370833632,4.7948406291663686,3.805159370833631
gen=44_member=5567_pso,50,95.7796865465025,93.72999863771516,1.4395496709767714,7.160450329023228,1.4395496709767712,7.160450329023228
gen=49_member=6144_pso,50,93.87032135886894,93.14157028132627,1.4384754136095979,7.161524586390402,1.4384754136095979,7.161524586390402
gen=46_member=5849_pso,50,100.75129470860493,96.55375941776099,1.551321334323784,7.048678665676215,1.551321334323784,7.048678665676215
gen=31_member=3852_pso,50,113.20384734630632,112.4311769372547,3.3700860966244046,5.229913903375595,3.3700860966244046,5.229913903375595
gen=37_member=4697_pso,50,95.6479327163654,94.70530117801378,1.470852475148528,7.129147524851472,1.470852475148528,7.129147524851472
gen=42_member=5264_pso,50,115.23581890516928,114.57582236251024,4.2426174600481605,4.357382539951839,4.2426174600481605,4.357382539951839
gen=43_member=5399_pso,50,112.87509962484884,112.655441579843,3.2449071401041327,5.355092859895867,3.2449071401041327,5.355092859895867
gen=35_member=4383_pso,50,98.91353384100007,97.35903839517434,1.5905626741745822,7.0094373258254175,1.590562674174582,7.0094373258254175
gen=47_member=5964_pso,50,101.01781352558181,99.7331389643857,1.7413821583575984,6.858617841642401,1.7413821583575984,6.858617841642401
