scenario,T_index,T_sigma_offset,T_factor,T_value,probability_weight,n_members,mean_depletion_cfs,min_depletion_cfs,max_depletion_cfs,mean_streamflow_cfs,min_streamflow_cfs,max_streamflow_cfs,mean_absolute_streamflow_error_cfs,mean_streamflow_shortfall_below_baseline_cfs
T_factor_0p800,0,-2.0,0.8,1360.0,0.022190548492442994,174,2.3723460547561217,1.2359680273670353,4.271023871389635,6.227653945243878,4.328976128610365,7.364031972632964,0.33315741765139356,0.0
T_factor_0p840,1,-1.6,0.84,1428.0,0.04558899978527853,174,2.4428596077190936,1.2754590629107712,4.383071342220213,6.157140392280906,4.216928657779786,7.324540937089228,0.2626438646884217,0.0
T_factor_0p880,2,-1.2,0.88,1496.0,0.07981140824009199,174,2.511307852173528,1.3140455544378324,4.4916141643959335,6.088692147826472,4.108385835604066,7.285954445562167,0.19419562023398723,0.0
T_factor_0p920,3,-0.7999999999999998,0.92,1564.0,0.1190646299660992,174,2.577814771746702,1.3517750560305442,4.596698621537124,6.0221852282532975,4.003301378462876,7.248224943969456,0.12768870066081328,0.0
T_factor_0p960,4,-0.3999999999999999,0.96,1632.0,0.1513608096777361,174,2.6425071817194934,1.3886892032081353,4.698433619482943,5.957492818280505,3.901566380517057,7.211310796791865,0.06299629068802148,0.0
baseline_T,5,0.0,1.0,1700.0,0.16396720767670223,174,2.705503472407515,1.4248247829017298,4.797320436941502,5.8944965275924845,3.802679563058498,7.175175217098269,0.0,0.0
T_factor_1p040,6,0.40000000000000036,1.04,1768.0,0.1513608096777361,174,2.7668731839071263,1.4602145850839257,4.893211706322941,5.833126816092873,3.706788293677059,7.139785414916074,0.06136971149961087,0.06136971149961087
T_factor_1p080,7,0.8000000000000003,1.08,1836.0,0.1190646299660992,174,2.826750924652854,1.4949585271818056,4.986351123204535,5.773249075347145,3.613648876795464,7.105041472818194,0.12124745224533862,0.12124745224533862
T_factor_1p120,8,1.2000000000000002,1.12,1904.0,0.07981140824009199,174,2.885209137538377,1.5291027168027762,5.077166165520749,5.714790862461623,3.5228338344792505,7.070897283197223,0.17970566513086164,0.17970566513086164
T_factor_1p160,9,1.6,1.16,1972.0,0.04558899978527853,174,2.9423067844644586,1.5626822406163705,5.165261172044009,5.657693215535541,3.4347388279559903,7.03731775938363,0.23680331205694347,0.23680331205694347
T_factor_1p200,10,2.0,1.2,2040.0,0.022190548492442994,174,2.9981365109181426,1.59570631056504,5.251085077167722,5.6018634890818575,3.348914922832278,7.0042936894349594,0.2926330385106275,0.2926330385106275
