T_index,T_sigma_offset,T_factor,T_value,normal_pdf,probability_weight,scenario
0,-2.0,0.8,1360.0,0.0003175939206658121,0.022190548492442994,T_factor_0p800
1,-1.6,0.84,1428.0,0.0006524754981144443,0.04558899978527853,T_factor_0p840
2,-1.2,0.88,1496.0,0.0011422709116659586,0.07981140824009199,T_factor_0p880
3,-0.7999999999999998,0.92,1564.0,0.0017040679574204865,0.1190646299660992,T_factor_0p920
4,-0.3999999999999999,0.96,1632.0,0.0021662949429607256,0.1513608096777361,T_factor_0p960
5,0.0,1.0,1700.0,0.002346719296479016,0.16396720767670223,baseline_T
6,0.40000000000000036,1.04,1768.0,0.0021662949429607256,0.1513608096777361,T_factor_1p040
7,0.8000000000000003,1.08,1836.0,0.0017040679574204865,0.1190646299660992,T_factor_1p080
8,1.2000000000000002,1.12,1904.0,0.0011422709116659586,0.07981140824009199,T_factor_1p120
9,1.6,1.16,1972.0,0.0006524754981144443,0.04558899978527853,T_factor_1p160
10,2.0,1.2,2040.0,0.0003175939206658121,0.022190548492442994,T_factor_1p200
