member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_streamflow_error_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,min_streamflow_cfs,max_streamflow_cfs,min_depletion_cfs,max_depletion_cfs
gen=47_member=5907_pso,50.0,94.52947087594241,92.98903145662663,7.175175217098269,1.4248247829017298,7.1770776967810646,1.4229223032189358,0.0019024796827951107,-0.0019024796827940005,0.08230950466532273,0.08230950466532275,7.024438489192472,7.157480316007172,7.301003040446997,1.2600576990665528,1.4067569930549326,1.5421986120318592,-0.001902479682794677,0.06611524890822092,0.03210638461271312,0.41801639616164893,,0.18885675553469472,0.17088152766331,7.0042936894349594,7.364031972632964,1.2359680273670353,1.59570631056504
gen=49_member=6144_pso,50.0,93.87032135886894,93.14157028132627,7.161524586390402,1.4384754136095979,7.163473432564117,1.4365265674358825,0.0019488461737147134,-0.0019488461737153795,0.08295267728516437,0.08295267728516427,7.0097221623250086,7.1436973324438835,7.2884039752757435,1.2722978141510952,1.420265563921787,1.5566958065040226,-0.0019488461737153743,0.06662923888892819,0.03234019635760641,0.41801639616164893,,0.19049527214763362,0.17207525839985838,6.989449327990544,7.352019858538036,1.2479801414619636,1.6105506720094562
gen=44_member=5567_pso,50.0,95.7796865465025,93.72999863771516,7.160450329023228,1.4395496709767714,7.162399008273508,1.437600991726492,0.001948679250279639,-0.001948679250279417,0.08404890990464026,0.08404890990464031,7.0065581950099345,7.142376803948348,7.288950285768894,1.2712936150176488,1.42109623645726,1.5593887913006999,-0.001948679250279568,0.06751513781945206,0.032783229284586254,0.41801639616164893,,0.19284857118116694,0.1744568909710429,6.985993438052185,7.353298900204395,1.2467010997956045,1.6140065619478146
gen=39_member=4901_pso,50.0,95.88550708593822,94.20507927130309,7.136506989630247,1.4634930103697525,7.138553448980975,1.4614465510190247,0.0020464593507281137,-0.0020464593507278916,0.08567510324850053,0.08567510324850044,6.979860361307492,7.118087202667645,7.2676230928357395,1.2917605073453529,1.444676702358612,1.5855098671732997,-0.0020464593507278934,0.06882010609745291,0.03338682337336251,0.41801639616164893,,0.1968668676885752,0.17755064357580164,6.958956346054445,7.333373857318822,1.2666261426811776,1.6410436539455546
gen=50_member=6307_pso,50.0,97.48088883739008,94.41283992446174,7.12886577549956,1.4711342245004395,7.130802572751978,1.469197427248022,0.0019367972524184651,-0.001936797252417577,0.08510960771238302,0.08510960771238303,6.972933149549955,7.110564660880177,7.258919160315482,1.300832044891045,1.4524606094040864,1.5925632979163669,-0.001936797252417904,0.06836419177189443,0.03321369725973826,0.41801639616164893,,0.19520190007708482,0.1767655661408476,6.952100209358712,7.324067675576645,1.275932324423355,1.6478997906412876
gen=36_member=4573_pso,50.0,95.34454684297248,94.42085314682879,7.132963773695647,1.4670362263043522,7.135020776743626,1.464979223256373,0.0020570030479785117,-0.002057003047979178,0.08611804551845506,0.08611804551845505,6.975510003544604,7.114447600758762,7.2647579431565115,1.2944192320897647,1.4481218672535519,1.589682992443619,-0.0020570030479793097,0.06917668158590402,0.03355983926896236,0.41801639616164893,,0.19787824702205992,0.17846364056677633,6.954500133128871,7.330842020717707,1.269157979282293,1.6454998668711291
gen=37_member=4697_pso,50.0,95.6479327163654,94.70530117801378,7.129147524851472,1.470852475148528,7.13119965929929,1.4688003407007084,0.0020521344478181547,-0.002052134447819487,0.08695780529280298,0.08695780529280295,6.9700741677191385,7.110445000084969,7.262173475317275,1.2966560899553485,1.451753220444916,1.5947502092970514,-0.002052134447819264,0.06985451490428918,0.033901190228234956,0.41801639616164893,,0.19966593292209733,0.18030760974118643,6.948839915110286,7.3288134577735695,1.27118654222643,1.6511600848897137
gen=45_member=5725_pso,50.0,96.33107850210814,94.92444773110908,7.100423713310399,1.4995762866896,7.102396037036014,1.4976039629639863,0.001972323725614622,-0.001972323725613734,0.08614080342296358,0.08614080342296351,6.942698267999276,7.081895928003259,7.232094656599111,1.3270949864208137,1.4806856376046298,1.6224306028271454,-0.001972323725613858,0.06918943515691997,0.03360855571565306,0.41801639616164893,,0.19774009878855914,0.17877467450153528,6.921649038808864,7.2981638120989585,1.3018361879010414,1.6783509611911356
gen=49_member=6161_pso,50.0,96.12077302943432,95.02082706734132,7.09287822429908,1.507121775700919,7.094848809149028,1.5051511908509718,0.0019705848499471657,-0.0019705848499471657,0.08628234667151996,0.08628234667151997,6.934883938878297,7.074319552560845,7.224754329662778,1.3343665366918045,1.4881998475144482,1.630186349200202,-0.001970584849947256,0.06930346949426389,0.03366644232215832,0.41801639616164893,,0.19805833826278452,0.17907681185329416,6.913801412445786,7.290936562561865,1.3090634374381347,1.6861985875542136
gen=47_member=5893_pso,50.0,99.51097389730381,95.09080212042277,7.126740323182053,1.4732596768179467,7.128795684170932,1.471204315829069,0.002055360988878263,-0.002055360988877597,0.08757796375713596,0.08757796375713604,6.9664948160435145,7.107901436980432,7.260690764437441,1.2978705371065586,1.454023694651749,1.5980660805330267,-0.002055360988877303,0.07035449810462689,0.03414956855787479,0.41801639616164893,,0.20102076229454902,0.18163955644705077,6.945100766735003,7.327761085476602,1.2722389145233968,1.654899233264997
gen=47_member=6002_pso,50.0,97.00051719808124,95.10238539262453,7.089758722592024,1.5102412774079752,7.091722649461547,1.5082773505384537,0.0019639268695224033,-0.001963926869521515,0.08623774455137129,0.08623774455137119,6.931838841311041,7.071205483452697,7.221555845086172,1.3375848666741748,1.491329197703882,1.6332518894429773,-0.0019639268695217328,0.06926854432548725,0.03365230872798275,0.41801639616164893,,0.1979486625244844,0.17898862080294986,6.910770101789074,7.287707385116509,1.3122926148834912,1.689229898210925
gen=45_member=5633_pso,50.0,96.22967772665474,95.30103517422398,7.107120656330995,1.4928793436690044,7.1091495300142284,1.4908504699857725,0.0020288736832334564,-0.002028873683231902,0.08759087927466655,0.08759087927466662,6.946752110082919,7.088289108241268,7.241035447439044,1.3175220963799248,1.4736517253978025,1.617774809987502,-0.0020288736832322525,0.07035889410645872,0.034165010211613236,0.41801639616164893,,0.20099444821757562,0.18178218448735795,6.925338471843637,7.308115104548571,1.2918848954514293,1.6746615281563624
gen=38_member=4778_pso,50.0,96.28697086898289,95.73899656502617,7.067698462137324,1.532301537862676,7.069847760380489,1.5301522396195122,0.0021492982431645657,-0.0021492982431638996,0.08983395263348738,0.08983395263348747,6.9034673410496294,7.048393746775275,7.205189263835132,1.3522027010861812,1.512576013009586,1.660239328032277,-0.00214929824316346,0.07215747878785919,0.035004090272347875,0.41801639616164893,,0.20646775148909846,0.18613251630298944,6.881565945834335,7.2741662136264225,1.325833786373577,1.7184340541656649
gen=33_member=4144_pso,50.0,97.77897338467862,96.24435466052263,7.048896018284096,1.5511039817159038,7.051190261273288,1.5488097387267121,0.002294242989192341,-0.002294242989191675,0.09198370398300726,0.09198370398300731,6.881077422518406,7.029128674330931,7.1898778929699505,1.3663741341504216,1.5308932717678345,1.6818804418680477,-0.00229424298919187,0.07388507475984318,0.03579541588532566,0.41801639616164893,,0.21181430906840326,0.19016673291370534,6.858729285370391,7.260710327352499,1.3392896726475005,1.7412707146296094
gen=46_member=5800_pso,50.0,97.65505960065083,96.39936894667757,7.0609735356928,1.5390264643071996,7.063152794746938,1.5368472052530617,0.002179259054138072,-0.00217925905413785,0.09110733820296502,0.09110733820296488,6.894417226605863,7.041389209542419,7.200411894300871,1.35639458819389,1.519017540662582,1.6687762336154008,-0.002179259054137961,0.07318353535006371,0.035502138147962874,0.41801639616164893,,0.20935914883063145,0.1887704730718287,6.872203062620971,7.2703326845234315,1.3296673154765677,1.7277969373790285
gen=46_member=5849_pso,50.0,100.75129470860493,96.55375941776099,7.048678665676215,1.551321334323784,7.050857419224159,1.5491425807758405,0.0021787535479438347,-0.0021787535479433906,0.0906780031946478,0.09067800319464782,6.882962045491607,7.029194760242978,7.187489669803822,1.3694428561991792,1.531418292367066,1.6804313500468049,-0.0021787535479438633,0.07283098296620806,0.0353261147091321,0.41801639616164893,,0.20854182582137604,0.18780618991441145,6.860872475761804,7.257220491497591,1.3427795085024083,1.7391275242381956
