metric,value
n_members,174.0
n_T_values,11.0
baseline_T,1700.0
T_relative_sigma,0.1
T_min,1360.0
T_max,2040.0
probability_weight_sum,0.9999999999999999
mean_probability_weighted_absolute_streamflow_error_cfs,0.11496114854318126
max_probability_weighted_absolute_streamflow_error_cfs,0.18085651684824597
mean_probability_weighted_streamflow_shortfall_cfs,0.05535712823508844
max_probability_weighted_streamflow_shortfall_cfs,0.0865737768595387
mean_streamflow_std_cfs,0.14316575612364837
max_streamflow_std_cfs,0.2252841767167104
