member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
10,baseline,1.0,117.08772119151709,5.3412064276244555,lpr:total_combined:bdpl,3.258793572375544
gen=49_member=1825_pso,baseline,1.0,110.4101658422017,2.463449593083716,lpr:total_combined:bdpl,6.1365504069162835
12,baseline,1.0,116.98788490037938,5.272149786772459,lpr:total_combined:bdpl,3.3278502132275403
36,baseline,1.0,116.81517033881784,5.138036505271308,lpr:total_combined:bdpl,3.4619634947286917
gen=43_member=1604_pso,baseline,1.0,113.74553343688041,3.6413266543587963,lpr:total_combined:bdpl,4.958673345641204
gen=44_member=1641_pso,baseline,1.0,116.3350487658274,5.052388456194731,lpr:total_combined:bdpl,3.547611543805268
8,baseline,1.0,117.06460157513362,5.298831717789569,lpr:total_combined:bdpl,3.3011682822104307
gen=49_member=1852_pso,baseline,1.0,112.76268315118593,3.1868342366102578,lpr:total_combined:bdpl,5.413165763389742
gen=21_member=789_pso,baseline,1.0,113.5383545676143,3.5756813004151984,lpr:total_combined:bdpl,5.024318699584802
gen=18_member=676_pso,baseline,1.0,115.11458380266312,4.384301351957812,lpr:total_combined:bdpl,4.215698648042188
gen=7_member=260_pso,baseline,1.0,116.12395668984307,4.938685382845281,lpr:total_combined:bdpl,3.6613146171547184
gen=16_member=602_pso,baseline,1.0,112.25346283710967,3.004477447191121,lpr:total_combined:bdpl,5.595522552808879
gen=12_member=420_pso,baseline,1.0,110.97825057886034,2.6397383657908704,lpr:total_combined:bdpl,5.960261634209129
gen=42_member=1570_pso,baseline,1.0,113.8283605094033,3.683825611068089,lpr:total_combined:bdpl,4.9161743889319105
20,baseline,1.0,116.32459714717612,4.999358465248331,lpr:total_combined:bdpl,3.6006415347516683
gen=27_member=993_pso,baseline,1.0,114.25115657477404,3.9081416528510915,lpr:total_combined:bdpl,4.691858347148909
gen=31_member=1169_pso,baseline,1.0,113.50002200284267,3.539592871443947,lpr:total_combined:bdpl,5.060407128556053
gen=27_member=1010_pso,baseline,1.0,114.09266500515412,3.81972201785349,lpr:total_combined:bdpl,4.78027798214651
gen=22_member=819_pso,baseline,1.0,114.18347799153281,3.8697255647799254,lpr:total_combined:bdpl,4.730274435220075
