statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,0.0,0.22370830057172156,-0.22370830057172159,Tplus10per
std,0.0,0.022932207723074277,0.02293220772307428,Tplus10per
25%,0.0,0.20646515334104443,-0.2418526081551402,Tplus10per
50%,0.0,0.2285886884243462,-0.2285886884243462,Tplus10per
75%,0.0,0.2418526081551402,-0.20646515334104443,Tplus10per
max,0.0,0.2653402342779527,-0.17623754356461152,Tplus10per
mean,0.0,-0.23758388423488375,0.23758388423488375,Tmin10per
std,0.0,0.025774376536131075,0.025774376536131082,Tmin10per
25%,0.0,-0.25810159925385756,0.2180512895016702,Tmin10per
50%,0.0,-0.24302779812612263,0.24302779812612307,Tmin10per
75%,0.0,-0.2180512895016704,0.25810159925385756,Tmin10per
max,0.0,-0.18472455235149443,0.2841965938391331,Tmin10per
