total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,member,scenario
0.0,0.25839389058101236,-0.25839389058101236,0,Tplus10per
0.0,0.2653402342779527,-0.2653402342779527,10,Tplus10per
0.0,0.26452949283169414,-0.26452949283169414,12,Tplus10per
0.0,0.25560398346348645,-0.25560398346348645,20,Tplus10per
0.0,0.2583936858004936,-0.2583936858004936,28,Tplus10per
0.0,0.25667860956921995,-0.25667860956921995,30,Tplus10per
0.0,0.2616652403208857,-0.2616652403208857,36,Tplus10per
0.0,0.26486829938535994,-0.26486829938535994,8,Tplus10per
0.0,0.24200197265349033,-0.24200197265349033,gen=10_member=348_pso,Tplus10per
0.0,0.24018107208343054,-0.24018107208343054,gen=11_member=402_pso,Tplus10per
0.0,0.23752914985682505,-0.23752914985682505,gen=11_member=412_pso,Tplus10per
0.0,0.18284679553623695,-0.1828467955362365,gen=12_member=420_pso,Tplus10per
0.0,0.24253616131832967,-0.24253616131832967,gen=12_member=452_pso,Tplus10per
0.0,0.24766740125287345,-0.24766740125287345,gen=12_member=454_pso,Tplus10per
0.0,0.2309921546079714,-0.2309921546079714,gen=13_member=469_pso,Tplus10per
0.0,0.18140646767822854,-0.18140646767822854,gen=15_member=533_pso,Tplus10per
0.0,0.21026983563569157,-0.21026983563569157,gen=16_member=590_pso,Tplus10per
0.0,0.19959314596526667,-0.19959314596526667,gen=16_member=602_pso,Tplus10per
0.0,0.2342064082741393,-0.2342064082741393,gen=16_member=606_pso,Tplus10per
0.0,0.19668346874056475,-0.19668346874056475,gen=17_member=633_pso,Tplus10per
0.0,0.20250719221364388,-0.20250719221364388,gen=17_member=644_pso,Tplus10per
0.0,0.24094003389871066,-0.24094003389871066,gen=18_member=662_pso,Tplus10per
0.0,0.2044666298286395,-0.20446662982863906,gen=18_member=675_pso,Tplus10per
0.0,0.23796559452006516,-0.23796559452006516,gen=18_member=676_pso,Tplus10per
0.0,0.2473390409290337,-0.2473390409290337,gen=18_member=683_pso,Tplus10per
0.0,0.20693385566424238,-0.20693385566424194,gen=19_member=704_pso,Tplus10per
0.0,0.23301353399678693,-0.23301353399678693,gen=19_member=712_pso,Tplus10per
0.0,0.18104377145773087,-0.18104377145773132,gen=19_member=718_pso,Tplus10per
0.0,0.23533567493673768,-0.23533567493673768,gen=20_member=729_pso,Tplus10per
0.0,0.23746100373054535,-0.23746100373054535,gen=20_member=738_pso,Tplus10per
0.0,0.18421594047638612,-0.18421594047638656,gen=21_member=768_pso,Tplus10per
0.0,0.23888498858294938,-0.23888498858294938,gen=21_member=780_pso,Tplus10per
0.0,0.21695268815455693,-0.21695268815455737,gen=21_member=789_pso,Tplus10per
0.0,0.20701483796306075,-0.20701483796306075,gen=22_member=800_pso,Tplus10per
0.0,0.23692011356473675,-0.23692011356473675,gen=22_member=807_pso,Tplus10per
0.0,0.24301200852701488,-0.24301200852701488,gen=22_member=817_pso,Tplus10per
0.0,0.2261089253087527,-0.22610892530875315,gen=22_member=819_pso,Tplus10per
0.0,0.19869375656470245,-0.1986937565647029,gen=22_member=820_pso,Tplus10per
0.0,0.23392150962433966,-0.23392150962433966,gen=23_member=838_pso,Tplus10per
0.0,0.20834205540407424,-0.20834205540407424,gen=23_member=839_pso,Tplus10per
0.0,0.24471481678924878,-0.24471481678924878,gen=23_member=843_pso,Tplus10per
0.0,0.20946971262709457,-0.20946971262709457,gen=23_member=858_pso,Tplus10per
0.0,0.21574335296723524,-0.21574335296723568,gen=24_member=876_pso,Tplus10per
0.0,0.2317605679531738,-0.2317605679531738,gen=24_member=882_pso,Tplus10per
0.0,0.21213395547895653,-0.21213395547895608,gen=24_member=887_pso,Tplus10per
0.0,0.20323856971255738,-0.20323856971255783,gen=24_member=905_pso,Tplus10per
0.0,0.21441970974216762,-0.21441970974216762,gen=25_member=924_pso,Tplus10per
0.0,0.2357675677713038,-0.2357675677713038,gen=25_member=939_pso,Tplus10per
0.0,0.19355401428532826,-0.19355401428532826,gen=25_member=940_pso,Tplus10per
0.0,0.20911338554268877,-0.20911338554268877,gen=25_member=941_pso,Tplus10per
0.0,0.2535966228050395,-0.2535966228050395,gen=26_member=959_pso,Tplus10per
0.0,0.24838062692102358,-0.24838062692102358,gen=26_member=962_pso,Tplus10per
0.0,0.1974045694859763,-0.1974045694859763,gen=27_member=1007_pso,Tplus10per
0.0,0.22513397453806672,-0.22513397453806672,gen=27_member=1010_pso,Tplus10per
0.0,0.23531817437567693,-0.23531817437567693,gen=27_member=1018_pso,Tplus10per
0.0,0.2521803516724068,-0.2521803516724068,gen=27_member=1020_pso,Tplus10per
0.0,0.22702752671728943,-0.22702752671728987,gen=27_member=993_pso,Tplus10per
0.0,0.23086862353067872,-0.23086862353067872,gen=27_member=996_pso,Tplus10per
