statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,114.02162403253075,3.8711392679546477,4.7288607320453515,baseline
std,1.6917725884869057,0.7826372563659344,0.7826372563659344,baseline
25%,112.78137176568853,3.1986928523392306,4.079525528693324,baseline
50%,114.39014814578641,3.983532417814411,4.616467582185589,baseline
75%,115.37477160424302,4.520474471306676,5.401307147660769,baseline
max,117.08772119151709,5.3412064276244555,6.1365504069162835,baseline
mean,114.02162403253075,4.09484756852637,4.50515243147363,Tplus10per
std,1.6917725884869057,0.805463968027773,0.805463968027773,Tplus10per
25%,112.78137176568853,3.4052259362635007,3.8376182551685356,Tplus10per
50%,114.39014814578641,4.212121106238757,4.3878788937612425,Tplus10per
75%,115.37477160424302,4.762381744831464,5.194774063736499,Tplus10per
max,117.08772119151709,5.606546661902408,5.960312863351672,Tplus10per
mean,114.02162403253075,3.6335553837197643,4.966444616280235,Tmin10per
std,1.6917725884869057,0.7569790950598347,0.7569790950598347,Tmin10per
25%,112.78137176568853,2.980605850378809,4.337633907072375,Tmin10per
50%,114.39014814578641,3.7405046196882883,4.859495380311712,Tmin10per
75%,115.37477160424302,4.262366092927625,5.61939414962119,Tmin10per
max,117.08772119151709,5.057009833785322,6.321274959267778,Tmin10per
