statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,0.0,0.18130659179105652,-0.18130659179105652,Tplus10per
std,0.0,0.04441499764824558,0.0444149976482456,Tplus10per
25%,0.0,0.138319456645575,-0.21798959031456389,Tplus10per
50%,0.0,0.18810739398801823,-0.18810739398801823,Tplus10per
75%,0.0,0.217989590314564,-0.138319456645575,Tplus10per
max,0.0,0.26283756313718154,-0.09458124870512208,Tplus10per
mean,0.0,-0.19290949154075163,0.19290949154075165,Tmin10per
std,0.0,0.04835393874851431,0.04835393874851431,Tmin10per
25%,0.0,-0.23306176558812552,0.14609981992825594,Tmin10per
50%,0.0,-0.20020477738334952,0.20020477738334908,Tmin10per
75%,0.0,-0.14609981992825638,0.2330617655881253,Tmin10per
max,0.0,-0.09890898048240837,0.2814189682719421,Tmin10per
