member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
9,baseline,1.0,116.58748064579125,5.230336565031475,lpr:total_combined:bdpl,3.3696634349685244
20,baseline,1.0,116.41038741132715,5.05980332527568,lpr:total_combined:bdpl,3.54019667472432
16,baseline,1.0,116.55438848052034,5.149598072181903,lpr:total_combined:bdpl,3.4504019278180964
gen=47_member=1212_pso,baseline,1.0,115.62567753667219,4.882766224536158,lpr:total_combined:bdpl,3.717233775463842
gen=34_member=878_pso,baseline,1.0,111.57095387394364,3.375864947518466,lpr:total_combined:bdpl,5.224135052481534
19,baseline,1.0,116.58993908206176,5.171482196254394,lpr:total_combined:bdpl,3.4285178037456054
gen=43_member=1111_pso,baseline,1.0,111.38008816038939,3.1912471052111075,lpr:total_combined:bdpl,5.408752894788892
gen=46_member=1180_pso,baseline,1.0,110.83937720040423,3.05843783607964,lpr:total_combined:bdpl,5.54156216392036
gen=40_member=1016_pso,baseline,1.0,111.28430135441606,3.2510457333681733,lpr:total_combined:bdpl,5.348954266631827
gen=18_member=450_pso,baseline,1.0,115.43411549682344,4.89553831684015,lpr:total_combined:bdpl,3.70446168315985
gen=25_member=642_pso,baseline,1.0,112.18123759127589,3.480061389869913,lpr:total_combined:bdpl,5.119938610130086
gen=12_member=305_pso,baseline,1.0,113.12854315010297,3.810982109709307,lpr:total_combined:bdpl,4.789017890290692
gen=45_member=1163_pso,baseline,1.0,113.59659819296716,4.261713542930481,lpr:total_combined:bdpl,4.338286457069518
gen=11_member=285_pso,baseline,1.0,116.09417970308344,5.0417342168346675,lpr:total_combined:bdpl,3.558265783165332
gen=16_member=394_pso,baseline,1.0,113.54871680658208,3.962348604970083,lpr:total_combined:bdpl,4.637651395029916
gen=27_member=697_pso,baseline,1.0,113.05298219632672,3.956942579566111,lpr:total_combined:bdpl,4.643057420433889
