total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,member,scenario
0.0,0.25941025311403454,-0.25941025311403454,16,Tplus10per
0.0,0.250980471684878,-0.250980471684878,17,Tplus10per
0.0,0.2589891397566575,-0.2589891397566575,19,Tplus10per
0.0,0.2564642339955281,-0.2564642339955281,20,Tplus10per
0.0,0.2538961571161602,-0.2538961571161602,22,Tplus10per
0.0,0.2510075623710346,-0.2510075623710346,23,Tplus10per
0.0,0.260343770588098,-0.260343770588098,9,Tplus10per
0.0,0.2063817191152073,-0.20638171911520775,gen=10_member=249_pso,Tplus10per
0.0,0.2092897929873998,-0.20928979298740025,gen=10_member=255_pso,Tplus10per
0.0,0.23645319652693164,-0.23645319652693164,gen=11_member=276_pso,Tplus10per
0.0,0.2537583579198106,-0.2537583579198106,gen=11_member=285_pso,Tplus10per
0.0,0.24655671093466403,-0.24655671093466403,gen=12_member=290_pso,Tplus10per
0.0,0.2386409837172483,-0.2386409837172483,gen=12_member=294_pso,Tplus10per
0.0,0.2129319590228227,-0.21293195902282225,gen=12_member=305_pso,Tplus10per
0.0,0.2132271526658145,-0.21322715266581405,gen=13_member=329_pso,Tplus10per
0.0,0.23904193838508814,-0.23904193838508814,gen=14_member=362_pso,Tplus10per
0.0,0.22924553995642238,-0.22924553995642238,gen=15_member=371_pso,Tplus10per
0.0,0.21887555717829033,-0.21887555717828988,gen=16_member=394_pso,Tplus10per
0.0,0.22521120493182067,-0.22521120493182067,gen=16_member=395_pso,Tplus10per
0.0,0.22358630038597216,-0.22358630038597216,gen=16_member=399_pso,Tplus10per
0.0,0.23897626696415752,-0.23897626696415752,gen=16_member=402_pso,Tplus10per
0.0,0.2030967776852033,-0.20309677768520373,gen=16_member=406_pso,Tplus10per
0.0,0.23094956287513835,-0.23094956287513835,gen=17_member=421_pso,Tplus10per
0.0,0.22925482290617083,-0.22925482290617083,gen=17_member=428_pso,Tplus10per
0.0,0.2399353686786414,-0.2399353686786414,gen=17_member=437_pso,Tplus10per
0.0,0.2462918853815852,-0.2462918853815852,gen=18_member=450_pso,Tplus10per
0.0,0.22719585903146022,-0.22719585903146022,gen=18_member=454_pso,Tplus10per
0.0,0.21808592472147348,-0.21808592472147392,gen=18_member=457_pso,Tplus10per
0.0,0.19706408463168357,-0.19706408463168312,gen=18_member=461_pso,Tplus10per
0.0,0.22937657087442886,-0.22937657087442886,gen=18_member=462_pso,Tplus10per
0.0,0.20738616598288573,-0.20738616598288573,gen=19_member=487_pso,Tplus10per
0.0,0.2513958880781191,-0.2513958880781191,gen=1_member=11_pso,Tplus10per
0.0,0.2515737567289156,-0.2515737567289156,gen=1_member=15_pso,Tplus10per
0.0,0.25124172859882243,-0.25124172859882243,gen=20_member=499_pso,Tplus10per
0.0,0.2479421443686025,-0.2479421443686025,gen=20_member=515_pso,Tplus10per
0.0,0.25085392129198425,-0.25085392129198425,gen=20_member=519_pso,Tplus10per
0.0,0.23450018679104634,-0.23450018679104634,gen=21_member=525_pso,Tplus10per
0.0,0.21341904127329858,-0.21341904127329858,gen=21_member=541_pso,Tplus10per
0.0,0.19101689637652886,-0.19101689637652886,gen=22_member=547_pso,Tplus10per
0.0,0.21158732176016182,-0.21158732176016137,gen=23_member=579_pso,Tplus10per
0.0,0.1998596501046359,-0.1998596501046359,gen=24_member=601_pso,Tplus10per
0.0,0.1863558821772413,-0.1863558821772413,gen=24_member=613_pso,Tplus10per
0.0,0.2332464200223523,-0.2332464200223523,gen=25_member=632_pso,Tplus10per
0.0,0.24207730849493458,-0.24207730849493458,gen=25_member=635_pso,Tplus10per
0.0,0.20172808808939147,-0.20172808808939102,gen=25_member=642_pso,Tplus10per
0.0,0.21342763887551142,-0.21342763887551186,gen=25_member=649_pso,Tplus10per
0.0,0.24217822199586791,-0.24217822199586791,gen=26_member=672_pso,Tplus10per
0.0,0.18715778540518935,-0.1871577854051898,gen=27_member=677_pso,Tplus10per
0.0,0.23453352922804882,-0.23453352922804882,gen=27_member=685_pso,Tplus10per
0.0,0.21463492879489943,-0.21463492879489987,gen=27_member=697_pso,Tplus10per
0.0,0.19319500180008253,-0.1931950018000821,gen=28_member=714_pso,Tplus10per
0.0,0.23087906650410606,-0.23087906650410606,gen=28_member=719_pso,Tplus10per
0.0,0.20969637677905428,-0.20969637677905428,gen=28_member=726_pso,Tplus10per
0.0,0.23435763656876407,-0.23435763656876407,gen=29_member=745_pso,Tplus10per
0.0,0.20925383540502018,-0.20925383540502018,gen=30_member=755_pso,Tplus10per
0.0,0.2299312426394291,-0.2299312426394291,gen=30_member=757_pso,Tplus10per
0.0,0.23037355376738589,-0.23037355376738589,gen=30_member=762_pso,Tplus10per
0.0,0.2534771386427819,-0.2534771386427819,gen=30_member=768_pso,Tplus10per
0.0,0.1965721068746169,-0.19657210687461735,gen=31_member=788_pso,Tplus10per
0.0,0.20006605477385353,-0.20006605477385353,gen=31_member=797_pso,Tplus10per
0.0,0.217909759775206,-0.217909759775206,gen=32_member=821_pso,Tplus10per
0.0,0.23045261049888577,-0.23045261049888577,gen=32_member=828_pso,Tplus10per
0.0,0.2323468658693324,-0.2323468658693324,gen=33_member=832_pso,Tplus10per
0.0,0.2109195964184356,-0.21091959641843605,gen=33_member=834_pso,Tplus10per
0.0,0.23565499686532654,-0.23565499686532654,gen=33_member=841_pso,Tplus10per
0.0,0.22108411866924094,-0.22108411866924094,gen=33_member=853_pso,Tplus10per
0.0,0.23512886619197637,-0.23512886619197637,gen=33_member=856_pso,Tplus10per
0.0,0.189506999072258,-0.18950699907225843,gen=34_member=859_pso,Tplus10per
0.0,0.19747966049832355,-0.1974796604983231,gen=34_member=860_pso,Tplus10per
0.0,0.19458613832588378,-0.19458613832588423,gen=34_member=878_pso,Tplus10per
0.0,0.22864608681619814,-0.22864608681619814,gen=34_member=881_pso,Tplus10per
0.0,0.2072882543380863,-0.20728825433808584,gen=34_member=883_pso,Tplus10per
0.0,0.24250783721140312,-0.24250783721140312,gen=35_member=901_pso,Tplus10per
0.0,0.22343154801913112,-0.22343154801913112,gen=35_member=906_pso,Tplus10per
0.0,0.23267370498090578,-0.23267370498090578,gen=36_member=929_pso,Tplus10per
0.0,0.21531827139662596,-0.21531827139662596,gen=37_member=939_pso,Tplus10per
0.0,0.24900897808435118,-0.24900897808435118,gen=37_member=953_pso,Tplus10per
0.0,0.24662895523112205,-0.24662895523112205,gen=38_member=967_pso,Tplus10per
0.0,0.22385821403448958,-0.22385821403448958,gen=38_member=972_pso,Tplus10per
0.0,0.1808225310458349,-0.1808225310458349,gen=38_member=974_pso,Tplus10per
0.0,0.24476610324181092,-0.24476610324181092,gen=38_member=978_pso,Tplus10per
