statistic,total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,scenario
mean,113.83046092788109,4.220724855228141,4.379275144771858,baseline
std,1.569244181639429,0.6113158025021014,0.6113158025021014,baseline
25%,112.6363243882181,3.7441629017600766,3.9261889459201944,baseline
50%,114.02513033786914,4.37145261459741,4.22854738540259,baseline
75%,115.02867850365188,4.673811054079805,4.855837098239923,baseline
max,116.58993908206176,5.230336565031475,5.729677036954125,baseline
mean,113.83046092788109,4.445165249186954,4.154834750813045,Tplus10per
std,1.569244181639429,0.6319137856039502,0.6319137856039502,Tplus10per
25%,112.6363243882181,3.9515490677429623,3.6871470075351063,Tplus10per
50%,114.02513033786914,4.601826168364796,3.998173831635204,Tplus10per
75%,115.02867850365188,4.912852992464893,4.648450932257037,Tplus10per
max,116.58993908206176,5.490680335619573,5.551003184320095,Tplus10per
mean,113.83046092788109,3.9808469958516084,4.619153004148391,Tmin10per
std,1.569244181639429,0.5887488513289294,0.5887488513289295,Tmin10per
25%,112.6363243882181,3.5228772698913104,4.1820915653452575,Tmin10per
50%,114.02513033786914,4.12508513624404,4.474914863755959,Tmin10per
75%,115.02867850365188,4.417908434654742,5.077122730108689,Tmin10per
max,116.58993908206176,4.951368243683144,5.919282606292158,Tmin10per
