parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,wellname
well_1013__q,fixed,relative,125.1,0.0,125.1,pumping,1.0,0.0,1,well_1013
well_1302__q,fixed,relative,88.2,0.0,88.2,pumping,1.0,0.0,1,well_1302
well_1323__q,fixed,relative,76.2,0.0,76.2,pumping,1.0,0.0,1,well_1323
well_1486__q,fixed,relative,222.8,0.0,222.8,pumping,1.0,0.0,1,well_1486
well_1584__q,fixed,relative,150.5,0.0,150.5,pumping,1.0,0.0,1,well_1584
well_1589__q,fixed,relative,264.1,0.0,264.1,pumping,1.0,0.0,1,well_1589
well_1643__q,fixed,relative,114.5,0.0,114.5,pumping,1.0,0.0,1,well_1643
well_1683__q,fixed,relative,260.6,0.0,260.6,pumping,1.0,0.0,1,well_1683
well_1860__q,fixed,relative,195.7,0.0,195.7,pumping,1.0,0.0,1,well_1860
well_23610__q,fixed,relative,201.7,0.0,201.7,pumping,1.0,0.0,1,well_23610
well_23611__q,fixed,relative,378.8,0.0,378.8,pumping,1.0,0.0,1,well_23611
well_23618__q,fixed,relative,253.9,0.0,253.9,pumping,1.0,0.0,1,well_23618
well_23620__q,fixed,relative,349.7,0.0,349.7,pumping,1.0,0.0,1,well_23620
well_23627__q,none,relative,276.5,0.0,276.5,decvars,1.0,0.0,1,well_23627
well_23629__q,fixed,relative,146.2,0.0,146.2,pumping,1.0,0.0,1,well_23629
well_23630__q,fixed,relative,255.5,0.0,255.5,pumping,1.0,0.0,1,well_23630
well_23631__q,fixed,relative,101.0,0.0,101.0,pumping,1.0,0.0,1,well_23631
well_23635__q,fixed,relative,282.8,0.0,282.8,pumping,1.0,0.0,1,well_23635
well_23637__q,fixed,relative,291.4,0.0,291.4,pumping,1.0,0.0,1,well_23637
well_23638__q,fixed,relative,409.8,0.0,409.8,pumping,1.0,0.0,1,well_23638
well_23639__q,fixed,relative,213.2,0.0,213.2,pumping,1.0,0.0,1,well_23639
well_23645__q,none,relative,158.8,0.0,158.8,decvars,1.0,0.0,1,well_23645
well_23646__q,fixed,relative,319.4,0.0,319.4,pumping,1.0,0.0,1,well_23646
well_23648__q,fixed,relative,137.8,0.0,137.8,pumping,1.0,0.0,1,well_23648
well_23653__q,none,relative,263.6,0.0,263.6,decvars,1.0,0.0,1,well_23653
well_23695__q,fixed,relative,141.4,0.0,141.4,pumping,1.0,0.0,1,well_23695
well_23697__q,fixed,relative,152.0,0.0,152.0,pumping,1.0,0.0,1,well_23697
well_23698__q,fixed,relative,369.4,0.0,369.4,pumping,1.0,0.0,1,well_23698
well_23699__q,fixed,relative,220.8,0.0,220.8,pumping,1.0,0.0,1,well_23699
well_23700__q,fixed,relative,121.7,0.0,121.7,pumping,1.0,0.0,1,well_23700
well_23709__q,fixed,relative,259.0,0.0,259.0,pumping,1.0,0.0,1,well_23709
well_23710__q,fixed,relative,105.6,0.0,105.6,pumping,1.0,0.0,1,well_23710
well_23715__q,fixed,relative,411.3,0.0,411.3,pumping,1.0,0.0,1,well_23715
well_23716__q,fixed,relative,256.1,0.0,256.1,pumping,1.0,0.0,1,well_23716
well_23720__q,fixed,relative,160.7,0.0,160.7,pumping,1.0,0.0,1,well_23720
well_23721__q,fixed,relative,236.8,0.0,236.8,pumping,1.0,0.0,1,well_23721
well_23722__q,fixed,relative,163.5,0.0,163.5,pumping,1.0,0.0,1,well_23722
well_23723__q,fixed,relative,236.5,0.0,236.5,pumping,1.0,0.0,1,well_23723
well_23726__q,fixed,relative,195.7,0.0,195.7,pumping,1.0,0.0,1,well_23726
well_23727__q,fixed,relative,86.0,0.0,86.0,pumping,1.0,0.0,1,well_23727
well_23728__q,fixed,relative,250.1,0.0,250.1,pumping,1.0,0.0,1,well_23728
well_23729__q,fixed,relative,244.6,0.0,244.6,pumping,1.0,0.0,1,well_23729
well_23751__q,fixed,relative,214.1,0.0,214.1,pumping,1.0,0.0,1,well_23751
well_23752__q,fixed,relative,296.0,0.0,296.0,pumping,1.0,0.0,1,well_23752
well_23753__q,fixed,relative,308.2,0.0,308.2,pumping,1.0,0.0,1,well_23753
well_23754__q,fixed,relative,325.0,0.0,325.0,pumping,1.0,0.0,1,well_23754
well_23755__q,none,relative,794.6,0.0,794.6,decvars,1.0,0.0,1,well_23755
well_23756__q,fixed,relative,324.2,0.0,324.2,pumping,1.0,0.0,1,well_23756
well_23757__q,fixed,relative,101.5,0.0,101.5,pumping,1.0,0.0,1,well_23757
well_23758__q,fixed,relative,148.4,0.0,148.4,pumping,1.0,0.0,1,well_23758
well_23770__q,none,relative,239.9,0.0,239.9,decvars,1.0,0.0,1,well_23770
well_23776__q,fixed,relative,78.4,0.0,78.4,pumping,1.0,0.0,1,well_23776
well_23778__q,fixed,relative,163.6,0.0,163.6,pumping,1.0,0.0,1,well_23778
well_23781__q,fixed,relative,450.6,0.0,450.6,pumping,1.0,0.0,1,well_23781
well_23790__q,fixed,relative,275.8,0.0,275.8,pumping,1.0,0.0,1,well_23790
well_23791__q,fixed,relative,204.9,0.0,204.9,pumping,1.0,0.0,1,well_23791
well_23794__q,fixed,relative,217.3,0.0,217.3,pumping,1.0,0.0,1,well_23794
well_23795__q,fixed,relative,110.6,0.0,110.6,pumping,1.0,0.0,1,well_23795
well_23798__q,fixed,relative,169.3,0.0,169.3,pumping,1.0,0.0,1,well_23798
well_23800__q,fixed,relative,364.0,0.0,364.0,pumping,1.0,0.0,1,well_23800
well_23807__q,fixed,relative,128.5,0.0,128.5,pumping,1.0,0.0,1,well_23807
well_23816__q,none,relative,149.4,0.0,149.4,decvars,1.0,0.0,1,well_23816
well_23818__q,fixed,relative,282.6,0.0,282.6,pumping,1.0,0.0,1,well_23818
well_23820__q,fixed,relative,86.9,0.0,86.9,pumping,1.0,0.0,1,well_23820
well_23823__q,fixed,relative,25.8,0.0,25.8,pumping,1.0,0.0,1,well_23823
well_23836__q,fixed,relative,568.6,0.0,568.6,pumping,1.0,0.0,1,well_23836
well_23837__q,fixed,relative,241.7,0.0,241.7,pumping,1.0,0.0,1,well_23837
well_23846__q,fixed,relative,291.7,0.0,291.7,pumping,1.0,0.0,1,well_23846
well_23847__q,fixed,relative,187.0,0.0,187.0,pumping,1.0,0.0,1,well_23847
well_23848__q,fixed,relative,289.7,0.0,289.7,pumping,1.0,0.0,1,well_23848
well_23851__q,fixed,relative,248.4,0.0,248.4,pumping,1.0,0.0,1,well_23851
well_23864__q,fixed,relative,1133.7,0.0,1133.7,pumping,1.0,0.0,1,well_23864
well_23865__q,fixed,relative,267.0,0.0,267.0,pumping,1.0,0.0,1,well_23865
