child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_PSO,68,,
GEN=1_MEMBER=1_PSO,152,,
GEN=1_MEMBER=2_PSO,130,,
GEN=1_MEMBER=3_PSO,16,,
GEN=1_MEMBER=4_PSO,95,,
GEN=1_MEMBER=5_PSO,156,,
GEN=1_MEMBER=6_PSO,10,,
GEN=1_MEMBER=7_PSO,121,,
GEN=1_MEMBER=8_PSO,116,,
GEN=1_MEMBER=9_PSO,53,,
GEN=1_MEMBER=10_PSO,131,,
GEN=1_MEMBER=11_PSO,66,,
GEN=1_MEMBER=12_PSO,46,,
GEN=1_MEMBER=13_PSO,44,,
GEN=1_MEMBER=14_PSO,123,,
GEN=1_MEMBER=15_PSO,32,,
GEN=1_MEMBER=16_PSO,9,,
GEN=1_MEMBER=17_PSO,89,,
GEN=1_MEMBER=18_PSO,29,,
GEN=1_MEMBER=19_PSO,139,,
GEN=1_MEMBER=20_PSO,159,,
GEN=1_MEMBER=21_PSO,142,,
GEN=1_MEMBER=22_PSO,5,,
GEN=1_MEMBER=23_PSO,27,,
GEN=1_MEMBER=24_PSO,117,,
GEN=1_MEMBER=25_PSO,56,,
GEN=1_MEMBER=26_PSO,42,,
GEN=1_MEMBER=27_PSO,71,,
GEN=1_MEMBER=28_PSO,35,,
GEN=1_MEMBER=29_PSO,49,,
GEN=1_MEMBER=30_PSO,72,,
GEN=1_MEMBER=31_PSO,124,,
GEN=1_MEMBER=32_PSO,118,,
GEN=1_MEMBER=33_PSO,62,,
GEN=1_MEMBER=34_PSO,21,,
GEN=1_MEMBER=35_PSO,91,,
GEN=1_MEMBER=36_PSO,73,,
GEN=1_MEMBER=37_PSO,15,,
GEN=1_MEMBER=38_PSO,140,,
GEN=1_MEMBER=39_PSO,100,,
GEN=1_MEMBER=40_PSO,106,,
GEN=1_MEMBER=41_PSO,134,,
GEN=1_MEMBER=42_PSO,102,,
GEN=1_MEMBER=43_PSO,109,,
GEN=1_MEMBER=44_PSO,150,,
GEN=1_MEMBER=45_PSO,31,,
GEN=1_MEMBER=46_PSO,93,,
GEN=1_MEMBER=47_PSO,162,,
GEN=1_MEMBER=48_PSO,85,,
GEN=1_MEMBER=49_PSO,20,,
GEN=1_MEMBER=50_PSO,48,,
GEN=1_MEMBER=51_PSO,126,,
GEN=1_MEMBER=52_PSO,122,,
GEN=1_MEMBER=53_PSO,148,,
GEN=1_MEMBER=54_PSO,22,,
GEN=1_MEMBER=55_PSO,37,,
GEN=1_MEMBER=56_PSO,154,,
GEN=1_MEMBER=57_PSO,67,,
GEN=1_MEMBER=58_PSO,75,,
GEN=1_MEMBER=59_PSO,63,,
GEN=1_MEMBER=60_PSO,6,,
GEN=1_MEMBER=61_PSO,98,,
GEN=1_MEMBER=62_PSO,136,,
GEN=1_MEMBER=63_PSO,26,,
GEN=1_MEMBER=64_PSO,51,,
GEN=1_MEMBER=65_PSO,18,,
GEN=1_MEMBER=66_PSO,14,,
GEN=1_MEMBER=67_PSO,167,,
GEN=1_MEMBER=68_PSO,3,,
GEN=1_MEMBER=69_PSO,166,,
GEN=1_MEMBER=70_PSO,30,,
GEN=1_MEMBER=71_PSO,147,,
GEN=1_MEMBER=72_PSO,50,,
GEN=1_MEMBER=73_PSO,43,,
GEN=1_MEMBER=74_PSO,36,,
GEN=1_MEMBER=75_PSO,0,,
GEN=1_MEMBER=76_PSO,151,,
GEN=1_MEMBER=77_PSO,103,,
GEN=1_MEMBER=78_PSO,19,,
GEN=1_MEMBER=79_PSO,169,,
GEN=1_MEMBER=80_PSO,58,,
GEN=1_MEMBER=81_PSO,158,,
GEN=1_MEMBER=82_PSO,149,,
GEN=1_MEMBER=83_PSO,70,,
GEN=1_MEMBER=84_PSO,107,,
GEN=1_MEMBER=85_PSO,101,,
GEN=1_MEMBER=86_PSO,144,,
GEN=1_MEMBER=87_PSO,90,,
GEN=1_MEMBER=88_PSO,25,,
GEN=1_MEMBER=89_PSO,82,,
GEN=1_MEMBER=90_PSO,137,,
GEN=1_MEMBER=91_PSO,57,,
GEN=1_MEMBER=92_PSO,4,,
GEN=1_MEMBER=93_PSO,115,,
GEN=1_MEMBER=94_PSO,1,,
GEN=1_MEMBER=95_PSO,125,,
GEN=1_MEMBER=96_PSO,60,,
GEN=1_MEMBER=97_PSO,80,,
GEN=1_MEMBER=98_PSO,55,,
GEN=1_MEMBER=99_PSO,113,,
GEN=1_MEMBER=100_PSO,129,,
GEN=1_MEMBER=101_PSO,23,,
GEN=1_MEMBER=102_PSO,84,,
GEN=1_MEMBER=103_PSO,163,,
GEN=1_MEMBER=104_PSO,135,,
GEN=1_MEMBER=105_PSO,94,,
GEN=1_MEMBER=106_PSO,59,,
GEN=1_MEMBER=107_PSO,34,,
GEN=1_MEMBER=108_PSO,157,,
GEN=1_MEMBER=109_PSO,65,,
GEN=1_MEMBER=110_PSO,141,,
GEN=1_MEMBER=111_PSO,76,,
GEN=1_MEMBER=112_PSO,40,,
GEN=1_MEMBER=113_PSO,74,,
GEN=1_MEMBER=114_PSO,11,,
GEN=1_MEMBER=115_PSO,88,,
GEN=1_MEMBER=116_PSO,170,,
GEN=1_MEMBER=117_PSO,79,,
GEN=1_MEMBER=118_PSO,38,,
GEN=1_MEMBER=119_PSO,133,,
GEN=1_MEMBER=120_PSO,41,,
GEN=1_MEMBER=121_PSO,61,,
GEN=1_MEMBER=122_PSO,110,,
GEN=1_MEMBER=123_PSO,111,,
GEN=1_MEMBER=124_PSO,87,,
GEN=1_MEMBER=125_PSO,17,,
GEN=1_MEMBER=126_PSO,81,,
GEN=1_MEMBER=127_PSO,39,,
GEN=1_MEMBER=128_PSO,120,,
GEN=1_MEMBER=129_PSO,2,,
GEN=1_MEMBER=130_PSO,78,,
GEN=1_MEMBER=131_PSO,24,,
GEN=1_MEMBER=132_PSO,105,,
GEN=1_MEMBER=133_PSO,69,,
GEN=1_MEMBER=134_PSO,83,,
GEN=1_MEMBER=135_PSO,92,,
GEN=1_MEMBER=136_PSO,64,,
GEN=1_MEMBER=137_PSO,97,,
GEN=1_MEMBER=138_PSO,171,,
GEN=1_MEMBER=139_PSO,12,,
GEN=1_MEMBER=140_PSO,86,,
GEN=1_MEMBER=141_PSO,164,,
GEN=1_MEMBER=142_PSO,128,,
GEN=1_MEMBER=143_PSO,155,,
GEN=1_MEMBER=144_PSO,132,,
GEN=1_MEMBER=145_PSO,54,,
GEN=1_MEMBER=146_PSO,153,,
GEN=1_MEMBER=147_PSO,33,,
GEN=1_MEMBER=148_PSO,8,,
GEN=1_MEMBER=149_PSO,119,,
GEN=1_MEMBER=150_PSO,168,,
GEN=1_MEMBER=151_PSO,160,,
GEN=1_MEMBER=152_PSO,146,,
GEN=1_MEMBER=153_PSO,47,,
GEN=1_MEMBER=154_PSO,114,,
GEN=1_MEMBER=155_PSO,77,,
GEN=1_MEMBER=156_PSO,45,,
GEN=1_MEMBER=157_PSO,165,,
GEN=1_MEMBER=158_PSO,13,,
GEN=1_MEMBER=159_PSO,99,,
GEN=1_MEMBER=160_PSO,143,,
GEN=1_MEMBER=161_PSO,108,,
GEN=1_MEMBER=162_PSO,104,,
GEN=1_MEMBER=163_PSO,138,,
GEN=1_MEMBER=164_PSO,96,,
GEN=1_MEMBER=165_PSO,52,,
GEN=1_MEMBER=166_PSO,145,,
GEN=1_MEMBER=167_PSO,127,,
GEN=1_MEMBER=168_PSO,112,,
GEN=1_MEMBER=169_PSO,28,,
GEN=1_MEMBER=170_PSO,161,,
GEN=1_MEMBER=171_PSO,7,,
GEN=2_MEMBER=172_PSO,GEN=1_MEMBER=56_PSO,,
GEN=2_MEMBER=173_PSO,152,,
GEN=2_MEMBER=174_PSO,130,,
GEN=2_MEMBER=175_PSO,16,,
GEN=2_MEMBER=176_PSO,GEN=1_MEMBER=99_PSO,,
GEN=2_MEMBER=177_PSO,GEN=1_MEMBER=85_PSO,,
GEN=2_MEMBER=178_PSO,68,,
GEN=2_MEMBER=179_PSO,GEN=1_MEMBER=44_PSO,,
GEN=2_MEMBER=180_PSO,GEN=1_MEMBER=117_PSO,,
GEN=2_MEMBER=181_PSO,GEN=1_MEMBER=170_PSO,,
GEN=2_MEMBER=182_PSO,GEN=1_MEMBER=69_PSO,,
GEN=2_MEMBER=183_PSO,GEN=1_MEMBER=171_PSO,,
GEN=2_MEMBER=184_PSO,95,,
GEN=2_MEMBER=185_PSO,GEN=1_MEMBER=124_PSO,,
GEN=2_MEMBER=186_PSO,GEN=1_MEMBER=126_PSO,,
GEN=2_MEMBER=187_PSO,156,,
GEN=2_MEMBER=188_PSO,GEN=1_MEMBER=128_PSO,,
GEN=2_MEMBER=189_PSO,10,,
GEN=2_MEMBER=190_PSO,121,,
GEN=2_MEMBER=191_PSO,116,,
GEN=2_MEMBER=192_PSO,131,,
GEN=2_MEMBER=193_PSO,GEN=1_MEMBER=13_PSO,,
GEN=2_MEMBER=194_PSO,GEN=1_MEMBER=8_PSO,,
GEN=2_MEMBER=195_PSO,GEN=1_MEMBER=52_PSO,,
GEN=2_MEMBER=196_PSO,GEN=1_MEMBER=115_PSO,,
GEN=2_MEMBER=197_PSO,66,,
GEN=2_MEMBER=198_PSO,GEN=1_MEMBER=28_PSO,,
GEN=2_MEMBER=199_PSO,GEN=1_MEMBER=61_PSO,,
GEN=2_MEMBER=200_PSO,GEN=1_MEMBER=2_PSO,,
GEN=2_MEMBER=201_PSO,GEN=1_MEMBER=62_PSO,,
GEN=2_MEMBER=202_PSO,46,,
GEN=2_MEMBER=203_PSO,44,,
