real_name,obj_well
152,17542.837279493985989
gen=19_member=3202_pso,7828.2319736445106173
16,17265.4976240203614
130,17325.020546659376123
gen=19_member=3137_pso,16542.085162227289402
gen=17_member=2821_pso,14850.315953260473179
gen=20_member=3436_pso,16471.667698892480985
gen=19_member=3192_pso,14035.860862443316364
gen=20_member=3385_pso,12277.591600847088557
gen=20_member=3434_pso,16159.735831843112464
gen=18_member=3036_pso,14127.644887976830432
gen=19_member=3140_pso,15348.179922292272749
gen=15_member=2442_pso,16178.740212199192683
gen=19_member=3156_pso,16068.732731216343382
gen=12_member=2037_pso,16604.756937212194316
156,16882.312566035940108
gen=19_member=3108_pso,15823.302909365054802
gen=14_member=2388_pso,12283.487553368837325
gen=20_member=3273_pso,16087.238335147501857
gen=18_member=2985_pso,14853.809443342954182
gen=20_member=3413_pso,14791.118544643399218
gen=15_member=2418_pso,12119.023031445738525
gen=20_member=3382_pso,13023.751565683849549
95,17459.9108550814708
gen=19_member=3114_pso,15822.88568451318497
gen=20_member=3414_pso,16328.133801983540252
gen=17_member=2822_pso,13601.615806896808863
gen=20_member=3402_pso,15442.275413823082999
gen=20_member=3280_pso,16447.335687386435893
gen=20_member=3432_pso,16001.146893800381804
gen=20_member=3355_pso,15995.480903329173088
gen=20_member=3367_pso,16327.456629368687572
gen=16_member=2601_pso,15684.3020875778966
gen=19_member=3221_pso,15742.175892582912638
gen=19_member=3159_pso,15613.55838882405078
gen=20_member=3380_pso,10941.934877581978071
gen=16_member=2705_pso,13046.634220177435054
gen=16_member=2641_pso,11978.117736287424123
gen=18_member=2961_pso,15358.552714750574523
gen=20_member=3321_pso,13821.508232325972131
gen=19_member=3133_pso,16256.817967768440212
gen=18_member=3072_pso,16676.349581361693708
gen=18_member=3041_pso,15311.349099757651857
gen=15_member=2472_pso,14325.250066794054874
gen=20_member=3422_pso,16280.732284433928726
gen=18_member=2928_pso,15174.426088332600557
gen=19_member=3132_pso,14550.733455421153849
gen=20_member=3305_pso,12688.073790040050881
gen=15_member=2554_pso,8202.1130578420707025
gen=18_member=2946_pso,15168.854551024636748
gen=14_member=2339_pso,8846.7028254517117603
gen=19_member=3208_pso,14611.625348267825757
gen=16_member=2594_pso,15046.036056606073544
gen=20_member=3314_pso,13294.238975184072842
gen=19_member=3179_pso,15519.815146955403179
gen=20_member=3393_pso,13176.234395783478249
gen=17_member=2858_pso,15628.436333744133663
gen=19_member=3219_pso,13661.173688455453885
gen=19_member=3115_pso,16336.217820636253236
gen=18_member=2963_pso,15176.533183163124704
gen=19_member=3154_pso,12921.739720848647266
gen=17_member=2835_pso,15456.353886365044673
gen=20_member=3418_pso,14994.860937245983223
gen=18_member=2999_pso,15841.572285829750399
gen=20_member=3358_pso,9868.3020293498848332
gen=13_member=2069_pso,11029.092852996094734
gen=17_member=2815_pso,8605.6415438964559144
gen=18_member=2929_pso,15545.83203257385685
gen=19_member=3097_pso,7942.6817206142650321
gen=17_member=2871_pso,10185.706550902294111
gen=18_member=3031_pso,12513.11353908453566
gen=19_member=3136_pso,10006.407595841321381
gen=15_member=2488_pso,10433.381229166412595
gen=17_member=2852_pso,16365.792012585165139
gen=16_member=2628_pso,12594.645784005200767
gen=20_member=3342_pso,13515.892224243269084
gen=20_member=3340_pso,14369.873584565535566
gen=19_member=3124_pso,15966.248544950185533
gen=20_member=3346_pso,8844.1948343732619833
gen=17_member=2811_pso,14291.057228999281506
gen=17_member=2789_pso,11446.9197723765501
gen=17_member=2810_pso,9708.6526773121695442
gen=20_member=3274_pso,15611.972708357578085
gen=20_member=3303_pso,11412.024512243149729
gen=19_member=3255_pso,14236.561109674148611
gen=20_member=3288_pso,11919.245479027938927
gen=16_member=2648_pso,14886.875131694565425
gen=20_member=3338_pso,13334.841047369896842
gen=16_member=2671_pso,8994.8933317076644016
gen=20_member=3401_pso,15403.924116818257971
gen=18_member=2962_pso,15913.533516854871777
gen=15_member=2490_pso,14209.703278693505126
gen=19_member=3117_pso,16625.604749142821674
gen=19_member=3155_pso,15186.229259134801396
gen=18_member=3022_pso,14936.754307369315939
gen=20_member=3344_pso,15746.422850909055342
gen=16_member=2674_pso,9518.5946137362298032
gen=19_member=3163_pso,14686.413950710402787
gen=19_member=3139_pso,15918.680599834133318
gen=17_member=2809_pso,13343.822433561090293
gen=19_member=3144_pso,13397.747015518756598
gen=17_member=2759_pso,14660.766134444900672
gen=15_member=2417_pso,15186.827662194775257
gen=19_member=3198_pso,10798.150422252077988
gen=20_member=3326_pso,14453.749053578207167
gen=17_member=2851_pso,14389.098586817604883
gen=14_member=2328_pso,11463.702219115235494
gen=18_member=2930_pso,15598.45368647945179
gen=17_member=2769_pso,14529.803964609498507
gen=19_member=3164_pso,14231.217774542154075
gen=20_member=3300_pso,11510.130287826659696
gen=17_member=2872_pso,12730.141987630657241
gen=19_member=3125_pso,15585.103307541661707
gen=20_member=3331_pso,16373.258299224055008
gen=20_member=3406_pso,12531.654365066357059
gen=20_member=3375_pso,15491.65174183914678
gen=19_member=3147_pso,9713.6230576465222839
gen=17_member=2886_pso,14917.177352601969687
gen=20_member=3361_pso,15892.606008743423445
gen=17_member=2824_pso,15376.189273953234078
gen=11_member=1739_pso,9235.1947624786243978
gen=14_member=2373_pso,14220.810612630762989
gen=18_member=3030_pso,14387.590049920543606
gen=15_member=2459_pso,11088.474785115955456
gen=15_member=2495_pso,15490.497224046528572
gen=20_member=3319_pso,10525.357872977689112
gen=13_member=2153_pso,9294.7266351472571841
