real_name,obj_well
gen=31_member=5160_pso,15087.773006982697552
gen=31_member=5161_pso,12225.175277781740078
gen=31_member=5162_pso,15001.934363226400819
gen=31_member=5163_pso,9864.1303653303875763
gen=31_member=5164_pso,10678.946165847324664
gen=31_member=5165_pso,16107.534722188695014
gen=31_member=5166_pso,12688.191811274809879
gen=31_member=5167_pso,16021.382025940391031
gen=31_member=5168_pso,14176.809203805723882
gen=31_member=5169_pso,14832.047943241193934
gen=31_member=5170_pso,15331.197757151776386
gen=31_member=5171_pso,13552.804360330614145
gen=31_member=5172_pso,15522.130089089690955
gen=31_member=5173_pso,15813.046332063895534
gen=31_member=5174_pso,16146.269873534889484
gen=31_member=5175_pso,13927.289369332269416
gen=31_member=5176_pso,9742.5606868842405675
gen=31_member=5177_pso,15531.191038422501151
gen=31_member=5178_pso,14258.941824025223468
gen=31_member=5179_pso,15867.087922483233342
gen=31_member=5180_pso,14219.32848655874659
gen=31_member=5181_pso,14470.904014038571404
gen=31_member=5182_pso,16072.786703255596876
gen=31_member=5183_pso,15066.998578702248778
gen=31_member=5184_pso,15667.818573117045162
gen=31_member=5185_pso,12553.715763065874853
gen=31_member=5186_pso,8086.1366614622829729
gen=31_member=5187_pso,15003.562132639364791
gen=31_member=5188_pso,13308.701160235643329
gen=31_member=5189_pso,11242.576394771904233
gen=31_member=5190_pso,14781.311364665152723
gen=31_member=5191_pso,14741.499324384882129
gen=31_member=5192_pso,15045.072835384520658
gen=31_member=5193_pso,9382.8083187980228104
gen=31_member=5194_pso,16330.626440767076929
gen=31_member=5195_pso,14641.721055320318555
gen=31_member=5196_pso,16675.958849814051064
gen=31_member=5197_pso,15360.808066515899554
gen=31_member=5198_pso,13734.457737183092831
gen=31_member=5199_pso,11746.052138334211122
gen=31_member=5200_pso,10073.340705937582243
gen=31_member=5201_pso,15804.456053440622782
gen=31_member=5202_pso,14340.956780594458905
gen=31_member=5203_pso,13376.641944087767115
gen=31_member=5204_pso,15503.420162592203269
gen=31_member=5205_pso,14927.0116995145072
gen=31_member=5206_pso,12904.321747134663383
gen=31_member=5207_pso,16484.962068217559136
gen=31_member=5208_pso,12655.063864428086163
gen=31_member=5209_pso,12978.593458670997279
gen=31_member=5210_pso,15470.661444425893933
