generation,member,lpr:total_combined:bdpl,obj_well,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,0,4.77657,17242.3,6,0.129243,1442.02,1442.02,1,-999
0,1,4.81783,17246.2,7,0.342017,1024.02,1024.02,1,-999
0,2,4.72482,17023,8,0.0294359,1984.06,1984.06,1,-999
0,3,4.69349,17099.3,5,0.153406,2607.02,2607.02,1,-999
0,4,4.67111,17014.8,6,0.0392361,2390.08,2390.08,1,-999
0,5,4.46822,16762.4,2,0.0366382,1385.02,1385.02,1,-999
0,6,4.49949,16395.9,6,1e+30,42.0066,42.0066,1,-999
0,7,4.82083,16715.1,19,-999,0.0185465,0.0185465,1,-999
0,8,4.85439,17018.4,12,1e+30,76.0674,76.0674,1,-999
0,9,4.47724,16826.3,2,0.0636845,1696.02,1696.02,1,-999
0,10,4.49146,16942.3,2,0.171237,2578.05,2578.05,1,-999
0,11,4.57925,16663.4,8,0.221313,801.016,801.016,1,-999
0,12,4.73835,16986.6,10,0.0489221,1567.04,1567.04,1,-999
0,13,4.7706,16983.9,13,0.852236,952.04,952.04,1,-999
0,14,4.66591,17022.3,5,0.176639,2522.06,2522.06,1,-999
0,15,4.49059,16403.7,4,1e+30,56.0069,56.0069,1,-999
0,16,4.48927,17265.5,1,0.627682,4103.02,4103.02,1,-999
0,17,4.66802,16663.2,9,0.320868,487.017,487.017,1,-999
0,18,4.61841,16891.6,5,0.170306,1827.02,1827.02,1,-999
0,19,4.72221,17093,6,0.0935898,2292.02,2292.02,1,-999
0,20,4.63033,17020.5,4,0.159127,2815.06,2815.06,1,-999
0,21,4.58311,16959.1,3,0.0574153,2365.04,2365.04,1,-999
0,22,4.5735,16925.9,4,0.0431058,2091.04,2091.04,1,-999
0,23,4.79128,17185.2,7,0.0801369,1154.03,1154.03,1,-999
0,24,4.6252,16541.4,10,1e+30,57.0153,57.0153,1,-999
0,25,4.59956,16784.6,6,0.0359237,1255.02,1255.02,1,-999
0,26,4.56337,16842.4,5,0.209195,1583.03,1583.03,1,-999
0,27,4.80759,17437.9,3,1e+30,1213.01,1213.01,1,-999
0,28,4.81845,16754.2,18,1e+30,116.024,116.024,1,-999
0,29,4.54836,17066.6,2,0.117624,3530.03,3530.03,1,-999
0,30,4.6323,17018.3,5,0.102426,2747.07,2747.07,1,-999
0,31,4.84535,17361.9,5,1e+30,468.013,468.013,1,-999
0,32,4.53971,16980.6,2,0.155944,2777.04,2777.04,1,-999
0,33,4.75495,16946.3,11,0.0359271,1075.05,1075.05,1,-999
0,34,4.56591,16667.8,7,0.0596034,823.016,823.016,1,-999
0,35,4.67388,17218.2,3,0.230728,3020.02,3020.02,1,-999
0,36,4.80293,17259.9,6,0.205749,1132.02,1132.02,1,-999
0,37,4.6887,17183.9,4,0.0496123,2849.03,2849.03,1,-999
0,38,4.65796,16881.4,8,0.0966217,1459.02,1459.02,1,-999
0,39,4.71567,16932.9,9,0.127595,1359.04,1359.04,1,-999
0,40,4.7249,17049.3,8,0.228263,2068.03,2068.03,1,-999
0,41,4.71547,17000.3,8,0.0596633,1855.05,1855.05,1,-999
0,42,4.58662,17037.1,3,0.262488,3112.04,3112.04,1,-999
0,43,4.50397,16604.8,6,0.0509517,686.019,686.019,1,-999
0,44,4.58263,17165.4,2,0.21417,3624.02,3624.02,1,-999
0,45,4.7256,16579.1,12,0.251703,219.024,219.024,1,-999
0,46,4.6265,17182.1,2,0.217453,3439.03,3439.03,1,-999
0,47,4.64358,16454.9,12,1e+30,0.00912942,0.00912942,1,-999
0,48,4.63044,17015.5,5,0.0401153,2747.08,2747.08,1,-999
0,49,4.49286,16816.3,3,0.217116,1684.02,1684.02,1,-999
0,50,4.93911,17262.8,7,1e+30,51.0195,51.0195,1,-999
0,51,4.49899,16729.2,5,1e+30,1191.02,1191.02,1,-999
0,52,4.78684,16878.2,16,1e+30,438.026,438.026,1,-999
0,53,4.42648,16335.6,2,1e+30,0.00470922,0.00470922,1,-999
0,54,4.74372,16855.7,11,0.109593,828.035,828.035,1,-999
0,55,4.65026,16929.6,7,0.122724,1591.04,1591.04,1,-999
0,56,4.74833,17314.9,3,0.337302,2234.02,2234.02,1,-999
0,57,4.70583,17079,6,0.0404919,2459.03,2459.03,1,-999
0,58,4.61575,16842.4,6,0.0844271,1418.03,1418.03,1,-999
0,59,4.58626,16667.9,7,0.0698385,777.016,777.016,1,-999
0,60,4.75827,17154.9,7,0.0819191,1686.03,1686.03,1,-999
0,61,4.58142,16629,9,1e+30,627.019,627.019,1,-999
0,62,4.80792,17380.4,4,0.199674,1195.01,1195.01,1,-999
0,63,4.93524,17352.3,6,1e+30,71.0127,71.0127,1,-999
0,64,4.67955,16735.2,10,0.201416,603.022,603.022,1,-999
0,65,4.83208,17166.9,8,1e+30,597.024,597.024,1,-999
0,66,4.66197,17223.5,2,0.26442,3159.02,3159.02,1,-999
0,67,4.55558,16841.2,4,0.0179928,1601.03,1601.03,1,-999
0,68,4.36164,16294.3,1,1e+30,0.00394258,0.00394258,1,-999
0,69,4.87479,17052.1,10,0.539153,0.034506,0.034506,1,-999
0,70,4.74661,17163.1,6,0.124754,2075.03,2075.03,1,-999
0,71,4.67214,17110.3,4,0.0471354,2814.02,2814.02,1,-999
0,72,4.54533,16940.7,3,0.222482,2442.05,2442.05,1,-999
0,73,4.88776,17396.9,4,1e+30,122.012,122.012,1,-999
0,74,4.6207,16691.6,8,0.229797,777.015,777.015,1,-999
0,75,4.4958,16547.3,4,0.0145924,278.017,278.017,1,-999
0,76,4.79797,17060.7,8,0.334415,962.029,962.029,1,-999
0,77,4.69573,16545.2,12,0.389066,0.0162447,0.0162447,1,-999
0,78,4.71877,16959.9,9,0.049744,1410.04,1410.04,1,-999
0,79,4.6529,16848.8,8,0.116275,1094.03,1094.03,1,-999
0,80,4.6809,17005,7,0.144244,2145.06,2145.06,1,-999
0,81,4.68305,16877.6,9,0.158612,1151.03,1151.03,1,-999
0,82,4.60185,16840.1,6,0.0371388,1418.03,1418.03,1,-999
0,83,4.75039,17039.1,10,0.481235,1623.04,1623.04,1,-999
0,84,4.62785,16777.4,7,0.0717962,1126.02,1126.02,1,-999
0,85,4.55369,16787.7,4,0.0930813,1422.02,1422.02,1,-999
0,86,4.74406,17006.3,10,0.0442962,1606.06,1606.06,1,-999
0,87,4.7296,17044.8,9,0.390834,1956.04,1956.04,1,-999
0,88,4.54978,16347.3,8,0.211092,0.00498503,0.00498503,1,-999
0,89,4.76404,17436.2,2,0.133856,1679.01,1679.01,1,-999
0,90,4.6551,17008.2,6,0.0554568,2462.06,2462.06,1,-999
0,91,4.67104,17181.4,3,0.260459,3049.03,3049.03,1,-999
0,92,4.63738,16626.2,10,0.200064,539.02,539.02,1,-999
0,93,4.75621,17275.3,4,0.106506,1976.02,1976.02,1,-999
0,94,4.59609,16702.1,7,0.0762624,809.016,809.016,1,-999
0,95,4.70127,17459.9,1,0.218255,2910.01,2910.01,1,-999
0,96,4.86327,16969.5,16,1e+30,0.0377983,0.0377983,1,-999
0,97,4.69209,16870.5,10,0.188579,1112.03,1112.03,1,-999
0,98,4.86623,17288.6,6,0.303632,160.015,160.015,1,-999
0,99,4.75811,16564.5,13,1e+30,112.024,112.024,1,-999
0,100,4.70359,17195.1,4,0.164668,2739.03,2739.03,1,-999
0,101,4.70456,17078.1,6,0.059507,2489.03,2489.03,1,-999
0,102,4.7541,17218.8,4,0.1325,1961.02,1961.02,1,-999
0,103,4.55273,16718.9,6,0.111555,1055.02,1055.02,1,-999
0,104,4.76383,16560,14,1e+30,0.0213796,0.0213796,1,-999
0,105,4.89684,17126.4,10,1e+30,51.0203,51.0203,1,-999
0,106,4.51861,16773.2,4,0.144288,1443.02,1443.02,1,-999
0,107,4.53758,16633.1,6,0.0712279,710.018,710.018,1,-999
0,108,4.82562,16971.9,15,1e+30,367.035,367.035,1,-999
0,109,4.8301,17312,5,0.217112,719.018,719.018,1,-999
0,110,4.86141,17157.5,9,1e+30,216.027,216.027,1,-999
0,111,4.82821,17057.5,9,0.470775,532.029,532.029,1,-999
0,112,4.81353,16855.3,17,-999,346.035,346.035,1,-999
0,113,4.52164,16538.1,7,0.0877072,82.0146,82.0146,1,-999
0,114,4.7901,16992.2,13,1e+30,754.043,754.043,1,-999
0,115,4.50687,16450.1,7,1e+30,42.009,42.009,1,-999
0,116,4.42483,16564,1,0.0040387,415.023,415.023,1,-999
0,117,4.4726,16404,3,1e+30,64.0069,64.0069,1,-999
0,118,4.56739,16941.3,3,0.112761,2344.05,2344.05,1,-999
0,119,4.64181,16582.8,11,1e+30,444.023,444.023,1,-999
0,120,4.67126,16811.3,9,0.0536639,936.025,936.025,1,-999
0,121,4.4248,16464,1,0.150118,141.01,141.01,1,-999
0,122,4.49638,16757.5,4,0.0574301,1358.02,1358.02,1,-999
0,123,4.72298,17225.4,2,0.206632,2499.02,2499.02,1,-999
0,124,4.78687,17366.1,3,0.176907,1326.01,1326.01,1,-999
0,125,4.71261,17076.2,7,0.154725,2444.03,2444.03,1,-999
0,126,4.57796,16935.1,4,0.0716538,2324.04,2324.04,1,-999
0,127,4.83773,16929.9,16,0.394155,118.043,118.043,1,-999
0,128,4.96085,17071.8,11,1e+30,0.0287898,0.0287898,1,-999
0,129,4.54478,16545.9,7,0.0898919,205.016,205.016,1,-999
0,130,4.69071,17325,1,0.503625,2990.02,2990.02,1,-999
0,131,4.79134,17529.1,2,1e+30,1276,1276,1,-999
0,132,4.71413,16810.5,11,0.315765,755.025,755.025,1,-999
0,133,4.7057,16945,8,0.0986387,1452.06,1452.06,1,-999
0,134,4.66516,17031.7,4,0.105268,2585.05,2585.05,1,-999
0,135,4.61922,16773.2,7,0.0734778,1203.02,1203.02,1,-999
0,136,4.77015,17261.1,5,0.303743,1531.02,1531.02,1,-999
