generation,member,lpr:total_combined:bdpl,obj_well,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,68,4.36164,16294.3,1,1e+30,0.00368011,0.00368011,1,-999
0,152,4.78258,17542.8,1,1e+30,0.00454924,0.00454924,1,-999
0,16,4.48927,17265.5,1,0.627682,0.0050913,0.0050913,1,-999
0,130,4.69071,17325,1,0.503625,0.00730512,0.00730512,1,-999
0,95,4.70127,17459.9,1,0.218255,0.00730512,0.00730512,1,-999
0,156,4.4265,16882.3,1,0.153084,0.00259615,0.00259615,1,-999
0,121,4.4248,16464,1,0.150118,0.00582405,0.00582405,1,-999
0,116,4.42483,16564,1,0.0040387,0.00368011,0.00368011,1,-999
1,152,4.78258,17542.8,1,1e+30,0.00150938,0.00150938,1,-999
1,gen=1_member=13_pso,3.61579,14054.5,1,1e+30,0.000873197,0.000873197,1,-999
1,16,4.48927,17265.5,1,0.226445,0.00259615,0.00259615,1,-999
1,gen=1_member=87_pso,3.85547,15182,1,0.215156,0.00247478,0.00247478,1,-999
1,130,4.69071,17325,1,0.18169,0.00224867,0.00224867,1,-999
1,gen=1_member=8_pso,3.71934,14779,1,0.154699,0.00163339,0.00163339,1,-999
1,gen=1_member=58_pso,4.14186,15736.2,1,0.150585,0.00529447,0.00529447,1,-999
1,gen=1_member=171_pso,4.00606,15584.1,1,0.146217,0.0050792,0.0050792,1,-999
1,gen=1_member=51_pso,4.28068,15797.6,1,0.137041,0.00464061,0.00464061,1,-999
1,gen=1_member=116_pso,4.18176,15768.7,1,0.11897,0.00536048,0.00536048,1,-999
1,gen=1_member=94_pso,3.97038,15197.8,1,0.0984952,0.00257488,0.00257488,1,-999
1,gen=1_member=56_pso,3.67497,14279.4,1,0.0887447,0.00108659,0.00108659,1,-999
1,95,4.70127,17459.9,1,0.0787385,0.00172533,0.00172533,1,-999
1,68,4.36164,16294.3,1,0.071252,0.00200528,0.00200528,1,-999
1,gen=1_member=60_pso,4.34166,15923.1,1,0.0693939,0.00293285,0.00293285,1,-999
1,156,4.4265,16882.3,1,0.0552272,0.00224867,0.00224867,1,-999
1,121,4.4248,16464,1,0.0541571,0.00184193,0.00184193,1,-999
1,gen=1_member=65_pso,3.97126,15473.5,1,0.0305676,0.00360025,0.00360025,1,-999
1,116,4.42483,16564,1,0.00145702,0.00155536,0.00155536,1,-999
1,gen=1_member=137_pso,3.97039,15389.2,1,0.00075378,0.00478024,0.00478024,1,-999
2,gen=2_member=332_pso,3.08514,13645.6,1,1e+30,0.00161761,0.00161761,1,-999
2,152,4.78258,17542.8,1,1e+30,0.00101956,0.00101956,1,-999
2,gen=2_member=266_pso,3.16656,13916.7,1,0.177593,0.00288063,0.00288063,1,-999
2,16,4.48927,17265.5,1,0.155655,0.00142152,0.00142152,1,-999
2,gen=2_member=193_pso,3.38659,14004.7,1,0.130569,0.00276918,0.00276918,1,-999
2,130,4.69071,17325,1,0.124891,0.00131062,0.00131062,1,-999
2,gen=2_member=269_pso,4.32678,16081.5,1,0.119125,0.00253883,0.00253883,1,-999
2,gen=2_member=257_pso,4.15944,15948.5,1,0.108939,0.0027293,0.0027293,1,-999
2,gen=2_member=175_pso,3.82397,15142.8,1,0.0888941,0.00300527,0.00300527,1,-999
2,gen=2_member=240_pso,3.70458,15020.4,1,0.0863137,0.00267336,0.00267336,1,-999
2,gen=1_member=58_pso,4.14186,15736.2,1,0.0854716,0.00377789,0.00377789,1,-999
2,gen=2_member=235_pso,4.01435,15689.6,1,0.0800049,0.00383277,0.00383277,1,-999
2,gen=2_member=241_pso,3.89063,15392.5,1,0.0682131,0.00397266,0.00397266,1,-999
2,gen=2_member=207_pso,3.41843,14228.9,1,0.063266,0.00318238,0.00318238,1,-999
2,gen=2_member=189_pso,3.58315,14559.2,1,0.0580396,0.00297483,0.00297483,1,-999
2,68,4.36164,16294.3,1,0.0577431,0.00178545,0.00178545,1,-999
2,gen=2_member=201_pso,3.49559,14261.8,1,0.0566423,0.00334038,0.00334038,1,-999
2,gen=2_member=177_pso,3.61309,14781.7,1,0.0555605,0.00275406,0.00275406,1,-999
2,95,4.70127,17459.9,1,0.0541236,0.00111373,0.00111373,1,-999
2,gen=2_member=181_pso,3.67746,14893.3,1,0.0538955,0.00297483,0.00297483,1,-999
2,gen=2_member=242_pso,3.51457,14460.1,1,0.0515862,0.00309102,0.00309102,1,-999
2,gen=1_member=65_pso,3.97126,15473.5,1,0.0482858,0.00377789,0.00377789,1,-999
2,gen=1_member=87_pso,3.85547,15182,1,0.0392685,0.00340755,0.00340755,1,-999
2,156,4.4265,16882.3,1,0.0379623,0.00172533,0.00172533,1,-999
2,121,4.4248,16464,1,0.0372267,0.00193245,0.00193245,1,-999
2,gen=1_member=171_pso,4.00606,15584.1,1,0.0246034,0.00516427,0.00516427,1,-999
2,gen=2_member=314_pso,3.97259,15529,1,0.0205026,0.00477981,0.00477981,1,-999
2,gen=2_member=249_pso,3.3882,14140.9,1,0.0187529,0.00311288,0.00311288,1,-999
2,116,4.42483,16564,1,0.00100153,0.00161941,0.00161941,1,-999
3,152,4.78258,17542.8,1,1e+30,0.00101956,0.00101956,1,-999
3,gen=3_member=374_pso,2.45024,11569.8,1,1e+30,0.000502049,0.000502049,1,-999
3,gen=3_member=364_pso,2.6593,13014.8,1,0.132326,0.00135382,0.00135382,1,-999
3,16,4.48927,17265.5,1,0.113283,0.00142152,0.00142152,1,-999
3,gen=3_member=446_pso,2.85024,13084.7,1,0.108877,0.00149533,0.00149533,1,-999
3,gen=3_member=456_pso,3.73989,15435.3,1,0.104656,0.00317053,0.00317053,1,-999
3,gen=3_member=361_pso,3.61814,15027.3,1,0.103135,0.00179894,0.00179894,1,-999
3,gen=3_member=376_pso,3.86223,15484.1,1,0.0954327,0.00375007,0.00375007,1,-999
3,130,4.69071,17325,1,0.0908935,0.00131062,0.00131062,1,-999
3,gen=3_member=514_pso,2.54161,12444.9,1,0.0896342,0.000895462,0.000895462,1,-999
3,gen=3_member=493_pso,2.99533,13751.4,1,0.0876356,0.00224858,0.00224858,1,-999
3,gen=3_member=416_pso,4.27673,16169.2,1,0.0761913,0.00316791,0.00316791,1,-999
3,gen=3_member=438_pso,3.13433,13888,1,0.0734185,0.00302763,0.00302763,1,-999
3,gen=3_member=445_pso,3.32183,14194.1,1,0.072791,0.00324481,0.00324481,1,-999
3,gen=3_member=354_pso,3.49934,14928.9,1,0.0689202,0.00179475,0.00179475,1,-999
3,gen=3_member=492_pso,3.17059,14187.3,1,0.0665702,0.00331906,0.00331906,1,-999
3,gen=3_member=358_pso,3.45739,14686.1,1,0.06528,0.00202461,0.00202461,1,-999
3,gen=2_member=257_pso,4.15944,15948.5,1,0.064982,0.00383277,0.00383277,1,-999
3,gen=3_member=478_pso,3.96247,15581.2,1,0.0616679,0.00589739,0.00589739,1,-999
3,gen=3_member=369_pso,3.34708,14435.3,1,0.0501753,0.00201789,0.00201789,1,-999
3,gen=3_member=499_pso,4.1014,15748.7,1,0.0475119,0.00495553,0.00495553,1,-999
3,gen=2_member=235_pso,4.01435,15689.6,1,0.040877,0.00481814,0.00481814,1,-999
3,95,4.70127,17459.9,1,0.0393903,0.00111373,0.00111373,1,-999
3,68,4.36164,16294.3,1,0.037582,0.00287541,0.00287541,1,-999
3,gen=3_member=422_pso,4.33714,16190.5,1,0.036408,0.00296824,0.00296824,1,-999
3,gen=3_member=366_pso,2.92994,13559.7,1,0.0351962,0.00209645,0.00209645,1,-999
3,gen=3_member=511_pso,2.91324,13160.7,1,0.0341677,0.00139311,0.00139311,1,-999
3,156,4.4265,16882.3,1,0.0276283,0.00172533,0.00172533,1,-999
3,121,4.4248,16464,1,0.027093,0.00237915,0.00237915,1,-999
3,gen=3_member=468_pso,4.12517,15855.6,1,0.0248845,0.00361768,0.00361768,1,-999
3,gen=1_member=171_pso,4.00606,15584.1,1,0.022246,0.00600239,0.00600239,1,-999
3,gen=2_member=266_pso,3.16656,13916.7,1,0.0155461,0.00283602,0.00283602,1,-999
