child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_PSO,8,,
GEN=1_MEMBER=1_PSO,16,,
GEN=1_MEMBER=2_PSO,7,,
GEN=1_MEMBER=3_PSO,19,,
GEN=1_MEMBER=4_PSO,17,,
GEN=1_MEMBER=5_PSO,2,,
GEN=1_MEMBER=6_PSO,5,,
GEN=1_MEMBER=7_PSO,22,,
GEN=1_MEMBER=8_PSO,25,,
GEN=1_MEMBER=9_PSO,10,,
GEN=1_MEMBER=10_PSO,18,,
GEN=1_MEMBER=11_PSO,13,,
GEN=1_MEMBER=12_PSO,9,,
GEN=1_MEMBER=13_PSO,24,,
GEN=1_MEMBER=14_PSO,12,,
GEN=1_MEMBER=15_PSO,4,,
GEN=1_MEMBER=16_PSO,0,,
GEN=1_MEMBER=17_PSO,1,,
GEN=1_MEMBER=18_PSO,3,,
GEN=1_MEMBER=19_PSO,15,,
GEN=1_MEMBER=20_PSO,6,,
GEN=1_MEMBER=21_PSO,11,,
GEN=1_MEMBER=22_PSO,23,,
GEN=1_MEMBER=23_PSO,21,,
GEN=1_MEMBER=24_PSO,14,,
GEN=1_MEMBER=25_PSO,20,,
GEN=2_MEMBER=26_PSO,GEN=1_MEMBER=21_PSO,,
GEN=2_MEMBER=27_PSO,16,,
GEN=2_MEMBER=28_PSO,GEN=1_MEMBER=3_PSO,,
GEN=2_MEMBER=29_PSO,GEN=1_MEMBER=17_PSO,,
GEN=2_MEMBER=30_PSO,GEN=1_MEMBER=9_PSO,,
GEN=2_MEMBER=31_PSO,GEN=1_MEMBER=11_PSO,,
GEN=2_MEMBER=32_PSO,GEN=1_MEMBER=0_PSO,,
GEN=2_MEMBER=33_PSO,GEN=1_MEMBER=10_PSO,,
GEN=2_MEMBER=34_PSO,GEN=1_MEMBER=15_PSO,,
GEN=2_MEMBER=35_PSO,GEN=1_MEMBER=8_PSO,,
GEN=2_MEMBER=36_PSO,19,,
GEN=2_MEMBER=37_PSO,17,,
GEN=2_MEMBER=38_PSO,8,,
GEN=2_MEMBER=39_PSO,2,,
GEN=2_MEMBER=40_PSO,22,,
GEN=2_MEMBER=41_PSO,5,,
GEN=2_MEMBER=42_PSO,25,,
GEN=2_MEMBER=43_PSO,10,,
GEN=2_MEMBER=44_PSO,18,,
GEN=2_MEMBER=45_PSO,13,,
GEN=2_MEMBER=46_PSO,GEN=1_MEMBER=1_PSO,,
GEN=2_MEMBER=47_PSO,GEN=1_MEMBER=12_PSO,,
GEN=2_MEMBER=48_PSO,9,,
GEN=2_MEMBER=49_PSO,GEN=1_MEMBER=5_PSO,,
GEN=2_MEMBER=50_PSO,GEN=1_MEMBER=24_PSO,,
GEN=2_MEMBER=51_PSO,GEN=1_MEMBER=13_PSO,,
GEN=3_MEMBER=52_PSO,16,,
GEN=3_MEMBER=53_PSO,GEN=2_MEMBER=29_PSO,,
GEN=3_MEMBER=54_PSO,GEN=2_MEMBER=43_PSO,,
GEN=3_MEMBER=55_PSO,GEN=2_MEMBER=46_PSO,,
GEN=3_MEMBER=56_PSO,GEN=1_MEMBER=9_PSO,,
GEN=3_MEMBER=57_PSO,GEN=2_MEMBER=26_PSO,,
GEN=3_MEMBER=58_PSO,GEN=2_MEMBER=31_PSO,,
GEN=3_MEMBER=59_PSO,GEN=1_MEMBER=21_PSO,,
GEN=3_MEMBER=60_PSO,GEN=1_MEMBER=10_PSO,,
GEN=3_MEMBER=61_PSO,GEN=2_MEMBER=34_PSO,,
GEN=3_MEMBER=62_PSO,GEN=2_MEMBER=47_PSO,,
GEN=3_MEMBER=63_PSO,GEN=2_MEMBER=49_PSO,,
GEN=3_MEMBER=64_PSO,19,,
GEN=3_MEMBER=65_PSO,GEN=1_MEMBER=15_PSO,,
GEN=3_MEMBER=66_PSO,17,,
GEN=3_MEMBER=67_PSO,2,,
GEN=3_MEMBER=68_PSO,GEN=2_MEMBER=39_PSO,,
GEN=3_MEMBER=69_PSO,22,,
GEN=3_MEMBER=70_PSO,GEN=2_MEMBER=35_PSO,,
GEN=3_MEMBER=71_PSO,GEN=1_MEMBER=8_PSO,,
GEN=3_MEMBER=72_PSO,5,,
GEN=3_MEMBER=73_PSO,10,,
GEN=3_MEMBER=74_PSO,GEN=1_MEMBER=11_PSO,,
GEN=3_MEMBER=75_PSO,25,,
GEN=3_MEMBER=76_PSO,18,,
GEN=3_MEMBER=77_PSO,13,,
GEN=4_MEMBER=78_PSO,16,,
GEN=4_MEMBER=79_PSO,GEN=3_MEMBER=66_PSO,,
GEN=4_MEMBER=80_PSO,GEN=2_MEMBER=43_PSO,,
GEN=4_MEMBER=81_PSO,GEN=3_MEMBER=77_PSO,,
GEN=4_MEMBER=82_PSO,GEN=1_MEMBER=9_PSO,,
GEN=4_MEMBER=83_PSO,GEN=3_MEMBER=58_PSO,,
GEN=4_MEMBER=84_PSO,GEN=3_MEMBER=73_PSO,,
GEN=4_MEMBER=85_PSO,GEN=2_MEMBER=31_PSO,,
GEN=4_MEMBER=86_PSO,GEN=3_MEMBER=62_PSO,,
GEN=4_MEMBER=87_PSO,GEN=1_MEMBER=21_PSO,,
GEN=4_MEMBER=88_PSO,GEN=1_MEMBER=10_PSO,,
GEN=4_MEMBER=89_PSO,GEN=3_MEMBER=63_PSO,,
GEN=4_MEMBER=90_PSO,GEN=2_MEMBER=47_PSO,,
GEN=4_MEMBER=91_PSO,GEN=3_MEMBER=64_PSO,,
GEN=4_MEMBER=92_PSO,19,,
GEN=4_MEMBER=93_PSO,GEN=2_MEMBER=34_PSO,,
GEN=4_MEMBER=94_PSO,GEN=1_MEMBER=8_PSO,,
GEN=4_MEMBER=95_PSO,GEN=1_MEMBER=15_PSO,,
GEN=4_MEMBER=96_PSO,GEN=2_MEMBER=49_PSO,,
GEN=4_MEMBER=97_PSO,17,,
GEN=4_MEMBER=98_PSO,2,,
GEN=4_MEMBER=99_PSO,GEN=2_MEMBER=39_PSO,,
GEN=4_MEMBER=100_PSO,22,,
GEN=4_MEMBER=101_PSO,GEN=3_MEMBER=76_PSO,,
GEN=4_MEMBER=102_PSO,5,,
GEN=4_MEMBER=103_PSO,10,,
GEN=5_MEMBER=104_PSO,16,,
GEN=5_MEMBER=105_PSO,GEN=4_MEMBER=83_PSO,,
GEN=5_MEMBER=106_PSO,GEN=4_MEMBER=95_PSO,,
GEN=5_MEMBER=107_PSO,GEN=3_MEMBER=77_PSO,,
GEN=5_MEMBER=108_PSO,GEN=4_MEMBER=82_PSO,,
GEN=5_MEMBER=109_PSO,GEN=3_MEMBER=58_PSO,,
GEN=5_MEMBER=110_PSO,GEN=3_MEMBER=66_PSO,,
GEN=5_MEMBER=111_PSO,GEN=1_MEMBER=9_PSO,,
GEN=5_MEMBER=112_PSO,GEN=3_MEMBER=73_PSO,,
GEN=5_MEMBER=113_PSO,GEN=4_MEMBER=88_PSO,,
GEN=5_MEMBER=114_PSO,GEN=1_MEMBER=21_PSO,,
GEN=5_MEMBER=115_PSO,GEN=3_MEMBER=62_PSO,,
GEN=5_MEMBER=116_PSO,GEN=4_MEMBER=85_PSO,,
GEN=5_MEMBER=117_PSO,GEN=3_MEMBER=63_PSO,,
GEN=5_MEMBER=118_PSO,GEN=4_MEMBER=84_PSO,,
GEN=5_MEMBER=119_PSO,GEN=2_MEMBER=47_PSO,,
GEN=5_MEMBER=120_PSO,GEN=3_MEMBER=64_PSO,,
GEN=5_MEMBER=121_PSO,22,,
GEN=5_MEMBER=122_PSO,19,,
GEN=5_MEMBER=123_PSO,5,,
GEN=5_MEMBER=124_PSO,GEN=2_MEMBER=34_PSO,,
GEN=5_MEMBER=125_PSO,10,,
GEN=5_MEMBER=126_PSO,GEN=1_MEMBER=8_PSO,,
GEN=5_MEMBER=127_PSO,GEN=1_MEMBER=15_PSO,,
GEN=5_MEMBER=128_PSO,17,,
GEN=5_MEMBER=129_PSO,2,,
GEN=6_MEMBER=130_PSO,16,,
GEN=6_MEMBER=131_PSO,GEN=4_MEMBER=83_PSO,,
GEN=6_MEMBER=132_PSO,GEN=5_MEMBER=117_PSO,,
GEN=6_MEMBER=133_PSO,GEN=5_MEMBER=106_PSO,,
GEN=6_MEMBER=134_PSO,GEN=5_MEMBER=118_PSO,,
GEN=6_MEMBER=135_PSO,GEN=3_MEMBER=58_PSO,,
GEN=6_MEMBER=136_PSO,GEN=5_MEMBER=110_PSO,,
GEN=6_MEMBER=137_PSO,GEN=3_MEMBER=73_PSO,,
GEN=6_MEMBER=138_PSO,GEN=3_MEMBER=62_PSO,,
GEN=6_MEMBER=139_PSO,GEN=1_MEMBER=9_PSO,,
GEN=6_MEMBER=140_PSO,GEN=4_MEMBER=85_PSO,,
GEN=6_MEMBER=141_PSO,GEN=3_MEMBER=63_PSO,,
GEN=6_MEMBER=142_PSO,GEN=2_MEMBER=47_PSO,,
GEN=6_MEMBER=143_PSO,GEN=5_MEMBER=122_PSO,,
GEN=6_MEMBER=144_PSO,GEN=5_MEMBER=116_PSO,,
GEN=6_MEMBER=145_PSO,GEN=5_MEMBER=120_PSO,,
GEN=6_MEMBER=146_PSO,GEN=1_MEMBER=8_PSO,,
GEN=6_MEMBER=147_PSO,GEN=3_MEMBER=64_PSO,,
GEN=6_MEMBER=148_PSO,GEN=1_MEMBER=21_PSO,,
GEN=6_MEMBER=149_PSO,GEN=1_MEMBER=15_PSO,,
GEN=6_MEMBER=150_PSO,GEN=4_MEMBER=95_PSO,,
GEN=6_MEMBER=151_PSO,22,,
GEN=6_MEMBER=152_PSO,GEN=4_MEMBER=84_PSO,,
GEN=6_MEMBER=153_PSO,19,,
GEN=6_MEMBER=154_PSO,5,,
GEN=6_MEMBER=155_PSO,10,,
GEN=7_MEMBER=156_PSO,16,,
GEN=7_MEMBER=157_PSO,GEN=6_MEMBER=134_PSO,,
GEN=7_MEMBER=158_PSO,GEN=5_MEMBER=117_PSO,,
GEN=7_MEMBER=159_PSO,GEN=5_MEMBER=118_PSO,,
GEN=7_MEMBER=160_PSO,GEN=3_MEMBER=73_PSO,,
GEN=7_MEMBER=161_PSO,GEN=6_MEMBER=145_PSO,,
GEN=7_MEMBER=162_PSO,GEN=6_MEMBER=146_PSO,,
GEN=7_MEMBER=163_PSO,GEN=3_MEMBER=62_PSO,,
GEN=7_MEMBER=164_PSO,GEN=4_MEMBER=84_PSO,,
GEN=7_MEMBER=165_PSO,GEN=1_MEMBER=9_PSO,,
GEN=7_MEMBER=166_PSO,GEN=4_MEMBER=85_PSO,,
GEN=7_MEMBER=167_PSO,19,,
GEN=7_MEMBER=168_PSO,5,,
GEN=7_MEMBER=169_PSO,GEN=3_MEMBER=63_PSO,,
GEN=7_MEMBER=170_PSO,22,,
GEN=7_MEMBER=171_PSO,GEN=2_MEMBER=47_PSO,,
GEN=7_MEMBER=172_PSO,GEN=5_MEMBER=122_PSO,,
GEN=7_MEMBER=173_PSO,GEN=1_MEMBER=8_PSO,,
GEN=7_MEMBER=174_PSO,GEN=6_MEMBER=147_PSO,,
GEN=7_MEMBER=175_PSO,GEN=3_MEMBER=64_PSO,,
GEN=7_MEMBER=176_PSO,10,,
GEN=7_MEMBER=177_PSO,GEN=6_MEMBER=132_PSO,,
GEN=7_MEMBER=178_PSO,GEN=1_MEMBER=21_PSO,,
GEN=7_MEMBER=179_PSO,GEN=6_MEMBER=140_PSO,,
GEN=7_MEMBER=180_PSO,GEN=5_MEMBER=106_PSO,,
GEN=7_MEMBER=181_PSO,GEN=4_MEMBER=83_PSO,,
GEN=8_MEMBER=182_PSO,16,,
GEN=8_MEMBER=183_PSO,GEN=7_MEMBER=165_PSO,,
GEN=8_MEMBER=184_PSO,GEN=3_MEMBER=73_PSO,,
GEN=8_MEMBER=185_PSO,GEN=5_MEMBER=118_PSO,,
GEN=8_MEMBER=186_PSO,GEN=7_MEMBER=176_PSO,,
GEN=8_MEMBER=187_PSO,GEN=4_MEMBER=85_PSO,,
GEN=8_MEMBER=188_PSO,GEN=7_MEMBER=160_PSO,,
GEN=8_MEMBER=189_PSO,GEN=7_MEMBER=178_PSO,,
GEN=8_MEMBER=190_PSO,19,,
GEN=8_MEMBER=191_PSO,GEN=1_MEMBER=9_PSO,,
GEN=8_MEMBER=192_PSO,GEN=3_MEMBER=63_PSO,,
GEN=8_MEMBER=193_PSO,5,,
GEN=8_MEMBER=194_PSO,22,,
GEN=8_MEMBER=195_PSO,GEN=7_MEMBER=167_PSO,,
GEN=8_MEMBER=196_PSO,GEN=7_MEMBER=159_PSO,,
GEN=8_MEMBER=197_PSO,GEN=2_MEMBER=47_PSO,,
GEN=8_MEMBER=198_PSO,GEN=3_MEMBER=62_PSO,,
GEN=8_MEMBER=199_PSO,GEN=7_MEMBER=172_PSO,,
GEN=8_MEMBER=200_PSO,GEN=7_MEMBER=163_PSO,,
GEN=8_MEMBER=201_PSO,10,,
GEN=8_MEMBER=202_PSO,GEN=7_MEMBER=169_PSO,,
GEN=8_MEMBER=203_PSO,GEN=6_MEMBER=140_PSO,,
GEN=8_MEMBER=204_PSO,GEN=6_MEMBER=132_PSO,,
