,parval1,wellno,total_receipts
well_418__q,109.5,418,26249.065273019205
well_466__q,315.9,466,0.0
well_467__q,296.9,467,0.0
well_490__q,27.7,490,0.0
well_509__q,0.1,509,0.0
well_602__q,0.5,602,0.0
well_603__q,0.2,603,0.0
well_798__q,135.6,798,82097.26138979309
well_807__q,82.6,807,37559.5158453488
well_850__q,107.2,850,55303.65239598937
well_862__q,4.6,862,0.0
well_1013__q,125.1,1013,44649.16720961192
well_1302__q,88.2,1302,64979.93767955099
well_1323__q,76.2,1323,52093.57312939013
well_1486__q,222.8,1486,68666.32758681942
well_1584__q,150.5,1584,102789.96648608928
well_1589__q,264.1,1589,57315.23286714196
well_1643__q,114.5,1643,58074.00269090251
well_1683__q,260.6,1683,47785.36871947967
well_1860__q,195.7,1860,64566.44411179555
well_2544__q,8.2,2544,0.0
well_2750__q,120.7,2750,129926.68601484149
well_2886__q,710.5,2886,0.0
well_3473__q,83.3,3473,76077.9688151975
well_3949__q,43.0,3949,73857.23094285384
well_4171__q,7.5,4171,0.0
well_23610__q,201.7,23610,64920.75049581768
well_23611__q,378.8,23611,0.0
well_23618__q,253.9,23618,56413.79314459266
well_23620__q,349.7,23620,61188.899686948775
well_23627__q,276.5,23627,73527.80656615112
well_23629__q,146.2,23629,48356.760492008965
well_23630__q,255.5,23630,57610.37185816887
well_23631__q,101.0,23631,35501.43772622216
well_23635__q,282.8,23635,62034.011261723484
well_23637__q,291.4,23637,72086.62237055825
well_23638__q,409.8,23638,67503.23533817769
well_23639__q,213.2,23639,57588.69301335842
well_23645__q,158.8,23645,55881.2588819923
well_23646__q,319.4,23646,56853.04553944818
well_23648__q,137.8,23648,0.0
well_23653__q,263.6,23653,68945.72711228403
well_23695__q,141.4,23695,28323.13668453005
well_23697__q,152.0,23697,16780.154994370703
well_23698__q,369.4,23698,16479.54699035007
well_23699__q,220.8,23699,63751.82661697942
well_23700__q,121.7,23700,69289.3282226268
well_23709__q,259.0,23709,63290.83659066749
well_23710__q,105.6,23710,62098.76898643622
well_23715__q,411.3,23715,61037.60819368807
well_23716__q,256.1,23716,65217.93756491807
well_23720__q,160.7,23720,49235.23126151381
well_23721__q,236.8,23721,61038.67543353324
well_23722__q,163.5,23722,51776.36262782991
well_23723__q,236.5,23723,70084.98066641398
well_23726__q,195.7,23726,71472.83509959053
well_23727__q,86.0,23727,28189.2745578258
well_23728__q,250.1,23728,64234.76822739625
well_23729__q,244.6,23729,59410.0303906709
well_23751__q,214.1,23751,62241.56407102562
well_23752__q,296.0,23752,63733.39500269513
well_23753__q,308.2,23753,89028.34346493264
well_23754__q,325.0,23754,66123.64595471698
well_23755__q,794.6,23755,58964.55234222828
well_23756__q,324.2,23756,66537.37832446497
well_23757__q,101.5,23757,58669.8539925044
well_23758__q,148.4,23758,65295.20811438631
well_23770__q,239.9,23770,57936.29407247013
well_23776__q,78.4,23776,30087.9711260628
well_23778__q,163.6,23778,66757.69795014657
well_23781__q,450.6,23781,73301.63393346446
well_23790__q,275.8,23790,62017.07709673431
well_23791__q,204.9,23791,39937.91440078402
well_23794__q,217.3,23794,50600.981852883146
well_23795__q,110.6,23795,55515.45653459471
well_23798__q,169.3,23798,48263.24199841904
well_23800__q,364.0,23800,60616.34787517894
well_23807__q,128.5,23807,34786.19901585439
well_23816__q,149.4,23816,59429.91437092561
well_23818__q,282.6,23818,64123.709728010894
well_23820__q,86.9,23820,46528.88278000252
well_23823__q,25.8,23823,69456.80014230864
well_23836__q,568.6,23836,46839.40197804489
well_23837__q,241.7,23837,67465.00299397507
well_23846__q,291.7,23846,52749.85170970057
well_23847__q,187.0,23847,62572.02688298275
well_23848__q,289.7,23848,67566.47051954758
well_23851__q,248.4,23851,47758.01631822415
well_23864__q,1133.7,23864,67765.33993758779
well_23865__q,267.0,23865,63990.17735164463
well_23866__q,177.7,23866,116795.36598750664
well_23867__q,330.2,23867,60690.870666932926
well_23868__q,416.5,23868,50018.41557661575
well_23869__q,168.1,23869,94631.32547799037
well_23870__q,205.0,23870,92237.4050336262
well_23876__q,197.6,23876,19524.52728518925
well_23881__q,131.0,23881,0.0
well_23883__q,589.5,23883,62348.7743618992
well_23886__q,215.2,23886,68881.43050073892
well_23888__q,237.2,23888,56026.83190931006
well_23889__q,459.8,23889,70044.96797191616
well_23890__q,187.6,23890,61676.11162363984
well_23895__q,216.9,23895,48369.48001385751
well_23898__q,29.6,23898,34077.53635826072
well_23908__q,365.0,23908,49736.04730724522
well_23909__q,115.6,23909,72202.29814587496
well_23910__q,345.0,23910,59474.89158082359
well_23913__q,247.2,23913,0.0
well_23915__q,152.5,23915,58244.747693877216
well_23919__q,261.3,23919,42701.68100013176
well_23926__q,243.0,23926,74901.4175836364
well_23928__q,293.8,23928,63696.06694440526
well_23929__q,203.7,23929,0.0
well_23930__q,91.6,23930,57793.51017982962
well_23934__q,370.6,23934,76886.72998382885
well_23936__q,238.2,23936,64980.08351510592
well_23937__q,183.4,23937,62476.22879635988
well_23939__q,329.9,23939,64959.18410798479
well_23942__q,132.9,23942,43108.39970899113
well_23944__q,84.4,23944,33640.11593886691
well_23948__q,254.6,23948,54158.70357117613
well_23956__q,429.0,23956,62946.68130334969
well_23961__q,270.5,23961,45121.84989545689
well_23962__q,147.2,23962,71052.4022641866
well_23963__q,105.8,23963,52947.93809195847
