,LPR
418,0.0020069793078467484
466,0.11492731798401769
467,0.08624391311576095
490,5.0031774159423135e-12
509,2.75348487774215e-07
602,5.179374008667257e-15
603,2.7282326160175695e-15
798,1.960575708258712e-08
807,0.00011325361559568766
850,2.7311177636287332e-06
862,6.120902270615761e-05
1013,7.079082849812238e-10
1302,7.202876154550738e-10
1323,1.8045999663496388e-05
1486,0.0022958212786274236
1584,0.012073467340646134
1589,3.374977668225184e-07
1643,2.0857330301574534e-05
1683,2.714482538493021e-08
1860,3.143753524622046e-05
2544,0.0005013113311308522
2750,5.799475792999785e-07
2886,0.014829176842551637
3473,8.771960020831001e-07
3949,0.0023467020871096914
4171,3.3903847465445534e-05
23610,0.00043092733987368687
23611,0.009199133998120342
23618,0.001148213542018141
23620,2.0470373830187487e-08
23627,0.10355009279462006
23629,9.011570145586047e-05
23630,6.49105087880746e-05
23631,7.78051741351807e-05
23635,2.121965679804583e-08
23637,3.580907719146123e-06
23638,0.018402047146059797
23639,0.0019653100818379054
23645,0.023681440121840855
23646,0.020613498065280105
23648,1.5653979409570654e-08
23653,0.09794477558708552
23695,4.222151381006907e-06
23697,6.242511852537215e-12
23698,1.4650535154287572e-10
23699,3.605279131225381e-08
23700,3.67375336793863e-08
23709,8.582875139572173e-06
23710,2.0602947062908807e-07
23715,4.778505439829896e-05
23716,2.2334049293428012e-05
23720,0.0025380355656395865
23721,0.0020631131067963236
23722,0.000385271317654952
23723,0.0002614539080628956
23726,5.1562756894414535e-06
23727,4.466220656202559e-06
23728,6.056201515126052e-05
23729,0.00011100183010060982
23751,1.0260224764223833e-05
23752,0.010970899427766872
23753,0.003087393857941349
23754,4.7698107548400885e-09
23755,0.11765816169775782
23756,5.498814084848819e-06
23757,1.4631452873679568e-05
23758,5.6316947327757655e-05
23770,0.03397261947930555
23776,1.7269124044285928e-05
23778,3.8618697675305096e-05
23781,0.012718230416579268
23790,0.00012363688402632048
23791,0.00012664572368134507
23794,0.015703630178487853
23795,1.525610752559679e-06
23798,0.0006954103769521904
23800,0.007062244242696819
23807,3.7861556261486454e-06
23816,0.028781510530806128
23818,1.2446074365749875e-07
23820,1.0714540201212776e-05
23823,2.6855040333540045e-05
23836,0.06332795375650997
23837,0.01139886368330418
23846,6.56538122799258e-05
23847,0.0034186851870418263
23848,0.0022783005970188406
23851,0.009020366860261312
23864,0.0004275002506170103
23865,0.00026955960121742843
23866,1.1387897596013974e-05
23867,1.4809162473419353e-07
23868,4.818798600560757e-07
23869,1.1882161036748088e-07
23870,2.5720263093204187e-07
23876,0.035089375074133455
23881,0.002326445745635469
23883,4.871968725363899e-08
23886,1.0897539908193368e-05
23888,0.005642399394221718
23889,0.00973567997203335
23890,6.271750968916367e-06
23895,0.0001866479308909147
23898,1.2961285304396477e-06
23908,0.002243900403425855
23909,0.0013628395559709258
23910,7.16867935252667e-05
23913,6.948563320500845e-12
23915,1.9084761277012187e-09
23919,0.011949031371552399
23926,3.4657810984469744e-06
23928,0.0011211614688411999
23929,0.0016737856120096386
23930,0.0009089458648715417
23934,0.1194444922895408
23936,0.009573785974379401
23937,0.0024934415748019477
23939,0.019574092966988508
23942,4.6074842001027915e-05
23944,1.0770588179714219e-06
23948,0.0009588249421405565
23956,9.084098020119008e-05
23961,3.168477640993906e-13
23962,2.723837969128269e-05
23963,1.1797377618781135e-06
23966,4.86056753079346e-07
23967,1.6014345177979596e-05
23972,0.00010878342605201903
23977,0.0010550302763003506
23978,1.849423135375684e-10
23979,1.8992392047897638e-07
23980,1.8708207171427922e-06
23981,0.002773120094777208
23983,8.399875332343723e-05
23984,0.0006805325312761969
23985,0.0029575236558751915
23987,0.00017337885076320418
23998,1.2821869769449995e-06
24003,0.00030602022971588683
24005,0.0005271518688395478
24010,0.0002987672904015234
24011,0.0057912513894439995
24012,1.2729320219500453e-05
24016,2.382883993702894e-05
24024,1.6507294349672176e-07
24030,6.400547695117508e-05
24033,4.406440023958496e-05
24036,8.605528373964852e-07
24037,5.374935735468744e-09
24042,1.1636441663641637e-05
24043,2.699098868131158e-08
24045,0.009028414681763701
24047,6.99432411673012e-05
24049,0.0013142243073920527
24059,7.336273279817333e-06
24063,0.00015698525215671337
24066,1.1045835771002451e-08
24080,3.893594576445671e-06
24091,1.326001076102127e-05
24093,1.8969961112450146e-05
24110,6.3892631584194214e-06
24120,1.8071521003152806e-06
24121,0.00035893113808934367
24125,0.002836085628780865
24130,5.957627393626899e-06
24135,2.0517216327000997e-05
24137,0.007359467233336296
24165,0.00019785653420418856
24166,0.00012985166181603728
24169,4.702073393622063e-09
24172,0.00024347053627416835
24195,2.986667320046539e-08
24197,0.0056500706339751156
24203,0.01854416908878449
24216,5.5317033828487424e-08
24225,0.0004558220118974616
24226,4.7579405463122976e-05
24227,0.000541265790801471
24239,0.05009718096839416
24240,4.0133063096377795e-06
24247,5.2943151984683285e-06
24249,4.3245566092695095e-06
24252,4.991592831832026e-05
24253,2.239142663372113e-06
24256,6.011003867134565e-06
24265,2.8390167449126848e-05
24266,0.0005823896798057532
24274,0.004272620978652418
24279,0.0004958666353623189
24283,0.0010012319054400148
24285,4.403905246022666e-09
24286,5.795221537171457e-09
24291,0.0014532019499808495
24293,0.00023203549394187689
24294,4.3457954689947194e-09
24302,2.5180341930277865e-11
24305,6.361308385995279e-15
24307,0.00011756658568625059
24311,0.00048062614709588956
24317,4.6488319522635793e-05
24323,0.04867066596321845
58403,0.00014804010139191182
58405,0.0884585101224154
58406,0.0015838434710282621
58407,0.0018903751384373487
58410,0.00054663405392984
58411,4.2351118961831666e-05
58414,4.912350187702825e-05
58416,1.3350417354794365e-05
58424,8.770005166384956e-06
58433,0.0006815664979687268
58434,1.971431377489288e-07
67673,7.426293895813524e-05
67895,1.1648247364038827e-09
68008,0.0007443794186076943
68216,1.1839902550097897e-12
68218,3.1709222756366525e-13
68219,2.159367598773615e-12
68220,5.083517733408572e-12
68221,1.9000504431606344e-11
68294,1.0866183590646196e-15
68475,0.001606035415007294
68529,0.08220112006054786
68693,2.450943415040012e-07
68695,9.77317248762619e-07
68872,2.702691563134187e-05
68917,4.818180321404678e-08
68925,9.09244175823431e-05
68926,0.00018700115256419314
69049,0.03905055416065077
69065,0.00015264060550830458
69282,0.0032692101174500205
69288,1.9015984871651853e-09
69289,3.4565314515255186e-09
69480,6.008440836537755e-07
69508,1.6289343273050647e-12
69576,2.8727065144294763e-08
69635,5.519643375355744e-10
69636,4.581477281898274e-10
69638,1.073310774679526e-10
69669,1.1700153046568702e-14
69970,0.010759178569574401
69990,2.7826660546894882e-05
70119,0.010107462106395234
70120,0.010805838959866644
70186,0.008886730936320203
70191,1.931223180177792e-07
70263,1.2519917023534e-10
70517,6.394405618270943e-11
70519,5.663700746260807e-10
70520,1.3081516432922238e-10
70548,2.6475876483867587e-11
70881,0.0010000732433285621
70961,7.445613890960134e-08
70974,4.573352080064609e-08
70975,8.023424701867736e-09
71044,0.006261779984267919
71062,1.5215978596333414e-05
71063,0.00011770024399442775
71109,0.014081992069538397
71110,0.00921953938214561
71117,2.480309972929312e-08
71156,1.0218244782759188e-06
71199,1.1736023020280528e-06
71495,0.0002879328297735262
71935,0.000554038485050579
71998,3.5706147775987473e-10
72082,0.00011856958966939432
72094,6.48470311261795e-06
72095,5.307248256683558e-06
72269,0.00017042787391513783
72301,1.509155205156045e-07
72304,1.0965021446677332e-06
72421,2.1476583295704514e-14
72422,2.5876790255550237e-13
72436,2.738876880228215e-07
72437,8.739133668182302e-07
72607,0.00011160306636697483
72610,0.002255559232555263
72713,0.00042619513465735507
72756,3.483383770942538e-05
72983,1.1353138460515095e-07
73153,1.7217019523266278e-07
73262,1.519151503417748e-14
73280,7.059952878721912e-06
73281,0.0002338146515184106
73372,9.084780716705324e-08
73440,2.610115701802416e-07
73481,6.230438309470603e-05
73715,0.0018312690041078347
73737,7.644446158020231e-11
73761,1.7272563622723424e-05
73762,0.002027368897474089
73906,2.4471103667423354e-08
73940,6.789193443183034e-09
73942,2.1038557887436262e-07
74131,9.871486052705078e-10
74280,1.9577893778357185e-11
84404,0.00010748174386217155
84409,0.0008343004430052613
84411,0.011201523433871123
91103,3.6739171224434916e-09
91173,2.0705903580178475e-06
91808,1.4625179452353483e-12
91996,1.2929366798949315e-10
91997,1.7358116856351992e-09
92099,2.3718788253377604e-07
92184,1.0389667042971314e-05
92299,5.4372841675757975e-12
92696,1.325001373983379e-15
92714,9.628864021141852e-09
92724,4.970867734995953e-15
92743,3.218599158221081e-13
92808,7.187820173422615e-09
92885,2.690385256246658e-05
92981,1.7959314971742225e-09
93142,0.0005774497049849083
93143,5.52997575790864e-05
93349,4.276794990121022e-05
93422,8.196494041199464e-15
93423,8.78946248588967e-15
93424,1.9512558592349924e-14
93469,0.0019757156142335007
93832,4.3120883753331294e-14
94302,0.01111210929811336
94988,2.480979143045115e-08
