,LPR
418,0.006020937923540248
466,0.3447819539520531
467,0.2587317393472827
490,5.0031774159423135e-12
509,2.75348487774215e-07
602,5.179374008667257e-15
603,2.7282326160175695e-15
798,5.881727124776136e-08
807,0.0003397608467870631
850,8.193353290886201e-06
862,6.120902270615761e-05
1013,2.1237248549436723e-09
1302,2.160862846365221e-09
1323,5.413799899048912e-05
1486,0.006887463835882274
1584,0.036220402021938415
1589,1.0124933004675555e-06
1643,6.257199090472361e-05
1683,8.143447615479064e-08
1860,9.431260573866138e-05
2544,0.0005013113311308522
2750,1.7398427378999352e-06
2886,0.04448753052765492
3473,2.631588006249302e-06
3949,0.0023467020871096914
4171,3.3903847465445534e-05
23610,0.0
23611,0.02759740199436103
23618,0.0034446406260544246
23620,6.141112149056249e-08
23627,0.31065027838386017
23629,0.0002703471043675814
23630,0.0001947315263642238
23631,0.00023341552240554238
23635,6.365897039413749e-08
23637,1.0742723157438376e-05
23638,0.05520614143817934
23639,0.005895930245513715
23645,0.07104432036552259
23646,0.06184049419584031
23648,4.696193822871195e-08
23653,0.2938343267612568
23695,1.2666454143020721e-05
23697,1.872753555761164e-11
23698,4.3951605462862713e-10
23699,1.0815837393676145e-07
23700,1.1021260103815886e-07
23709,0.0
23710,6.180884118872642e-07
23715,0.0001433551631948969
23716,6.700214788028405e-05
23720,0.007614106696918762
23721,0.006189339320388974
23722,0.0
23723,0.0007843617241886869
23726,1.5468827068324368e-05
23727,1.3398661968607684e-05
23728,0.0001816860454537815
23729,0.0003330054903018295
23751,3.078067429267151e-05
23752,0.032912698283300616
23753,0.009262181573824045
23754,1.4309432264520266e-08
23755,0.35297448509327317
23756,1.649644225454645e-05
23757,4.3894358621038725e-05
23758,0.00016895084198327302
23770,0.10191785843791666
23776,5.180737213285777e-05
23778,0.00011585609302591526
23781,0.038154691249737784
23790,0.00037091065207896153
23791,0.00037993717104403533
23794,0.04711089053546357
23795,0.0
23798,0.0020862311308565717
23800,0.02118673272809045
23807,1.1358466878445938e-05
23816,0.0863445315924183
23818,3.7338223097249633e-07
23820,3.214362060363833e-05
23823,2.6855040333540045e-05
23836,0.1899838612695298
23837,0.034196591049912545
23846,0.0001969614368397773
23847,0.010256055561125474
23848,0.006834901791056522
23851,0.027061100580783943
23864,0.0012825007518510307
23865,0.0008086788036522854
23866,3.416369278804194e-05
23867,4.4427487420258073e-07
23868,1.4456395801682269e-06
23869,3.5646483110244266e-07
23870,7.716078927961259e-07
23876,0.10526812522240041
23881,0.006979337236906412
23883,1.46159061760917e-07
23886,3.2692619724580116e-05
23888,0.01692719818266516
23889,0.029207039916100047
23890,1.8815252906749114e-05
23895,0.0005599437926727442
23898,1.2961285304396477e-06
23908,0.006731701210277563
23909,0.004088518667912777
23910,0.00021506038057580006
23913,2.084568996150253e-11
23915,5.7254283831036565e-09
23919,0.03584709411465718
23926,1.0397343295340926e-05
23928,0.0033634844065235994
23929,0.0
23930,0.0027268375946146246
23934,0.3583334768686224
23936,0.028721357923138218
23937,0.007480324724405847
23939,0.05872227890096552
23942,0.00013822452600308391
23944,3.2311764539142663e-06
23948,0.002876474826421669
23956,0.0002725229406035702
23961,9.50543292298172e-13
23962,8.171513907384809e-05
23963,3.539213285634342e-06
23966,1.4581702592380381e-06
23967,4.8043035533938795e-05
23972,0.000326350278156057
23977,0.0031650908289010526
23978,0.0
23979,5.697717614369293e-07
23980,5.6124621514283756e-06
23981,0.008319360284331636
23983,0.00025199625997031165
23984,0.002041597593828591
23985,0.00887257096762558
23987,0.0005201365522896125
23998,3.846560930834998e-06
24003,0.0009180606891476605
24005,0.0015814556065186442
24010,0.0
24011,0.017373754168331996
24012,3.8187960658501355e-05
24016,7.148651981108683e-05
24024,4.952188304901652e-07
24030,0.00019201643085352534
24033,0.00013219320071875494
24036,2.581658512189456e-06
24037,0.0
24042,3.4909324990924926e-05
24043,8.097296604393471e-08
24045,0.027085244045291123
24047,0.00020982972350190373
24049,0.003942672922176157
24059,2.2008819839451993e-05
24063,0.00047095575647013984
24066,0.0
24080,1.1680783729337013e-05
24091,3.978003228306383e-05
24093,0.0
24110,0.0
24120,5.4214563009458435e-06
24121,0.0010767934142680304
24125,0.008508256886342599
24130,1.7872882180880695e-05
24135,6.1551648981003e-05
24137,0.02207840170000888
24165,0.000593569602612566
24166,0.0003895549854481118
24169,1.4106220180866189e-08
24172,0.0007304116088225054
24195,2.986667320046539e-08
24197,0.016950211901925343
24203,0.05563250726635349
24216,1.6595110148546235e-07
24225,0.0013674660356923852
24226,4.7579405463122976e-05
24227,0.0016237973724044143
24239,0.15029154290518257
24240,0.0
24247,1.5882945595404998e-05
24249,4.3245566092695095e-06
24252,0.0
